
Thu Jan  1 00:00:01 1970

Flight Log #2
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3870,0,[0,0,0],[-0.036041,0.010690,0.044746],[-0.156906,-0.098067,-0.117680],[0.375673,-0.122034,9.839287],[-0.040000,-0.092727,-0.030612],[-86,196,329]]
DATA[3920,0,[0,0,0],[-0.032223,0.012828,0.042761],[-0.176520,0.451106,10.140077],[0.366102,-0.150748,9.824930],[-0.038182,-0.095455,-0.029592],[-96,190,321]]
DATA[3980,0,[0,0,0],[-0.038179,0.012828,0.042455],[-0.117680,0.392266,10.179303],[0.380459,-0.141177,9.844072],[-0.037273,-0.097273,-0.029592],[-90,190,324]]
DATA[4040,0,[0,0,0],[-0.034819,0.012675,0.043066],[-0.137293,-0.137293,-0.117680],[0.373280,-0.141177,9.815358],[-0.039091,-0.095455,-0.026531],[-98,198,331]]
DATA[4090,0,[0,0,0],[-0.038332,0.015882,0.043371],[-0.117680,0.392266,-0.078453],[0.363709,-0.145962,9.829716],[-0.039091,-0.094545,-0.029592],[-88,199,343]]
DATA[4150,0,[0,0,0],[-0.027489,-0.017104,0.047647],[-0.176520,0.411879,-0.137293],[0.378066,-0.136391,9.805787],[-0.040909,-0.096364,-0.032653],[-96,191,345]]
DATA[4200,0,[0,0,0],[-0.036194,-0.019090,0.044135],[-0.196133,0.431493,10.120462],[0.373280,-0.150748,9.810573],[-0.035455,-0.100000,-0.024490],[-93,197,336]]
DATA[4260,0,[0,0,0],[-0.000458,0.012370,-0.000153],[-0.235360,0.411879,10.140077],[0.380459,-0.122034,9.815358],[-0.039091,-0.096364,-0.028571],[-93,193,343]]
DATA[4310,0,[0,0,0],[-0.000764,0.013134,0.040623],[-0.254973,0.392266,10.120462],[0.373280,-0.131605,9.791430],[-0.043636,-0.090909,-0.028571],[-88,189,329]]
DATA[4360,0,[0,0,0],[-0.034361,0.010232,0.047037],[-0.117680,-0.039227,10.179303],[0.368495,-0.150748,9.824930],[-0.038182,-0.094545,-0.032653],[-91,193,326]]
DATA[4420,0,[0,0,0],[-0.036346,0.008552,0.046426],[-0.137293,-0.137293,-0.137293],[0.332602,-0.126820,9.801002],[-0.037273,-0.101818,-0.024490],[-93,188,328]]
DATA[4480,0,[0,0,0],[-0.032681,0.011759,0.045051],[-0.176520,0.411879,10.179303],[0.344566,-0.122034,9.853643],[-0.037273,-0.097273,-0.026531],[-90,192,336]]
