
Thu Jan  1 00:00:01 1970

Flight Log #2
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1290,0,[0,0,0],[-0.031765,0.016035,0.044593],[-0.156906,-0.078453,10.100849],[0.373280,-0.150748,9.791430],[-0.040000,-0.098182,-0.026531],[-87,188,331]]
DATA[1330,0,[0,0,0],[-0.030238,0.016952,0.044440],[-0.176520,0.431493,-0.098067],[0.366102,-0.141177,9.829716],[-0.035455,-0.099091,-0.026531],[-86,189,337]]
DATA[1370,0,[0,0,0],[-0.034361,0.016646,0.045357],[-0.196133,0.431493,10.120462],[0.356531,-0.112463,9.815358],[-0.038182,-0.094545,-0.025510],[-84,195,335]]
DATA[1420,0,[0,0,0],[-0.038332,0.017104,0.045662],[-0.137293,0.431493,10.159690],[0.392423,-0.141177,9.796216],[-0.038182,-0.094545,-0.029592],[-88,190,328]]
DATA[1450,0,[0,0,0],[-0.036499,0.014355,0.044135],[-0.215746,0.392266,10.120462],[0.368495,-0.098106,9.820144],[-0.038182,-0.099091,-0.026531],[-98,192,328]]
DATA[1490,0,[0,0,0],[-0.036194,0.014203,0.039706],[-0.117680,-0.156906,10.159690],[0.368495,-0.150748,9.824930],[-0.036364,-0.094545,-0.029592],[-84,198,334]]
DATA[1540,0,[0,0,0],[-0.037721,0.012370,0.045815],[-0.176520,-0.156906,-0.137293],[0.370888,-0.131605,9.834501],[-0.037273,-0.097273,-0.023469],[-91,195,331]]
DATA[1580,0,[0,0,0],[-0.005651,0.017562,0.044593],[-0.176520,-0.137293,10.179303],[0.361316,-0.126820,9.801002],[-0.039091,-0.097273,-0.026531],[-90,195,343]]
DATA[1610,0,[0,0,0],[-0.037568,0.015730,0.045815],[-0.176520,0.411879,-0.156906],[0.373280,-0.131605,9.829716],[-0.036364,-0.099091,-0.026531],[-86,197,326]]
DATA[1660,0,[0,0,0],[-0.035430,0.016646,0.041386],[-0.215746,-0.156906,10.140077],[0.366102,-0.126820,9.810573],[-0.040000,-0.094545,-0.028571],[-87,194,346]]
DATA[1710,0,[0,0,0],[-0.038179,0.012065,0.047647],[-0.117680,0.431493,-0.156906],[0.344566,-0.141177,9.801002],[-0.038182,-0.095455,-0.029592],[-91,204,350]]
DATA[1740,0,[0,0,0],[-0.000611,0.011759,0.043982],[-0.137293,0.451106,10.179303],[0.373280,-0.145962,9.829716],[-0.038182,-0.096364,-0.025510],[-94,199,338]]
DATA[1790,0,[0,0,0],[-0.037874,-0.019548,0.039095],[-0.117680,0.392266,-0.137293],[0.373280,-0.112463,9.820144],[-0.037273,-0.093636,-0.028571],[-93,202,326]]
DATA[1830,0,[0,0,0],[-0.036041,0.014050,0.043830],[-0.156906,0.411879,-0.156906],[0.378066,-0.131605,9.834501],[-0.036364,-0.096364,-0.025510],[-85,193,331]]
DATA[1870,0,[0,0,0],[-0.035583,0.012370,0.043677],[-0.156906,0.451106,10.159690],[0.373280,-0.141177,9.829716],[-0.037273,-0.094545,-0.029592],[-83,198,330]]
DATA[1910,0,[0,0,0],[-0.038332,0.010996,0.042608],[-0.156906,0.372653,10.179303],[0.346959,-0.126820,9.801002],[-0.037273,-0.100000,-0.026531],[-88,192,336]]
