
Thu Jan  1 00:00:01 1970

Flight Log #34
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.5'
LEGEND:[rover_t, rover_status, [rover_orient_est], [rover_orient_des], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag], [rover_thrusts_des]
DATA[3050, 0, [0.005043,-0.056271,3.107063],[0.000000,0.000000,0.000000],[-0.002118,0.026908,0.000000], [0.033903, -0.008794, -0.018631], 16, [-0.156906, -0.549172, -0.058840], [-0.018276, -0.526664, 9.738121], [381.000000, 6.000000, 512.000000], [-269.252502, 31.018600, -713.818787],[-0.000423,-0.000812,0.000423,0.000812]]
DATA[3110, 0, [0.004756,-0.056104,3.106763],[0.000000,0.000000,0.000000],[-0.001938,0.026895,0.000000], [0.036041, -0.010932, -0.014966], 16, [-0.137293, -0.568786, -10.042009], [-0.017926, -0.524667, 9.731848], [382.000000, 4.000000, 513.000000], [-268.273407, 31.018600, -716.882385],[-0.000452,-0.000957,0.000452,0.000957]]
DATA[3170, 0, [0.004596,-0.056176,3.100805],[0.000000,0.000000,0.000000],[-0.001938,0.026895,0.000000], [0.033292, -0.013375, -0.017715], 17, [-0.235360, -0.549172, -9.983170], [-0.020371, -0.528372, 9.727528], [-128.000000, 10.000000, -1.000000], [-271.210693, 29.017401, -710.755188],[-0.000297,-0.000894,0.000297,0.000894]]
DATA[3230, 0, [0.004547,-0.056148,3.116423],[0.000000,0.000000,0.000000],[-0.001886,0.026977,0.000000], [0.029322, -0.014597, -0.017715], 17, [-0.176520, -0.608012, -0.039227], [-0.017770, -0.528743, 9.725368], [381.000000, -1.000000, 512.000000], [-271.210693, 33.019798, -707.691589],[-0.000088,-0.000781,0.000088,0.000781]]
DATA[3290, 0, [0.004487,-0.056236,3.100854],[0.000000,0.000000,0.000000],[-0.001864,0.027038,0.000000], [0.030849, -0.012153, -0.016799], 17, [-0.156906, -0.509946, -0.019613], [-0.018546, -0.526960, 9.726767], [-128.000000, 0.000000, -3.000000], [-268.273407, 29.017401, -707.691589],[-0.000208,-0.000781,0.000208,0.000781]]
DATA[3350, 0, [0.004638,-0.056375,3.091411],[0.000000,0.000000,0.000000],[-0.001922,0.027166,0.000000], [0.033903, -0.009405, -0.012828], 17, [-0.156906, -0.608012, -10.002783], [-0.014645, -0.529173, 9.731022], [383.000000, 3.000000, -2.000000], [-275.127106, 27.016199, -720.967224],[-0.000491,-0.000635,0.000491,0.000635]]
DATA[3410, 0, [0.004414,-0.056205,3.103611],[0.000000,0.000000,0.000000],[-0.001922,0.027166,0.000000], [0.029627, -0.003601, -0.033292], 17, [-0.196133, -0.549172, -0.019613], [-0.017609, -0.527095, 9.729007], [-128.000000, 2.000000, 512.000000], [-271.210693, 30.018000, -714.840027],[-0.000369,-0.000514,0.000369,0.000514]]
DATA[3470, 0, [0.004477,-0.056076,3.107297],[0.000000,0.000000,0.000000],[-0.001861,0.027082,0.000000], [0.026573, 0.001896, -0.018631], 17, [-0.176520, -0.568786, -10.042009], [-0.017724, -0.531771, 9.737078], [382.000000, 3.000000, 513.000000], [-268.273407, 31.018600, -714.840027],[-0.000387,-0.000261,0.000387,0.000261]]
DATA[3540, 0, [0.004522,-0.056175,3.122587],[0.000000,0.000000,0.000000],[-0.001842,0.027147,0.000000], [0.028100, -0.011543, -0.010385], 17, [-0.196133, -0.568786, -10.042009], [-0.010256, -0.538879, 9.740782], [-126.000000, 3.000000, -1.000000], [-271.210693, 28.016800, -713.818787],[-0.000110,-0.000657,0.000110,0.000657]]
DATA[3590, 0, [0.004799,-0.056359,3.097488],[0.000000,0.000000,0.000000],[-0.001967,0.027268,0.000000], [0.038485, -0.011237, -0.018937], 17, [-0.156906, -0.137293, -0.019613], [-0.007150, -0.536166, 9.738765], [382.000000, 3.000000, 513.000000], [-274.148010, 28.016800, -708.712830],[-0.000532,-0.001058,0.000532,0.001058]]
DATA[3650, 0, [0.004823,-0.056387,3.120260],[0.000000,0.000000,0.000000],[-0.001967,0.027268,0.000000], [0.032376, -0.021622, -0.018021], 17, [-0.196133, -0.608012, -10.042009], [-0.015034, -0.532512, 9.736711], [-127.000000, 5.000000, 512.000000], [-278.064392, 34.020401, -706.670410],[-0.000028,-0.001075,0.000028,0.001075]]
DATA[3720, 0, [0.004781,-0.055951,3.095043],[0.000000,0.000000,0.000000],[-0.002008,0.027332,0.000000], [0.036652, -0.011543, -0.012828], 17, [-0.156906, -0.549172, -9.963556], [-0.010829, -0.520586, 9.732153], [-128.000000, 3.000000, 512.000000], [-271.210693, 28.016800, -717.903625],[-0.000450,-0.000991,0.000450,0.000991]]
DATA[3770, 0, [0.004819,-0.055778,3.093574],[0.000000,0.000000,0.000000],[-0.001985,0.027179,0.000000], [0.029932, -0.000547, -0.013439], 17, [-0.117680, -0.608012, -10.042009], [-0.006887, -0.526702, 9.731638], [-128.000000, 1.000000, 513.000000], [-270.231598, 27.016199, -713.818787],[-0.000462,-0.000455,0.000462,0.000455]]
DATA[3830, 0, [0.005122,-0.055875,3.090528],[0.000000,0.000000,0.000000],[-0.002095,0.027196,0.000000], [0.041844, -0.010015, -0.020464], 17, [-0.156906, -0.627626, -10.022396], [-0.012587, -0.525094, 9.733205], [381.000000, 2.000000, 512.000000], [-273.168915, 26.015600, -711.776428],[-0.000705,-0.001167,0.000705,0.001167]]
DATA[3900, 0, [0.004770,-0.055696,3.113020],[0.000000,0.000000,0.000000],[-0.002095,0.027196,0.000000], [0.031765, -0.010321, -0.007941], 17, [-0.137293, -0.529559, -0.058840], [-0.021311, -0.531807, 9.728879], [-127.000000, 8.000000, 513.000000], [-269.252502, 26.015600, -712.797607],[-0.000295,-0.000773,0.000295,0.000773]]
DATA[3950, 0, [0.004463,-0.055686,3.089755],[0.000000,0.000000,0.000000],[-0.001959,0.027135,0.000000], [0.028405, -0.007877, -0.016493], 17, [-0.137293, -0.608012, -10.022396], [-0.013771, -0.531210, 9.718375], [-128.000000, 5.000000, -2.000000], [-268.273407, 26.015600, -713.818787],[-0.000221,-0.000584,0.000221,0.000584]]
DATA[4010, 0, [0.004311,-0.055863,3.102372],[0.000000,0.000000,0.000000],[-0.001857,0.027256,0.000000], [0.028100, -0.003296, -0.013134], 17, [-0.156906, -0.529559, -0.039227], [-0.020148, -0.539073, 9.724123], [-127.000000, 6.000000, 513.000000], [-270.231598, 29.017401, -706.670410],[-0.000316,-0.000455,0.000316,0.000455]]
DATA[4080, 0, [0.004189,-0.056353,3.069993],[0.000000,0.000000,0.000000],[-0.001776,0.027546,0.000000], [0.040928, -0.010932, -0.021991], 17, [-0.196133, -0.549172, -10.022396], [-0.025101, -0.535479, 9.724759], [-127.000000, 9.000000, 512.000000], [-276.106201, 20.011999, -702.585571],[-0.000625,-0.001152,0.000625,0.001152]]
DATA[4130, 0, [0.004187,-0.056599,3.080736],[0.000000,0.000000,0.000000],[-0.001776,0.027546,0.000000], [0.035736, -0.004518, -0.019853], 17, [-0.156906, -0.549172, -9.983170], [-0.017575, -0.534296, 9.730491], [-127.000000, 6.000000, -2.000000], [-273.168915, 24.014400, -714.840027],[-0.000578,-0.000785,0.000578,0.000785]]
DATA[4200, 0, [0.004215,-0.056861,3.107100],[0.000000,0.000000,0.000000],[-0.001815,0.027739,0.000000], [0.024435, -0.008488, -0.019853], 17, [-0.156906, -0.588399, -0.039227], [-0.018549, -0.539460, 9.729631], [383.000000, 3.000000, -1.000000], [-270.231598, 25.014999, -709.734009],[-0.000226,-0.000586,0.000226,0.000586]]
DATA[4260, 0, [0.004217,-0.056972,3.061422],[0.000000,0.000000,0.000000],[-0.001828,0.027910,0.000000], [0.029322, -0.010321, -0.021380], 17, [-0.235360, -0.529559, -10.022396], [-0.010811, -0.534878, 9.730002], [-127.000000, 4.000000, -1.000000], [-271.210693, 19.011400, -711.776428],[-0.000163,-0.000661,0.000163,0.000661]]
DATA[4310, 0, [0.004352,-0.056787,3.093054],[0.000000,0.000000,0.000000],[-0.001845,0.027862,0.000000], [0.039401, -0.014291, -0.017104], 17, [-0.176520, -0.568786, -10.002783], [-0.018264, -0.530805, 9.727190], [-126.000000, 7.000000, 514.000000], [-267.294312, 28.016800, -718.924805],[-0.000470,-0.001166,0.000470,0.001166]]
DATA[4380, 0, [0.004138,-0.056739,3.091568],[0.000000,0.000000,0.000000],[-0.001845,0.027862,0.000000], [0.038790, -0.002990, -0.014355], 17, [-0.176520, -0.549172, -10.042009], [-0.012976, -0.533935, 9.735717], [-126.000000, 7.000000, 513.000000], [-271.210693, 25.014999, -720.967224],[-0.000160,-0.000841,0.000160,0.000841]]
DATA[4440, 0, [0.004331,-0.056556,3.091129],[0.000000,0.000000,0.000000],[-0.001828,0.027868,0.000000], [0.036652, -0.002685, -0.013439], 17, [-0.156906, -0.529559, -9.943943], [-0.020899, -0.525759, 9.742753], [380.000000, 4.000000, -1.000000], [-270.231598, 27.016199, -715.861206],[-0.000650,-0.000768,0.000650,0.000768]]
DATA[4490, 0, [0.004185,-0.056398,3.078836],[0.000000,0.000000,0.000000],[-0.001894,0.027774,0.000000], [0.023824, -0.017957, -0.018937], 17, [-0.117680, -0.568786, -10.042009], [-0.023882, -0.530684, 9.739579], [-126.000000, 5.000000, -1.000000], [-271.210693, 23.013800, -706.670410],[0.000239,-0.000640,-0.000239,0.000640]]
DATA[4560, 0, [0.004514,-0.056285,3.092149],[0.000000,0.000000,0.000000],[-0.001947,0.027817,0.000000], [0.028100, -0.017957, -0.013744], 17, [-0.058840, -0.568786, -0.058840], [-0.020420, -0.528673, 9.734359], [382.000000, -1.000000, -1.000000], [-279.043488, 29.017401, -710.755188],[-0.000426,-0.000586,0.000426,0.000586]]
DATA[4620, 0, [0.004421,-0.056212,3.071097],[0.000000,0.000000,0.000000],[-0.001947,0.027817,0.000000], [0.042761, -0.002380, -0.016493], 17, [-0.176520, -0.588399, -10.022396], [-0.019932, -0.528916, 9.726602], [-128.000000, 1.000000, 515.000000], [-268.273407, 21.012600, -706.670410],[-0.000909,-0.001009,0.000909,0.001009]]
DATA[4670, 0, [0.004363,-0.056124,3.091636],[0.000000,0.000000,0.000000],[-0.001887,0.027780,0.000000], [0.027489, -0.007877, -0.014050], 17, [-0.098067, -0.568786, -10.002783], [-0.011668, -0.526032, 9.725835], [381.000000, 1.000000, 513.000000], [-270.231598, 27.016199, -718.924805],[-0.000161,-0.000540,0.000161,0.000540]]
DATA[4740, 0, [0.004524,-0.056338,3.101536],[0.000000,0.000000,0.000000],[-0.001912,0.027751,0.000000], [0.027794, -0.009099, -0.022602], 17, [-0.196133, -0.019613, -10.022396], [-0.015576, -0.538815, 9.734882], [381.000000, -1.000000, -2.000000], [-273.168915, 38.022800, -710.755188],[-0.000389,-0.001073,0.000389,0.001073]]
DATA[4800, 0, [0.004420,-0.056602,3.083462],[0.000000,0.000000,0.000000],[-0.001928,0.028046,0.000000], [0.029627, -0.016430, -0.021686], 17, [-0.156906, -0.588399, -10.042009], [-0.021111, -0.536449, 9.723586], [-128.000000, -1.000000, 512.000000], [-277.085297, 24.014400, -705.649170],[-0.000024,-0.000830,0.000024,0.000830]]
DATA[4850, 0, [0.004646,-0.056794,3.092843],[0.000000,0.000000,0.000000],[-0.001928,0.028046,0.000000], [0.032681, -0.020400, -0.013744], 17, [-0.176520, -0.568786, -0.019613], [-0.013360, -0.537856, 9.727130], [380.000000, 0.000000, -1.000000], [-270.231598, 27.016199, -704.627991],[-0.000047,-0.001053,0.000047,0.001053]]
DATA[4920, 0, [0.004758,-0.056612,3.087817],[0.000000,0.000000,0.000000],[-0.002008,0.028187,0.000000], [0.035430, -0.015819, -0.015272], 17, [-0.137293, -0.529559, -10.002783], [-0.017691, -0.534402, 9.735192], [380.000000, -1.000000, -2.000000], [-280.022614, 36.021599, -717.903625],[-0.000497,-0.000888,0.000497,0.000888]]
DATA[4980, 0, [0.004610,-0.056817,3.095043],[0.000000,0.000000,0.000000],[-0.002029,0.028268,0.000000], [0.031765, -0.009099, -0.020769], 17, [-0.098067, -0.058840, -0.137293], [-0.017336, -0.530360, 9.720684], [381.000000, -1.000000, -2.000000], [-269.252502, 28.016800, -710.755188],[-0.000288,-0.000725,0.000288,0.000725]]
DATA[5040, 0, [0.004358,-0.056571,3.123036],[0.000000,0.000000,0.000000],[-0.001910,0.028138,0.000000], [0.025351, -0.017346, -0.025351], 17, [-0.137293, -0.509946, -10.022396], [-0.021120, -0.532263, 9.735620], [382.000000, -3.000000, 513.000000], [-275.127106, 35.021000, -707.691589],[0.000032,-0.000885,-0.000032,0.000885]]
DATA[5100, 0, [0.004248,-0.056557,3.108643],[0.000000,0.000000,0.000000],[-0.001910,0.028138,0.000000], [0.031460, -0.006045, -0.015577], 17, [-0.176520, -0.549172, -10.002783], [-0.017790, -0.527516, 9.737718], [382.000000, 2.000000, 513.000000], [-264.356995, 32.019199, -717.903625],[-0.000205,-0.000894,0.000205,0.000894]]
DATA[5170, 0, [0.004481,-0.056435,3.123016],[0.000000,0.000000,0.000000],[-0.001863,0.028230,0.000000], [0.034208, -0.021927, -0.014966], 17, [-0.098067, -0.588399, -0.098067], [-0.016384, -0.529611, 9.733179], [-128.000000, 6.000000, -1.000000], [-277.085297, 26.015600, -719.945984],[-0.000063,-0.001153,0.000063,0.001153]]
