
Thu Jan  1 00:00:01 1970

Flight Log #32
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.5'
LEGEND:[rover_t, rover_status, [rover_orient_est], [rover_orient_des], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag], [rover_thrusts_des]
DATA[3020, 0, [0.003630,-0.053314,-3.093786],[0.000000,0.000000,0.000000],[-0.001479,0.025517,0.004849], [0.040317, -0.004823, -0.028100], 14, [-0.137293, -0.608012, -10.022396], [-0.042113, -0.507710, 9.737887], [-126.000000, 41.000000, 512.000000], [-287.855408, 52.031200, -718.924805],[-0.000274,-0.002171,0.001631,0.000814]]
DATA[3090, 0, [0.003655,-0.053425,-3.131955],[0.000000,0.000000,0.000000],[-0.001453,0.025626,-0.026458], [0.047037, -0.005129, -0.029322], 14, [-0.156906, -0.156906, -9.963556], [-0.040408, -0.504301, 9.736735], [-126.000000, 41.000000, 512.000000], [-286.876312, 41.024601, -715.861206],[-0.000856,-0.001465,0.000801,0.001521]]
DATA[3160, 0, [0.004125,-0.053320,-3.135382],[0.000000,0.000000,0.000000],[-0.001671,0.025605,-0.005589], [0.040317, -0.004212, -0.020769], 14, [-0.019613, -0.549172, -10.042009], [-0.035890, -0.500110, 9.741904], [383.000000, 41.000000, -2.000000], [-285.897186, 41.024601, -717.903625],[-0.000552,-0.001659,0.001372,0.000839]]
DATA[3220, 0, [0.004331,-0.053190,-3.113844],[0.000000,0.000000,0.000000],[-0.001703,0.025592,-0.008501], [0.043066, -0.021622, -0.031154], 15, [-0.098067, -0.588399, -10.042009], [-0.041224, -0.500629, 9.746990], [383.000000, 41.000000, -1.000000], [-280.022614, 36.021599, -709.734009],[-0.000352,-0.002138,0.001530,0.000960]]
DATA[3280, 0, [0.004528,-0.053363,-3.116774],[0.000000,0.000000,0.000000],[-0.001785,0.025695,0.014396], [0.050702, -0.015208, -0.020769], 15, [-0.137293, -0.627626, -0.039227], [-0.045244, -0.500591, 9.736890], [-127.000000, 38.000000, 512.000000], [-282.959900, 45.027000, -712.797607],[-0.000149,-0.002635,0.001908,0.000877]]
DATA[3330, 0, [0.004408,-0.053122,-3.128029],[0.000000,0.000000,0.000000],[-0.001756,0.025630,-0.012208], [0.043371, -0.006045, -0.020464], 15, [-0.137293, -0.509946, -10.022396], [-0.045937, -0.500028, 9.727496], [-127.000000, 38.000000, -1.000000], [-290.792694, 42.025200, -716.882385],[-0.000763,-0.001447,0.001176,0.001035]]
DATA[3390, 0, [0.004446,-0.053077,-3.135533],[0.000000,0.000000,0.000000],[-0.001782,0.025634,-0.009382], [0.043677, -0.005739, -0.024740], 15, [-0.156906, -0.568786, -9.983170], [-0.036329, -0.507389, 9.720570], [-126.000000, 39.000000, -1.000000], [-286.876312, 40.023998, -720.967224],[-0.000609,-0.001633,0.001377,0.000865]]
DATA[3460, 0, [0.004452,-0.053290,-3.115441],[0.000000,0.000000,0.000000],[-0.001842,0.025752,-0.002250], [0.042455, -0.003601, -0.015577], 15, [-0.156906, -0.549172, -9.983170], [-0.045786, -0.503989, 9.729024], [-128.000000, 43.000000, -2.000000], [-283.938995, 46.027599, -725.052002],[-0.000765,-0.001670,0.001661,0.000774]]
DATA[3530, 0, [0.004606,-0.053447,-3.133385],[0.000000,0.000000,0.000000],[-0.001779,0.025850,-0.008565], [0.051007, -0.008488, -0.031154], 15, [-0.098067, -0.627626, -10.002783], [-0.040695, -0.504721, 9.732329], [383.000000, 40.000000, -2.000000], [-281.980804, 41.024601, -724.030823],[-0.000480,-0.002371,0.001839,0.001013]]
DATA[3600, 0, [0.004475,-0.053408,-3.104182],[0.000000,0.000000,0.000000],[-0.001808,0.025933,-0.024385], [0.043066, -0.005739, -0.030543], 15, [-0.098067, -0.529559, -10.002783], [-0.044591, -0.503357, 9.734925], [383.000000, 34.000000, 512.000000], [-288.834503, 49.029400, -716.882385],[-0.001268,-0.001390,0.001301,0.001357]]
