
Thu Jan  1 00:00:01 1970

Flight Log #32
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.5'
LEGEND:[rover_t, rover_status, [rover_orient_est], [rover_orient_des], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag], [rover_thrusts_des]
DATA[3050, 0, [0.005322,-0.056975,3.046948],[0.000000,0.000000,0.000000],[-0.002091,0.027324,0.103424], [0.052697, -0.005884, -0.029061], 13, [-0.176520, -0.588399, -9.963556], [-0.000925, -0.546561, 9.731387], [-124.000000, 0.000000, -4.000000], [-297.646393, 14.008400, -735.263977],[0.001917,-0.004948,0.004719,-0.001688]]
DATA[3110, 0, [0.005038,-0.056796,3.004565],[0.000000,0.000000,0.000000],[-0.001974,0.027271,0.112463], [0.055964, -0.006837, -0.019758], 13, [-0.137293, -0.627626, -0.039227], [-0.001277, -0.546680, 9.731060], [-121.000000, 0.000000, -4.000000], [-292.750885, 2.001200, -737.306396],[0.001900,-0.004864,0.004542,-0.001578]]
DATA[3170, 0, [0.004874,-0.056791,3.031483],[0.000000,0.000000,0.000000],[-0.001910,0.027310,0.099070], [0.051891, -0.007425, -0.025015], 13, [-0.117680, -0.588399, -0.039227], [0.000824, -0.548047, 9.733330], [-124.000000, -2.000000, -6.000000], [-291.771790, 10.006000, -737.306396],[0.001751,-0.004652,0.004453,-0.001552]]
DATA[3240, 0, [0.004725,-0.056527,3.036151],[0.000000,0.000000,0.000000],[-0.001874,0.027314,0.096270], [0.052002, -0.009168, -0.023489], 13, [-0.156906, -0.019613, -0.019613], [0.000263, -0.536981, 9.731295], [-121.000000, 1.000000, -6.000000], [-297.646393, 11.006600, -745.476013],[0.001764,-0.004629,0.004224,-0.001359]]
DATA[3300, 0, [0.005090,-0.056520,3.013213],[0.000000,0.000000,0.000000],[-0.001999,0.027259,0.127340], [0.050439, -0.007203, -0.031514], 13, [-0.078453, -0.588399, -9.904716], [0.007800, -0.545335, 9.731757], [-123.000000, 5.000000, -7.000000], [-291.771790, 5.003000, -746.497192],[0.002745,-0.005499,0.005198,-0.002444]]
DATA[3370, 0, [0.005329,-0.056714,3.039732],[0.000000,0.000000,0.000000],[-0.002049,0.027347,0.115235], [0.050586, -0.003800, -0.023556], 13, [-0.117680, -0.608012, -0.019613], [0.009924, -0.550551, 9.721180], [-121.000000, 4.000000, -4.000000], [-292.750885, 7.004200, -739.348816],[0.002037,-0.004954,0.004770,-0.001852]]
DATA[3430, 0, [0.005236,-0.056847,3.005370],[0.000000,0.000000,0.000000],[-0.002093,0.027440,0.109799], [0.050935, -0.006852, -0.018583], 13, [-0.156906, -0.627626, -10.042009], [0.001410, -0.551615, 9.727781], [-119.000000, 3.000000, -2.000000], [-292.750885, 2.001200, -732.200378],[0.001829,-0.004643,0.004418,-0.001604]]
DATA[3500, 0, [0.005185,-0.056452,3.013031],[0.000000,0.000000,0.000000],[-0.002031,0.027371,0.105875], [0.051329, -0.007100, -0.026825], 13, [-0.176520, -0.098067, -10.022396], [0.006797, -0.539942, 9.719587], [-122.000000, 2.000000, -3.000000], [-294.709106, 4.002400, -737.306396],[0.002015,-0.004817,0.004520,-0.001718]]
DATA[3560, 0, [0.005379,-0.056518,3.022754],[0.000000,0.000000,0.000000],[-0.002117,0.027429,0.106954], [0.054869, -0.009002, -0.011349], 13, [-0.137293, -0.568786, -10.002783], [0.006215, -0.544194, 9.725951], [-121.000000, 0.000000, -5.000000], [-292.750885, 7.004200, -734.242798],[0.001584,-0.004719,0.004331,-0.001197]]
DATA[3630, 0, [0.005434,-0.056535,3.043199],[0.000000,0.000000,0.000000],[-0.002139,0.027448,0.113350], [0.053959, -0.004445, -0.023236], 13, [-0.117680, -0.549172, -9.983170], [0.004992, -0.550057, 9.722764], [-121.000000, 0.000000, -7.000000], [-294.709106, 6.003600, -734.242798],[0.001959,-0.005029,0.004870,-0.001800]]
DATA[3690, 0, [0.005312,-0.056750,3.041895],[0.000000,0.000000,0.000000],[-0.002089,0.027601,0.089728], [0.052737, -0.007972, -0.029838], 13, [-0.137293, -0.549172, -0.019613], [0.006479, -0.548968, 9.722840], [-121.000000, -2.000000, -7.000000], [-289.813599, 11.006600, -731.179199],[0.001628,-0.004620,0.004273,-0.001281]]
DATA[3750, 0, [0.005606,-0.056787,3.027024],[0.000000,0.000000,0.000000],[-0.002146,0.027671,0.092784], [0.054226, -0.000940, -0.028071], 13, [-0.098067, -0.549172, -9.963556], [0.009487, -0.549039, 9.725368], [-123.000000, 5.000000, -3.000000], [-293.730011, 9.005400, -745.476013],[0.001459,-0.004653,0.004549,-0.001356]]
DATA[3820, 0, [0.005550,-0.057017,3.023667],[0.000000,0.000000,0.000000],[-0.002172,0.027755,0.102497], [0.052991, -0.005541, -0.028289], 13, [-0.156906, -0.568786, -0.078453], [0.008633, -0.552350, 9.721688], [-123.000000, 3.000000, -4.000000], [-291.771790, 8.004800, -738.327576],[0.001884,-0.004933,0.004643,-0.001593]]
DATA[3890, 0, [0.006041,-0.057313,3.027300],[0.000000,0.000000,0.000000],[-0.002234,0.027825,0.103978], [0.057970, -0.005122, -0.031019], 13, [-0.137293, -0.549172, -10.022396], [0.012751, -0.564308, 9.743475], [-121.000000, 0.000000, -8.000000], [-298.625488, 8.004800, -729.136780],[0.001731,-0.005088,0.004990,-0.001634]]
DATA[3960, 0, [0.005941,-0.057725,3.013202],[0.000000,0.000000,0.000000],[-0.002320,0.028143,0.113475], [0.051232, -0.007470, -0.028984], 13, [-0.176520, -0.627626, -10.042009], [0.018736, -0.556681, 9.719867], [-121.000000, 0.000000, -3.000000], [-288.834503, 6.003600, -740.369995],[0.002338,-0.005178,0.004804,-0.001964]]
DATA[4020, 0, [0.005871,-0.057351,3.030803],[0.000000,0.000000,0.000000],[-0.002298,0.028023,0.099711], [0.051684, -0.006706, -0.028568], 13, [-0.137293, -0.549172, -10.002783], [0.004134, -0.551220, 9.743259], [-122.000000, -4.000000, -4.000000], [-291.771790, 10.006000, -732.200378],[0.001953,-0.004746,0.004440,-0.001647]]
DATA[4080, 0, [0.005032,-0.057108,3.049413],[0.000000,0.000000,0.000000],[-0.002182,0.028013,0.099251], [0.051912, -0.006331, -0.030722], 13, [-0.156906, -0.568786, -10.042009], [-0.006731, -0.547999, 9.728019], [-122.000000, 1.000000, -5.000000], [-291.771790, 16.009600, -746.497192],[0.001831,-0.004878,0.004612,-0.001566]]
DATA[4150, 0, [0.004895,-0.057224,3.016195],[0.000000,0.000000,0.000000],[-0.001970,0.028044,0.106362], [0.054384, -0.003864, -0.029167], 13, [-0.176520, -0.568786, -10.022396], [-0.002138, -0.557595, 9.755079], [-123.000000, 2.000000, -5.000000], [-295.688202, 5.003000, -731.179199],[0.001963,-0.005117,0.004926,-0.001772]]
DATA[4220, 0, [0.004780,-0.057357,3.013608],[0.000000,0.000000,0.000000],[-0.001937,0.028170,0.115187], [0.054835, -0.003266, -0.027309], 13, [-0.117680, -0.058840, -0.039227], [0.008027, -0.559514, 9.708968], [-122.000000, 4.000000, -6.000000], [-291.771790, 5.003000, -734.242798],[0.002034,-0.005205,0.005091,-0.001920]]
DATA[4290, 0, [0.004436,-0.057159,3.028617],[0.000000,0.000000,0.000000],[-0.001877,0.028115,0.107071], [0.046794, -0.012307, -0.028615], 13, [-0.215746, -0.588399, -9.904716], [-0.007701, -0.542423, 9.740725], [-121.000000, 2.000000, -3.000000], [-295.688202, 8.004800, -741.391174],[0.002313,-0.004977,0.004478,-0.001814]]
DATA[4350, 0, [0.003892,-0.056647,3.014732],[0.000000,0.000000,0.000000],[-0.001608,0.027938,0.114405], [0.051609, -0.007647, -0.016081], 13, [-0.117680, -0.568786, -10.042009], [-0.006545, -0.533587, 9.723229], [-120.000000, 2.000000, -8.000000], [-296.667297, 8.004800, -735.263977],[0.002295,-0.005225,0.004915,-0.001985]]
DATA[4410, 0, [0.004657,-0.056588,3.053325],[0.000000,0.000000,0.000000],[-0.001894,0.027920,0.090512], [0.055832, -0.001938, -0.026102], 13, [-0.156906, -0.568786, -9.963556], [0.005167, -0.552921, 9.730881], [-119.000000, 1.000000, -5.000000], [-298.625488, 16.009600, -744.454773],[0.001242,-0.004656,0.004571,-0.001158]]
DATA[4480, 0, [0.005020,-0.057028,3.030926],[0.000000,0.000000,0.000000],[-0.001958,0.028036,0.104086], [0.053818, -0.004075, -0.029045], 13, [-0.215746, -0.019613, -0.019613], [0.013561, -0.561989, 9.726141], [-123.000000, 1.000000, -8.000000], [-295.688202, 9.005400, -727.094421],[0.001837,-0.004975,0.004820,-0.001681]]
DATA[4540, 0, [0.005077,-0.057816,3.030286],[0.000000,0.000000,0.000000],[-0.002068,0.028569,0.100027], [0.050367, -0.011038, -0.030631], 13, [-0.176520, -0.490333, -9.963556], [0.001587, -0.560051, 9.738276], [-123.000000, -1.000000, -5.000000], [-289.813599, 11.006600, -743.433594],[0.002102,-0.004930,0.004431,-0.001603]]
DATA[4610, 0, [0.004848,-0.057446,3.020972],[0.000000,0.000000,0.000000],[-0.001993,0.028568,0.137065], [0.049562, -0.006217, -0.027060], 13, [-0.098067, -0.588399, -0.039227], [-0.001497, -0.539146, 9.730473], [-120.000000, 5.000000, -7.000000], [-293.730011, 5.003000, -739.348816],[0.002848,-0.005621,0.005358,-0.002586]]
DATA[4670, 0, [0.004944,-0.056769,3.021853],[0.000000,0.000000,0.000000],[-0.002026,0.028221,0.115877], [0.055229, -0.003431, -0.015405], 13, [-0.137293, -0.509946, -10.022396], [-0.002218, -0.540069, 9.734108], [-121.000000, 3.000000, -5.000000], [-290.792694, 7.004200, -732.200378],[0.002100,-0.005307,0.005134,-0.001927]]
DATA[4740, 0, [0.005437,-0.057065,3.025169],[0.000000,0.000000,0.000000],[-0.002157,0.028273,0.104379], [0.054114, -0.005478, -0.029604], 13, [-0.176520, -0.588399, -10.022396], [0.018060, -0.565040, 9.726017], [-120.000000, 4.000000, -6.000000], [-293.730011, 8.004800, -734.242798],[0.001861,-0.004900,0.004766,-0.001726]]
DATA[4800, 0, [0.005493,-0.057507,3.014234],[0.000000,0.000000,0.000000],[-0.002260,0.028521,0.104082], [0.052124, -0.009183, -0.029847], 13, [-0.117680, -0.608012, -10.042009], [0.003147, -0.557062, 9.735556], [-123.000000, 1.000000, -7.000000], [-299.604614, 4.002400, -728.115601],[0.002042,-0.005053,0.004654,-0.001643]]
DATA[4870, 0, [0.005206,-0.057186,3.010904],[0.000000,0.000000,0.000000],[-0.002113,0.028458,0.117584], [0.049349, -0.010488, -0.020593], 13, [-0.137293, -0.529559, -0.019613], [0.006242, -0.542112, 9.727349], [-122.000000, -2.000000, -4.000000], [-297.646393, 4.002400, -745.476013],[0.002289,-0.005092,0.004619,-0.001817]]
DATA[4930, 0, [0.004964,-0.056537,3.036058],[0.000000,0.000000,0.000000],[-0.002081,0.028294,0.114452], [0.050280, -0.007826, -0.025908], 13, [-0.117680, -0.627626, -10.002783], [-0.003599, -0.536360, 9.728188], [-121.000000, 0.000000, -6.000000], [-301.562805, 10.006000, -735.263977],[0.002202,-0.005152,0.004834,-0.001884]]
DATA[4990, 0, [0.004797,-0.056318,3.010989],[0.000000,0.000000,0.000000],[-0.001981,0.028128,0.097667], [0.051270, -0.009357, -0.028099], 13, [-0.176520, -0.568786, -9.924330], [-0.000120, -0.539231, 9.728892], [-123.000000, 3.000000, -5.000000], [-297.646393, 2.001200, -721.988403],[0.001853,-0.004943,0.004470,-0.001380]]
DATA[5060, 0, [0.004715,-0.056536,3.013303],[0.000000,0.000000,0.000000],[-0.001938,0.028257,0.124533], [0.051934, -0.006697, -0.027985], 13, [-0.215746, -0.588399, -10.002783], [0.002941, -0.550855, 9.741168], [-121.000000, 3.000000, -6.000000], [-292.750885, 4.002400, -731.179199],[0.002425,-0.005513,0.005238,-0.002150]]
DATA[5130, 0, [0.004739,-0.056512,3.027559],[0.000000,0.000000,0.000000],[-0.001940,0.028304,0.107176], [0.052988, -0.007153, -0.027490], 13, [-0.137293, -0.549172, -10.022396], [0.000137, -0.543231, 9.726345], [-122.000000, 3.000000, -4.000000], [-292.750885, 8.004800, -728.115601],[0.001974,-0.005025,0.004786,-0.001735]]
DATA[5200, 0, [0.005042,-0.056858,3.037457],[0.000000,0.000000,0.000000],[-0.002077,0.028484,0.093608], [0.054833, -0.005049, -0.030684], 13, [-0.098067, -0.568786, -9.963556], [0.002613, -0.552162, 9.726708], [-118.000000, 2.000000, -4.000000], [-290.792694, 9.005400, -736.285217],[0.001568,-0.004892,0.004645,-0.001321]]
DATA[5260, 0, [0.005213,-0.056941,3.027729],[0.000000,0.000000,0.000000],[-0.002130,0.028556,0.119283], [0.052365, -0.005912, -0.030367], 13, [-0.117680, -0.568786, -9.963556], [0.005813, -0.548895, 9.734555], [-123.000000, 5.000000, -5.000000], [-294.709106, 9.005400, -742.412415],[0.002319,-0.005410,0.005163,-0.002073]]
DATA[5330, 0, [0.005228,-0.056803,3.023276],[0.000000,0.000000,0.000000],[-0.002143,0.028515,0.118836], [0.052053, -0.004302, -0.029138], 13, [-0.058840, -0.608012, -10.022396], [0.004937, -0.550741, 9.740364], [-121.000000, 1.000000, -4.000000], [-296.667297, 7.004200, -736.285217],[0.002225,-0.005384,0.005198,-0.002039]]
DATA[5390, 0, [0.005284,-0.057013,3.024764],[0.000000,0.000000,0.000000],[-0.002171,0.028680,0.105146], [0.050443, -0.006121, -0.019450], 13, [-0.176520, -0.568786, -0.019613], [0.009183, -0.552833, 9.738125], [-120.000000, 4.000000, -4.000000], [-291.771790, 5.003000, -746.497192],[0.001770,-0.004715,0.004459,-0.001514]]
