
Thu Jan  1 00:00:01 1970

Flight Log #7
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.5'
LEGEND:[rover_t, rover_status, [rover_orient_est], [rover_orient_des], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag], [rover_thrusts_des]
DATA[3060, 0, [-0.026310,-0.067117,1.951715],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.025642, -0.005899, 0.028973], 14, [0.078453, -0.039227, -10.042009], [-0.308855, -0.608681, 9.726234], [85.000000, -149.000000, 582.000000], [-51.892300, -128.076797, -772.027222],[-0.000839,-0.001340,0.000839,0.001340]]
DATA[3130, 0, [-0.024814,-0.065412,1.906405],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.060700, 0.007198, 0.030235], 14, [-0.137293, -0.568786, -0.058840], [-0.308911, -0.596797, 9.727367], [87.000000, -152.000000, 578.000000], [-45.038601, -133.079803, -771.005981],[-0.002531,-0.002539,0.002531,0.002539]]
DATA[3200, 0, [-0.024626,-0.063767,1.940961],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.046456, 0.006667, 0.034025], 14, [-0.137293, -0.588399, -0.019613], [-0.338619, -0.591722, 9.726511], [83.000000, -152.000000, 577.000000], [-49.934101, -128.076797, -766.921204],[-0.002258,-0.001691,0.002258,0.001691]]
DATA[3270, 0, [-0.025704,-0.064075,1.987161],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.031080, -0.040245, 0.029616], 14, [-0.117680, -0.117680, -9.904716], [-0.351503, -0.594799, 9.729495], [87.000000, -153.000000, 578.000000], [-59.725101, -130.078003, -782.239197],[0.000183,-0.002805,-0.000183,0.002805]]
DATA[3330, 0, [-0.026667,-0.066360,1.977355],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.043176, -0.061867, 0.034811], 14, [0.137293, -0.058840, -10.022396], [-0.349665, -0.606332, 9.724146], [92.000000, -149.000000, 576.000000], [-56.787800, -128.076797, -781.218018],[0.000705,-0.004249,-0.000705,0.004249]]
DATA[3400, 0, [-0.026115,-0.067725,2.001048],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.064416, -0.035074, 0.031495], 14, [-0.156906, -0.039227, -10.002783], [-0.333061, -0.622117, 9.720338], [96.000000, -152.000000, 578.000000], [-64.620598, -137.082199, -761.815186],[-0.000943,-0.004341,0.000943,0.004341]]
DATA[3450, 0, [-0.026240,-0.067655,1.978557],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.020797, -0.015333, 0.032184], 14, [0.137293, -0.078453, -10.002783], [-0.326441, -0.625036, 9.724503], [97.000000, -152.000000, 581.000000], [-61.683300, -137.082199, -773.048401],[-0.000232,-0.001536,0.000232,0.001536]]
DATA[3520, 0, [-0.026106,-0.066776,1.988704],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.057455, 0.014036, 0.035748], 14, [0.313813, -0.039227, -9.983170], [-0.348744, -0.617877, 9.726801], [93.000000, -156.000000, 578.000000], [-64.620598, -139.083405, -761.815186],[-0.002683,-0.001890,0.002683,0.001890]]
DATA[3580, 0, [-0.026588,-0.065665,1.972013],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.044557, -0.006894, 0.037728], 14, [-0.078453, -0.588399, -10.042009], [-0.370662, -0.610703, 9.731167], [96.000000, -157.000000, 579.000000], [-59.725101, -138.082794, -772.027222],[-0.001601,-0.002187,0.001601,0.002187]]
DATA[3650, 0, [-0.028637,-0.066714,1.981300],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.026536, -0.042363, 0.037607], 14, [-0.117680, -0.078453, -10.002783], [-0.391044, -0.616259, 9.726357], [101.000000, -155.000000, 576.000000], [-59.725101, -136.081604, -777.133179],[0.000591,-0.002897,-0.000591,0.002897]]
DATA[3720, 0, [-0.030386,-0.068462,2.005740],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.028455, -0.051588, 0.035004], 14, [-0.117680, -0.608012, -10.002783], [-0.380089, -0.627959, 9.717624], [105.000000, -150.000000, 582.000000], [-62.662399, -132.079193, -771.005981],[0.001074,-0.003390,-0.001074,0.003390]]
DATA[3780, 0, [-0.030262,-0.069430,2.010769],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.052202, -0.017089, 0.037531], 14, [-0.156906, -0.098067, -10.002783], [-0.362314, -0.642209, 9.719536], [104.000000, -153.000000, 581.000000], [-67.557899, -139.083405, -776.112000],[-0.001492,-0.002945,0.001492,0.002945]]
DATA[3850, 0, [-0.028252,-0.069215,2.029523],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.070949, -0.023656, 0.041357], 14, [-0.137293, -0.039227, -10.022396], [-0.348691, -0.645947, 9.717899], [107.000000, -156.000000, 580.000000], [-72.453400, -137.082199, -773.048401],[-0.002233,-0.003765,0.002233,0.003765]]
DATA[3920, 0, [-0.026883,-0.067734,2.042343],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.066199, 0.015942, 0.043154], 14, [-0.078453, -0.608012, -10.022396], [-0.358237, -0.628150, 9.722563], [104.000000, -157.000000, 576.000000], [-73.432503, -132.079193, -776.112000],[-0.003491,-0.002136,0.003491,0.002136]]
DATA[3990, 0, [-0.027112,-0.066530,2.009389],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.042584, -0.010059, 0.043179], 14, [-0.058840, -0.588399, -10.022396], [-0.372138, -0.616226, 9.719809], [103.000000, -157.000000, 577.000000], [-68.537003, -139.083405, -765.900024],[-0.001639,-0.002244,0.001639,0.002244]]
DATA[4060, 0, [-0.028572,-0.067054,2.023685],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.021276, -0.036711, 0.039668], 14, [-0.117680, -0.039227, -0.019613], [-0.366702, -0.612021, 9.727400], [105.000000, -153.000000, 578.000000], [-72.453400, -144.086395, -776.112000],[0.000656,-0.002464,-0.000656,0.002464]]
DATA[4120, 0, [-0.029923,-0.067530,2.043551],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.020604, -0.026379, 0.042834], 14, [0.137293, -0.627626, -10.002783], [-0.347511, -0.613956, 9.724064], [111.000000, -153.000000, 577.000000], [-75.390701, -140.084000, -771.005981],[0.000311,-0.001962,-0.000311,0.001962]]
DATA[4190, 0, [-0.029230,-0.066861,2.060448],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.045122, 0.009613, 0.045571], 14, [0.117680, -0.608012, -10.002783], [-0.321758, -0.628557, 9.720099], [114.000000, -154.000000, 578.000000], [-80.286201, -129.077393, -772.027222],[-0.002058,-0.001533,0.002058,0.001533]]
DATA[4250, 0, [-0.027073,-0.067056,2.027341],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.064114, -0.030470, 0.049665], 14, [-0.137293, -0.019613, -10.022396], [-0.320220, -0.625451, 9.722909], [109.000000, -154.000000, 579.000000], [-69.516098, -132.079193, -766.921204],[-0.001607,-0.003807,0.001607,0.003807]]
DATA[4320, 0, [-0.025613,-0.066203,2.032323],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.069902, 0.004174, 0.045341], 14, [-0.039227, -0.627626, -0.019613], [-0.335689, -0.609214, 9.719837], [112.000000, -155.000000, 580.000000], [-74.411598, -138.082794, -765.900024],[-0.003284,-0.002752,0.003284,0.002752]]
DATA[4370, 0, [-0.024859,-0.065420,2.066435],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.056207, -0.024409, 0.043399], 14, [-0.156906, -0.588399, -10.022396], [-0.345320, -0.595240, 9.720112], [113.000000, -156.000000, 575.000000], [-82.244400, -137.082199, -762.836426],[-0.001351,-0.003426,0.001351,0.003426]]
DATA[4440, 0, [-0.025686,-0.066310,2.028270],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.032676, -0.047233, 0.043913], 14, [0.137293, -0.058840, -0.137293], [-0.335798, -0.581920, 9.716618], [117.000000, -155.000000, 577.000000], [-76.369797, -144.086395, -760.794006],[0.000545,-0.003261,-0.000545,0.003261]]
DATA[4500, 0, [-0.026144,-0.066582,2.070860],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.028807, -0.030521, 0.042063], 14, [0.058840, -0.078453, -10.042009], [-0.311950, -0.589944, 9.716349], [120.000000, -154.000000, 580.000000], [-81.265297, -134.080399, -769.984802],[0.000073,-0.002521,-0.000073,0.002521]]
DATA[4570, 0, [-0.025352,-0.065507,2.059197],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.042858, 0.002493, 0.046736], 14, [0.078453, -0.078453, -10.002783], [-0.290272, -0.609008, 9.716235], [118.000000, -156.000000, 581.000000], [-80.286201, -137.082199, -775.090820],[-0.001825,-0.001682,0.001825,0.001682]]
DATA[4640, 0, [-0.023612,-0.064130,2.080169],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.069596, 0.018101, 0.047828], 14, [-0.137293, -0.058840, -10.042009], [-0.302323, -0.615607, 9.720506], [118.000000, -159.000000, 580.000000], [-87.139900, -138.082794, -751.603210],[-0.003705,-0.002062,0.003705,0.002062]]
DATA[4700, 0, [-0.022235,-0.063398,2.059892],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.071627, -0.005115, 0.050814], 14, [-0.039227, -0.627626, -10.002783], [-0.327375, -0.610723, 9.722688], [121.000000, -157.000000, 579.000000], [-81.265297, -136.081604, -760.794006],[-0.002827,-0.003262,0.002827,0.003262]]
DATA[4770, 0, [-0.021985,-0.064886,2.082496],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.063146, -0.047155, 0.048058], 14, [-0.117680, -0.608012, -10.042009], [-0.335784, -0.599726, 9.726509], [126.000000, -155.000000, 578.000000], [-91.056297, -142.085205, -774.069580],[-0.000949,-0.004598,0.000949,0.004598]]
DATA[4840, 0, [-0.022792,-0.066958,2.103855],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.043381, -0.059919, 0.051239], 14, [-0.039227, -0.627626, -0.039227], [-0.331521, -0.596880, 9.721902], [-125.000000, -155.000000, 580.000000], [-89.098099, -129.077393, -769.984802],[0.000703,-0.004390,-0.000703,0.004390]]
DATA[4910, 0, [-0.023684,-0.067747,2.087953],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.034834, -0.030163, 0.047170], 14, [-0.156906, -0.039227, -10.022396], [-0.315778, -0.605426, 9.720271], [-124.000000, -157.000000, 579.000000], [-90.077202, -138.082794, -771.005981],[-0.000086,-0.002927,0.000086,0.002927]]
DATA[4980, 0, [-0.023857,-0.066871,2.065217],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.044910, 0.002331, 0.051918], 14, [-0.098067, -0.058840, -10.042009], [-0.307073, -0.621902, 9.714762], [-121.000000, -157.000000, 578.000000], [-87.139900, -144.086395, -767.942383],[-0.002008,-0.001810,0.002008,0.001810]]
DATA[5040, 0, [-0.023418,-0.065426,2.122243],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.059930, 0.012009, 0.053035], 14, [-0.039227, -0.039227, -10.022396], [-0.327365, -0.630859, 9.717240], [-120.000000, -157.000000, 578.000000], [-93.993599, -132.079193, -753.645630],[-0.003067,-0.001925,0.003067,0.001925]]
DATA[5110, 0, [-0.023250,-0.065470,2.099148],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.070352, -0.016300, 0.050960], 14, [0.313813, -0.608012, -9.963556], [-0.359031, -0.626907, 9.720071], [-118.000000, -157.000000, 580.000000], [-92.035400, -138.082794, -758.751587],[-0.002426,-0.003505,0.002426,0.003505]]
