
Thu Jan  1 00:00:01 1970

Flight Log #36
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.5'
LEGEND:[rover_t, rover_status, [rover_orient_est], [rover_orient_des], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag], [rover_thrusts_des]
DATA[3020, 0, [-0.001732,-0.049005,3.131896],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.040012, -0.013070, -0.016799], 15, [-0.078453, -0.156906, -10.022396], [-0.093089, -0.458725, 9.732229], [377.000000, 32.000000, 525.000000], [-281.001709, 33.019798, -729.136780],[-0.000993,-0.001197,0.000993,0.001197]]
DATA[3080, 0, [-0.001550,-0.048932,3.122043],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.043371, -0.006656, -0.016188], 15, [-0.039227, -0.137293, -10.002783], [-0.094924, -0.463181, 9.736318], [-128.000000, 30.000000, 523.000000], [-274.148010, 30.018000, -723.009583],[-0.001141,-0.001239,0.001141,0.001239]]
DATA[3150, 0, [-0.001696,-0.048916,3.137378],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.037874, -0.012764, -0.020464], 15, [-0.058840, -0.156906, -10.042009], [-0.091707, -0.465597, 9.727857], [382.000000, 31.000000, 524.000000], [-283.938995, 35.021000, -733.221619],[-0.001050,-0.001133,0.001050,0.001133]]
DATA[3210, 0, [-0.001809,-0.049004,3.137884],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.048258, -0.003601, -0.024740], 15, [-0.039227, -0.156906, -0.019613], [-0.098141, -0.462177, 9.731144], [381.000000, 32.000000, 523.000000], [-278.064392, 34.020401, -714.840027],[-0.001015,-0.001173,0.001015,0.001173]]
DATA[3270, 0, [-0.001708,-0.049013,-3.140706],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.051618, -0.002990, -0.018937], 15, [-0.098067, -0.137293, -0.019613], [-0.093134, -0.462283, 9.733891], [381.000000, 32.000000, 525.000000], [-286.876312, 36.021599, -729.136780],[-0.001106,-0.001271,0.001106,0.001271]]
DATA[3320, 0, [-0.001601,-0.048881,3.137202],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.034514, -0.015513, -0.019853], 15, [-0.098067, -0.490333, -10.002783], [-0.090963, -0.453464, 9.733467], [381.000000, 34.000000, 522.000000], [-282.959900, 34.020401, -720.967224],[-0.000964,-0.001197,0.000964,0.001197]]
DATA[3390, 0, [-0.001658,-0.048627,3.104084],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.042761, -0.003907, -0.021686], 15, [-0.058840, -0.490333, -10.002783], [-0.094859, -0.455746, 9.743692], [381.000000, 30.000000, 526.000000], [-285.897186, 36.021599, -720.967224],[-0.001111,-0.001229,0.001111,0.001229]]
DATA[3440, 0, [-0.001818,-0.048522,-3.135395],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.036957, -0.011543, -0.021075], 15, [-0.019613, -0.156906, -10.022396], [-0.094915, -0.458515, 9.736785], [379.000000, 32.000000, 525.000000], [-282.959900, 37.022202, -726.073181],[-0.001022,-0.001217,0.001022,0.001217]]
DATA[3500, 0, [-0.001833,-0.048609,-3.117353],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.032987, -0.003601, -0.023824], 15, [-0.078453, -0.509946, -0.019613], [-0.088826, -0.459968, 9.738619], [381.000000, 33.000000, 525.000000], [-281.001709, 42.025200, -723.009583],[-0.001028,-0.001145,0.001028,0.001145]]
DATA[3570, 0, [-0.001799,-0.048410,-3.132988],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000], [0.037263, -0.008183, -0.021075], 15, [-0.078453, -0.098067, -10.042009], [-0.094978, -0.457212, 9.725127], [382.000000, 35.000000, 526.000000], [-288.834503, 38.022800, -733.221619],[-0.001165,-0.001274,0.001165,0.001274]]
