
Thu Jan  1 00:01:54 1970

Flight Log #4
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1590, 0, [0,0,0], [-0.034026, 0.011992, 0.005854], 13, [-0.137293, -0.215746, -0.078453], [0.000000, -0.122034, 9.834501], [261.000000, 17.000000, -93.000000], [262, -71, 279]]
DATA[1640, 0, [0,0,0], [-0.033498, 0.010770, 0.012465], 13, [-0.137293, -0.039227, -0.137293], [-0.009571, -0.098106, 9.834501], [257.000000, 11.000000, -93.000000], [262, -59, 294]]
DATA[1700, 0, [0,0,0], [-0.034073, 0.011786, 0.024382], 13, [-0.098067, -0.117680, -0.058840], [-0.028714, -0.098106, 9.805787], [-2.000000, 16.000000, -94.000000], [268, -56, 288]]
DATA[1750, 0, [0,0,0], [-0.033474, 0.011209, 0.017883], 13, [-0.156906, -0.196133, -0.098067], [-0.021535, -0.098106, 9.805787], [256.000000, 23.000000, -92.000000], [268, -64, 294]]
DATA[1810, 0, [0,0,0], [-0.025086, 0.010451, 0.019911], 13, [-0.098067, -0.117680, -0.078453], [-0.031107, -0.098106, 9.824930], [-1.000000, 16.000000, -96.000000], [269, -65, 299]]
DATA[1870, 0, [0,0,0], [-0.029164, 0.012469, 0.028866], 13, [-0.098067, -0.117680, -0.039227], [-0.016750, -0.112463, 9.829716], [257.000000, 12.000000, -95.000000], [269, -54, 289]]
DATA[1920, 0, [0,0,0], [-0.031278, 0.011621, 0.021239], 13, [-0.156906, -0.137293, -0.117680], [-0.033500, -0.083749, 9.824930], [257.000000, 19.000000, -92.000000], [266, -54, 298]]
DATA[1980, 0, [0,0,0], [-0.032939, 0.011666, 0.022193], 13, [-0.156906, -0.137293, -0.058840], [-0.047856, -0.112463, 9.791430], [257.000000, 21.000000, -91.000000], [261, -57, 286]]
DATA[2040, 0, [0,0,0], [-0.032375, 0.012026, 0.025850], 13, [-0.098067, -0.137293, -0.058840], [-0.016750, -0.093320, 9.858429], [260.000000, 14.000000, -91.000000], [262, -55, 298]]
DATA[2090, 0, [0,0,0], [-0.033070, 0.012156, 0.015233], 13, [-0.196133, -0.137293, -0.098067], [-0.004786, -0.088534, 9.824930], [-2.000000, 12.000000, -92.000000], [265, -61, 285]]
DATA[2150, 0, [0,0,0], [-0.035267, 0.012177, 0.007734], 13, [-0.137293, -0.137293, -0.058840], [-0.028714, -0.112463, 9.829716], [257.000000, 16.000000, -94.000000], [269, -64, 290]]
DATA[2210, 0, [0,0,0], [-0.033977, 0.012981, 0.017436], 13, [-0.098067, -0.137293, -0.098067], [-0.031107, -0.078963, 9.805787], [259.000000, 21.000000, -91.000000], [270, -61, 293]]
DATA[2260, 0, [0,0,0], [-0.033775, 0.013618, 0.010595], 13, [-0.137293, -0.235360, -0.078453], [-0.033500, -0.117248, 9.815358], [259.000000, 16.000000, -92.000000], [273, -67, 293]]
DATA[2320, 0, [0,0,0], [-0.032789, 0.012063, 0.005724], 13, [-0.117680, -0.156906, -0.156906], [-0.038285, -0.078963, 9.824930], [259.000000, 17.000000, -89.000000], [266, -59, 289]]
DATA[2380, 0, [0,0,0], [-0.032719, 0.011571, 0.022345], 13, [-0.078453, -0.058840, -0.078453], [-0.031107, -0.107677, 9.796216], [257.000000, 14.000000, -96.000000], [274, -62, 302]]
DATA[2430, 0, [0,0,0], [-0.032183, 0.011700, 0.012948], 13, [0.000000, -0.294199, -0.137293], [-0.031107, -0.098106, 9.801002], [257.000000, 20.000000, -91.000000], [268, -64, 290]]
DATA[2490, 0, [0,0,0], [-0.033820, 0.010148, 0.008670], 13, [-0.156906, -0.176520, -0.137293], [-0.043071, -0.098106, 9.805787], [258.000000, 21.000000, -89.000000], [272, -62, 298]]
DATA[2550, 0, [0,0,0], [-0.034411, 0.010469, 0.018542], 13, [-0.117680, -0.176520, -0.058840], [-0.043071, -0.117248, 9.834501], [256.000000, 15.000000, -94.000000], [268, -56, 289]]
DATA[2600, 0, [0,0,0], [-0.032785, 0.010747, 0.009240], 13, [-0.137293, -0.117680, -0.078453], [-0.043071, -0.102891, 9.796216], [256.000000, 16.000000, -91.000000], [267, -61, 302]]
DATA[2660, 0, [0,0,0], [-0.033411, 0.010934, 0.009117], 13, [-0.078453, -0.196133, 10.395049], [-0.004786, -0.083749, 9.820144], [256.000000, 17.000000, -93.000000], [269, -57, 293]]
DATA[2710, 0, [0,0,0], [-0.033914, 0.011911, 0.005108], 13, [-0.117680, -0.117680, -0.098067], [-0.019143, -0.098106, 9.820144], [260.000000, 18.000000, -89.000000], [273, -60, 303]]
DATA[2780, 0, [0,0,0], [-0.033046, 0.012324, 0.012003], 13, [-0.137293, -0.137293, -0.098067], [-0.019143, -0.088534, 9.810573], [-1.000000, 13.000000, -93.000000], [275, -63, 287]]
DATA[2840, 0, [0,0,0], [-0.032275, 0.012558, 0.020628], 13, [-0.156906, -0.137293, -0.098067], [-0.026321, -0.107677, 9.839287], [257.000000, 17.000000, -92.000000], [267, -59, 295]]
DATA[2890, 0, [0,0,0], [-0.031619, 0.013413, 0.011998], 13, [-0.176520, -0.117680, -0.117680], [-0.028714, -0.098106, 9.791430], [257.000000, 20.000000, -93.000000], [266, -65, 295]]
DATA[2950, 0, [0,0,0], [-0.033583, 0.013674, 0.005489], 13, [-0.098067, -0.137293, -0.058840], [-0.019143, -0.078963, 9.848858], [257.000000, 17.000000, -91.000000], [272, -53, 290]]
DATA[3010, 0, [0,0,0], [-0.033927, 0.011867, 0.021198], 13, [-0.156906, -0.137293, -0.058840], [-0.014357, -0.098106, 9.839287], [-1.000000, 16.000000, -94.000000], [271, -60, 295]]
DATA[3060, 0, [0,0,0], [-0.032992, 0.012579, 0.028446], 13, [-0.137293, -0.156906, -0.058840], [-0.035892, -0.102891, 9.820144], [256.000000, 13.000000, -95.000000], [258, -64, 297]]
DATA[3120, 0, [0,0,0], [-0.034862, 0.012406, 0.017777], 13, [-0.058840, -0.196133, -0.156906], [-0.021535, -0.126820, 9.805787], [258.000000, 19.000000, -92.000000], [259, -60, 292]]
DATA[3180, 0, [0,0,0], [-0.033703, 0.012393, 0.010632], 13, [-0.078453, -0.196133, -0.078453], [-0.026321, -0.098106, 9.829716], [258.000000, 15.000000, -89.000000], [269, -58, 290]]
DATA[3230, 0, [0,0,0], [-0.032428, 0.012286, 0.005811], 13, [-0.058840, -0.098067, -0.019613], [-0.026321, -0.074178, 9.796216], [256.000000, 12.000000, -95.000000], [268, -60, 285]]
DATA[3290, 0, [0,0,0], [-0.031576, 0.012309, 0.002548], 13, [-0.019613, -0.117680, -0.019613], [-0.021535, -0.102891, 9.820144], [-1.000000, 15.000000, -92.000000], [272, -63, 294]]
DATA[3340, 0, [0,0,0], [-0.034227, 0.012087, 0.001235], 13, [-0.137293, -0.137293, -0.058840], [-0.021535, -0.098106, 9.834501], [257.000000, 19.000000, -92.000000], [271, -64, 299]]
DATA[3400, 0, [0,0,0], [-0.033890, 0.014108, -0.001555], 13, [-0.137293, -0.098067, -0.058840], [-0.028714, -0.083749, 9.853643], [259.000000, 16.000000, -91.000000], [266, -65, 289]]
DATA[3460, 0, [0,0,0], [-0.033255, 0.013828, 0.016657], 13, [-0.098067, -0.117680, 10.375436], [-0.023928, -0.102891, 9.820144], [257.000000, 17.000000, -92.000000], [264, -61, 292]]
DATA[3510, 0, [0,0,0], [-0.034696, 0.012917, 0.019911], 13, [-0.117680, -0.137293, -0.019613], [-0.035892, -0.093320, 9.824930], [256.000000, 18.000000, -92.000000], [268, -61, 278]]
DATA[3570, 0, [0,0,0], [-0.035809, 0.011834, 0.013165], 13, [-0.117680, -0.078453, -0.019613], [-0.007178, -0.083749, 9.815358], [257.000000, 19.000000, -90.000000], [265, -59, 290]]
DATA[3630, 0, [0,0,0], [-0.034169, 0.011420, 0.024797], 13, [-0.137293, -0.176520, -0.078453], [-0.026321, -0.093320, 9.824930], [256.000000, 13.000000, -90.000000], [267, -57, 294]]
DATA[3690, 0, [0,0,0], [-0.034306, 0.012039, 0.026300], 13, [-0.078453, -0.156906, -0.137293], [-0.031107, -0.107677, 9.805787], [257.000000, 19.000000, -92.000000], [264, -57, 276]]
DATA[3750, 0, [0,0,0], [-0.032952, 0.011128, 0.032728], 13, [-0.196133, -0.176520, -0.156906], [-0.031107, -0.102891, 9.815358], [-1.000000, 19.000000, -94.000000], [261, -61, 278]]
DATA[3800, 0, [0,0,0], [-0.032985, 0.010913, 0.019947], 13, [-0.078453, -0.058840, -0.078453], [-0.031107, -0.131605, 9.805787], [260.000000, 16.000000, -92.000000], [269, -65, 286]]
DATA[3860, 0, [0,0,0], [-0.034132, 0.010749, 0.017427], 13, [-0.117680, -0.176520, -0.078453], [-0.019143, -0.098106, 9.815358], [257.000000, 16.000000, -93.000000], [274, -62, 288]]
DATA[3920, 0, [0,0,0], [-0.033046, 0.010554, 0.008077], 13, [-0.176520, -0.196133, 10.375436], [-0.043071, -0.074178, 9.848858], [261.000000, 18.000000, -93.000000], [269, -59, 294]]
DATA[3970, 0, [0,0,0], [-0.033876, 0.011917, 0.003851], 13, [-0.137293, -0.098067, -0.098067], [-0.009571, -0.122034, 9.824930], [257.000000, 20.000000, -90.000000], [267, -61, 287]]
DATA[4020, 0, [0,0,0], [-0.033881, 0.011826, 0.012318], 13, [-0.078453, -0.137293, -0.078453], [-0.028714, -0.069392, 9.810573], [259.000000, 18.000000, -93.000000], [266, -54, 293]]
DATA[4090, 0, [0,0,0], [-0.034366, 0.012681, 0.025216], 13, [-0.058840, -0.137293, -0.156906], [-0.016750, -0.102891, 9.805787], [258.000000, 14.000000, -93.000000], [272, -60, 298]]
DATA[4140, 0, [0,0,0], [-0.033662, 0.012475, 0.024477], 13, [-0.078453, -0.098067, 10.434276], [-0.033500, -0.098106, 9.815358], [256.000000, 17.000000, -93.000000], [266, -56, 295]]
DATA[4190, 0, [0,0,0], [-0.032851, 0.012464, 0.014897], 13, [-0.117680, -0.117680, -0.098067], [-0.016750, -0.035892, 9.820144], [257.000000, 19.000000, -90.000000], [273, -64, 294]]
DATA[4250, 0, [0,0,0], [-0.033325, 0.013578, 0.007238], 13, [-0.156906, -0.156906, -0.098067], [-0.043071, -0.083749, 9.801002], [259.000000, 16.000000, -89.000000], [264, -61, 292]]
DATA[4310, 0, [0,0,0], [-0.034205, 0.013025, 0.014036], 13, [-0.098067, -0.098067, 10.375436], [-0.026321, -0.074178, 9.824930], [257.000000, 15.000000, -91.000000], [263, -61, 293]]
DATA[4360, 0, [0,0,0], [-0.033232, 0.013228, 0.008180], 13, [-0.078453, -0.176520, 10.375436], [-0.021535, -0.088534, 9.820144], [259.000000, 15.000000, -93.000000], [264, -69, 293]]
DATA[4420, 0, [0,0,0], [-0.032739, 0.011978, 0.003964], 13, [-0.137293, -0.117680, -0.078453], [-0.038285, -0.102891, 9.824930], [259.000000, 20.000000, -95.000000], [263, -65, 289]]
DATA[4480, 0, [0,0,0], [-0.031516, 0.011647, 0.008978], 13, [-0.137293, -0.137293, -0.019613], [-0.007178, -0.122034, 9.829716], [257.000000, 17.000000, -90.000000], [262, -61, 291]]
DATA[4540, 0, [0,0,0], [-0.032783, 0.012607, 0.007888], 13, [-0.098067, -0.117680, -0.137293], [-0.021535, -0.102891, 9.777073], [257.000000, 15.000000, -89.000000], [271, -64, 300]]
DATA[4590, 0, [0,0,0], [-0.034192, 0.012575, 0.004724], 13, [-0.921825, -0.098067, 10.355823], [-0.023928, -0.098106, 9.820144], [258.000000, 18.000000, -94.000000], [266, -58, 296]]
DATA[4650, 0, [0,0,0], [-0.034886, 0.012782, 0.009424], 13, [-0.156906, -0.117680, -0.156906], [-0.002393, -0.055035, 9.820144], [257.000000, 19.000000, -91.000000], [271, -65, 289]]
DATA[4710, 0, [0,0,0], [-0.034516, 0.013600, 0.003739], 13, [-0.058840, -0.156906, -0.098067], [-0.050249, -0.088534, 9.839287], [260.000000, 17.000000, -91.000000], [266, -55, 288]]
DATA[4760, 0, [0,0,0], [-0.036194, 0.011050, 0.002206], 13, [-0.117680, -0.137293, -0.039227], [-0.028714, -0.088534, 9.824930], [260.000000, 16.000000, -91.000000], [265, -61, 292]]
DATA[4820, 0, [0,0,0], [-0.034863, 0.011203, -0.000251], 13, [-0.156906, -0.156906, -0.117680], [-0.016750, -0.098106, 9.824930], [256.000000, 17.000000, -91.000000], [268, -61, 292]]
DATA[4880, 0, [0,0,0], [-0.032236, 0.013035, 0.003776], 13, [-0.117680, -0.176520, -0.078453], [0.014357, -0.093320, 9.815358], [256.000000, 16.000000, -93.000000], [267, -53, 288]]
DATA[4930, 0, [0,0,0], [-0.031974, 0.013142, 0.004597], 13, [-0.156906, -0.098067, -0.117680], [-0.009571, -0.102891, 9.805787], [256.000000, 16.000000, -93.000000], [266, -63, 291]]
DATA[4980, 0, [0,0,0], [-0.031142, 0.011923, 0.018080], 13, [-0.176520, -0.078453, 10.395049], [-0.028714, -0.083749, 9.805787], [258.000000, 16.000000, -93.000000], [264, -68, 289]]
DATA[5040, 0, [0,0,0], [-0.032520, 0.012903, 0.027459], 13, [-0.098067, -0.117680, -0.078453], [-0.026321, -0.074178, 9.824930], [258.000000, 22.000000, -90.000000], [272, -65, 284]]
DATA[5100, 0, [0,0,0], [-0.033244, 0.012417, 0.019505], 13, [-0.078453, -0.196133, 10.395049], [0.000000, -0.064606, 9.820144], [256.000000, 19.000000, -90.000000], [266, -63, 291]]
DATA[5160, 0, [0,0,0], [-0.033221, 0.011632, 0.028106], 13, [-0.078453, -0.137293, -0.019613], [-0.062213, -0.098106, 9.820144], [257.000000, 15.000000, -89.000000], [266, -52, 292]]
DATA[5220, 0, [0,0,0], [-0.032842, 0.011438, 0.029191], 13, [-0.137293, -0.156906, 10.395049], [-0.014357, -0.088534, 9.829716], [257.000000, 17.000000, -90.000000], [265, -60, 294]]
DATA[5280, 0, [0,0,0], [-0.025092, 0.011597, 0.027225], 13, [-0.117680, -0.137293, -0.078453], [-0.033500, -0.074178, 9.781859], [258.000000, 16.000000, -91.000000], [260, -58, 295]]
DATA[5340, 0, [0,0,0], [-0.027834, 0.011533, 0.024618], 13, [-0.156906, -0.156906, -0.039227], [-0.011964, -0.098106, 9.796216], [257.000000, 19.000000, -89.000000], [271, -57, 291]]
DATA[5400, 0, [0,0,0], [-0.030192, 0.011584, 0.011882], 13, [-0.098067, -0.156906, -0.117680], [-0.004786, -0.069392, 9.853643], [256.000000, 12.000000, -90.000000], [267, -60, 290]]
DATA[5460, 0, [0,0,0], [-0.030855, 0.010416, 0.023963], 13, [-0.117680, -0.117680, -0.098067], [-0.016750, -0.107677, 9.844072], [-1.000000, 13.000000, -93.000000], [268, -57, 290]]
DATA[5520, 0, [0,0,0], [-0.031689, 0.011403, 0.030839], 13, [-0.117680, -0.156906, -0.098067], [-0.035892, -0.107677, 9.820144], [258.000000, 18.000000, -90.000000], [261, -56, 304]]
DATA[5580, 0, [0,0,0], [-0.031541, 0.012299, 0.034777], 13, [-0.058840, -0.058840, -0.078453], [-0.050249, -0.083749, 9.824930], [257.000000, 15.000000, -91.000000], [264, -57, 279]]
DATA[5640, 0, [0,0,0], [-0.031921, 0.011058, 0.018934], 13, [-0.117680, -0.254973, -0.019613], [-0.026321, -0.088534, 9.824930], [256.000000, 16.000000, -94.000000], [261, -58, 295]]
DATA[5700, 0, [0,0,0], [-0.032024, 0.011518, 0.025647], 13, [-0.078453, -0.117680, 10.355823], [-0.011964, -0.112463, 9.829716], [257.000000, 14.000000, -95.000000], [261, -61, 291]]
DATA[5760, 0, [0,0,0], [-0.030886, 0.009645, 0.021580], 13, [-0.098067, -0.156906, -0.078453], [-0.038285, -0.088534, 9.810573], [258.000000, 16.000000, -91.000000], [265, -58, 286]]
DATA[5820, 0, [0,0,0], [-0.030935, 0.009725, 0.010095], 13, [-0.098067, -0.117680, -0.039227], [-0.045464, -0.093320, 9.810573], [-1.000000, 18.000000, -90.000000], [263, -55, 301]]
DATA[5890, 0, [0,0,0], [-0.033242, 0.010125, 0.005209], 13, [-0.078453, -0.196133, -0.137293], [-0.016750, -0.102891, 9.805787], [257.000000, 20.000000, -92.000000], [264, -59, 290]]
DATA[5940, 0, [0,0,0], [-0.033201, 0.011434, 0.020935], 13, [-0.117680, -0.235360, 10.375436], [-0.021535, -0.102891, 9.860822], [257.000000, 18.000000, -93.000000], [264, -65, 287]]
DATA[6000, 0, [0,0,0], [-0.032585, 0.012270, 0.011153], 13, [-0.098067, -0.137293, -0.098067], [-0.011964, -0.117248, 9.839287], [-1.000000, 14.000000, -92.000000], [277, -53, 299]]
DATA[6070, 0, [0,0,0], [-0.032639, 0.012493, 0.004492], 13, [-0.137293, -0.156906, -0.098067], [-0.021535, -0.083749, 9.801002], [257.000000, 19.000000, -90.000000], [261, -68, 294]]
DATA[6120, 0, [0,0,0], [-0.032539, 0.012388, 0.002094], 13, [-0.117680, -0.098067, 10.355823], [-0.011964, -0.112463, 9.820144], [258.000000, 19.000000, -90.000000], [264, -63, 290]]
DATA[6180, 0, [0,0,0], [-0.033127, 0.012658, 0.014702], 13, [-0.078453, -0.117680, -0.117680], [-0.019143, -0.112463, 9.824930], [259.000000, 18.000000, -92.000000], [261, -58, 303]]
DATA[6240, 0, [0,0,0], [-0.033542, 0.012866, 0.027055], 13, [-0.058840, -0.078453, -0.058840], [0.009571, -0.112463, 9.824930], [257.000000, 20.000000, -89.000000], [263, -64, 292]]
DATA[6310, 0, [0,0,0], [-0.032824, 0.013357, 0.032383], 13, [-0.215746, -0.098067, -0.078453], [-0.007178, -0.083749, 9.805787], [259.000000, 17.000000, -93.000000], [261, -55, 288]]
DATA[6360, 0, [0,0,0], [-0.032002, 0.012105, 0.016558], 13, [-0.039227, -0.176520, -0.117680], [-0.043071, -0.122034, 9.829716], [258.000000, 18.000000, -91.000000], [263, -55, 291]]
DATA[6420, 0, [0,0,0], [-0.031852, 0.011993, 0.020152], 13, [-0.078453, -0.137293, -0.058840], [-0.026321, -0.102891, 9.810573], [260.000000, 18.000000, -90.000000], [263, -58, 287]]
DATA[6490, 0, [0,0,0], [-0.034524, 0.011210, 0.027514], 13, [-0.098067, -0.098067, -0.098067], [0.004786, -0.107677, 9.810573], [-1.000000, 15.000000, -92.000000], [271, -65, 286]]
DATA[6540, 0, [0,0,0], [-0.033241, 0.010314, 0.016730], 13, [-0.078453, -0.098067, -0.039227], [-0.021535, -0.107677, 9.834501], [-1.000000, 15.000000, -92.000000], [264, -59, 288]]
DATA[6600, 0, [0,0,0], [-0.032399, 0.011546, 0.026909], 13, [-0.058840, -0.098067, -0.137293], [-0.009571, -0.102891, 9.791430], [258.000000, 13.000000, -94.000000], [266, -63, 293]]
DATA[6660, 0, [0,0,0], [-0.032982, 0.012630, 0.014651], 13, [-0.039227, -0.156906, -0.058840], [-0.009571, -0.117248, 9.834501], [257.000000, 14.000000, -89.000000], [268, -56, 286]]
DATA[6720, 0, [0,0,0], [-0.033547, 0.012778, 0.006222], 13, [-0.196133, -0.117680, 10.375436], [-0.021535, -0.078963, 9.820144], [256.000000, 13.000000, -93.000000], [271, -63, 296]]
DATA[6780, 0, [0,0,0], [-0.033044, 0.009372, 0.002466], 13, [-0.137293, -0.117680, -0.058840], [-0.047856, -0.098106, 9.834501], [-1.000000, 13.000000, -93.000000], [277, -55, 298]]
DATA[6840, 0, [0,0,0], [-0.033286, 0.010916, 0.000271], 13, [-0.078453, -0.078453, -0.019613], [-0.016750, -0.136391, 9.820144], [257.000000, 15.000000, -92.000000], [269, -63, 289]]
DATA[6900, 0, [0,0,0], [-0.032762, 0.011652, -0.001032], 13, [-0.058840, -0.098067, -0.137293], [0.000000, -0.122034, 9.834501], [256.000000, 12.000000, -92.000000], [266, -56, 294]]
DATA[6960, 0, [0,0,0], [-0.032677, 0.011544, -0.001223], 13, [-0.117680, -0.117680, -0.058840], [-0.028714, -0.117248, 9.801002], [257.000000, 17.000000, -91.000000], [268, -60, 293]]
DATA[7030, 0, [0,0,0], [-0.032004, 0.010123, 0.006910], 13, [-0.117680, -0.117680, -0.058840], [-0.028714, -0.093320, 9.801002], [259.000000, 17.000000, -95.000000], [267, -58, 277]]
DATA[7080, 0, [0,0,0], [-0.031995, 0.011335, 0.003015], 13, [-0.215746, -0.058840, 10.395049], [0.000000, -0.107677, 9.839287], [257.000000, 15.000000, -91.000000], [270, -62, 282]]
DATA[7140, 0, [0,0,0], [-0.033219, 0.010851, 0.017049], 13, [-0.098067, -0.058840, -0.117680], [0.000000, -0.117248, 9.863214], [260.000000, 17.000000, -94.000000], [264, -63, 292]]
DATA[7200, 0, [0,0,0], [-0.033830, 0.008991, 0.022916], 13, [-0.078453, -0.058840, -0.058840], [-0.023928, -0.122034, 9.853643], [257.000000, 18.000000, -90.000000], [259, -60, 302]]
