
Thu Jan  1 00:00:01 1970

Flight Log #29
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.014966, -0.003360, 0.015119], -17, [-0.137293, -0.078453, -0.058840], [0.043071, -0.217747, 9.824930], [-138.000000, -241.000000, -730.000000], [-122, -371, 129]]
DATA[120, 0, [0,0,0], [-0.016493, -0.001374, -0.019395], -17, [0.117680, -0.098067, -0.058840], [0.033500, -0.232104, 9.801002], [-139.000000, -243.000000, -731.000000], [-117, -371, 134]]
DATA[180, 0, [0,0,0], [-0.016952, -0.003054, -0.018173], -17, [-0.156906, -0.254973, 10.669636], [0.043071, -0.184247, 9.889536], [-140.000000, -243.000000, -730.000000], [-120, -371, 133]]
DATA[240, 0, [0,0,0], [-0.016493, -0.003054, 0.016035], -17, [-0.137293, -0.078453, -0.078453], [0.007178, -0.193819, 9.824930], [-141.000000, -242.000000, -729.000000], [-121, -365, 123]]
DATA[300, 0, [0,0,0], [-0.099113, -0.001985, 0.016188], -17, [0.098067, 0.019613, -0.098067], [0.023928, -0.184247, 9.820144], [-136.000000, -243.000000, -726.000000], [-120, -367, 127]]
DATA[360, 0, [0,0,0], [-0.014966, -0.000458, 0.015424], -17, [0.098067, -0.058840, -0.156906], [0.004786, -0.208176, 9.777073], [-139.000000, -244.000000, -729.000000], [-115, -368, 132]]
DATA[420, 0, [0,0,0], [-0.019090, -0.000153, 0.012675], -17, [-0.137293, -0.039227, -0.117680], [0.033500, -0.193819, 9.820144], [-140.000000, -243.000000, -730.000000], [-119, -370, 128]]
DATA[480, 0, [0,0,0], [-0.017562, -0.004276, 0.018021], -17, [-0.156906, -0.078453, -0.058840], [0.031107, -0.212961, 9.834501], [-141.000000, -242.000000, -728.000000], [-126, -369, 127]]
DATA[540, 0, [0,0,0], [-0.017868, -0.003971, -0.017257], -17, [0.078453, -0.078453, -0.156906], [0.028714, -0.193819, 9.844072], [-138.000000, -246.000000, -730.000000], [-117, -369, 125]]
DATA[600, 0, [0,0,0], [-0.016035, 0.158520, 0.018021], -17, [-0.137293, -0.137293, -0.156906], [0.002393, -0.184247, 9.839287], [-141.000000, -239.000000, -729.000000], [-123, -368, 122]]
DATA[660, 0, [0,0,0], [-0.102931, -0.006872, 0.018784], -17, [0.098067, -0.137293, -0.058840], [0.033500, -0.203390, 9.834501], [-139.000000, -243.000000, -730.000000], [-119, -368, 124]]
DATA[720, 0, [0,0,0], [-0.100640, -0.008705, 0.015119], -17, [-0.117680, -0.039227, -0.058840], [0.026321, -0.169890, 9.848858], [-141.000000, -243.000000, -729.000000], [-123, -361, 119]]
DATA[780, 0, [0,0,0], [-0.016341, -0.005651, 0.014813], -17, [0.137293, -0.019613, -0.078453], [-0.004786, -0.203390, 9.839287], [-137.000000, -245.000000, -727.000000], [-122, -359, 126]]
DATA[840, 0, [0,0,0], [-0.099571, -0.003054, 0.018937], -17, [-0.078453, -0.058840, 10.689249], [0.031107, -0.212961, 9.829716], [-138.000000, -244.000000, -731.000000], [-118, -370, 117]]
DATA[910, 0, [0,0,0], [-0.101862, -0.008094, -0.016188], -17, [-0.117680, -0.078453, -0.137293], [0.028714, -0.193819, 9.834501], [-142.000000, -241.000000, -731.000000], [-123, -365, 118]]
DATA[970, 0, [0,0,0], [-0.100029, -0.004581, -0.017562], -17, [0.137293, -0.058840, -0.137293], [0.009571, -0.184247, 9.805787], [-142.000000, -243.000000, -729.000000], [-123, -362, 123]]
DATA[1030, 0, [0,0,0], [-0.097891, -0.004734, -0.018937], -17, [0.098067, -0.019613, 10.669636], [0.033500, -0.217747, 9.829716], [-138.000000, -247.000000, -727.000000], [-119, -366, 124]]
DATA[1080, 0, [0,0,0], [-0.018173, -0.010996, -0.015119], -17, [-0.156906, -0.019613, 10.669636], [0.016750, -0.236889, 9.844072], [-136.000000, -239.000000, -729.000000], [-124, -362, 126]]
DATA[1140, 0, [0,0,0], [-0.018479, -0.008858, 0.019395], -17, [-0.137293, 0.019613, -0.098067], [0.035892, -0.222533, 9.824930], [-143.000000, -241.000000, -727.000000], [-125, -366, 119]]
DATA[1200, 0, [0,0,0], [-0.104916, -0.006872, -0.014966], -17, [-0.156906, -0.019613, -0.098067], [0.019143, -0.193819, 9.824930], [-141.000000, -242.000000, -729.000000], [-126, -369, 115]]
DATA[1260, 0, [0,0,0], [-0.101404, -0.004581, -0.018937], -17, [0.117680, -0.019613, -0.078453], [0.019143, -0.198604, 9.863214], [-139.000000, -244.000000, -725.000000], [-120, -371, 125]]
DATA[1320, 0, [0,0,0], [-0.019548, -0.006261, 0.019242], -17, [-0.117680, -0.117680, -0.058840], [0.035892, -0.208176, 9.824930], [-137.000000, -244.000000, -729.000000], [-117, -368, 131]]
DATA[1380, 0, [0,0,0], [-0.097891, -0.002902, -0.018021], -17, [0.117680, 0.019613, 10.689249], [0.009571, -0.212961, 9.810573], [-139.000000, -242.000000, -728.000000], [-120, -362, 135]]
DATA[1450, 0, [0,0,0], [-0.098502, -0.012828, 0.018631], -17, [0.098067, -0.058840, 10.669636], [0.009571, -0.232104, 9.829716], [-140.000000, -244.000000, -728.000000], [-125, -363, 128]]
DATA[1510, 0, [0,0,0], [-0.102167, -0.012981, -0.008399], -17, [0.117680, 0.058840, 10.669636], [0.019143, -0.208176, 9.834501], [-137.000000, -241.000000, -727.000000], [-125, -364, 135]]
DATA[1560, 0, [0,0,0], [-0.019548, -0.009927, -0.016341], -17, [-0.098067, -0.117680, -0.098067], [0.000000, -0.193819, 9.820144], [-137.000000, -241.000000, -727.000000], [-124, -367, 123]]
DATA[1620, 0, [0,0,0], [-0.098655, -0.007789, -0.014203], -17, [-0.156906, -0.058840, -0.039227], [0.047856, -0.222533, 9.834501], [-139.000000, -241.000000, -727.000000], [-117, -366, 123]]
DATA[1680, 0, [0,0,0], [-0.098655, -0.008552, 0.017868], -17, [0.098067, -0.019613, -0.137293], [0.004786, -0.222533, 9.810573], [-140.000000, -242.000000, -730.000000], [-119, -362, 122]]
DATA[1740, 0, [0,0,0], [-0.018326, -0.010843, -0.013134], -17, [-0.156906, -0.058840, -0.078453], [-0.004786, -0.179462, 9.853643], [-139.000000, -244.000000, -725.000000], [-125, -355, 136]]
DATA[1800, 0, [0,0,0], [-0.098502, -0.013897, -0.014966], -17, [0.137293, 0.000000, -0.019613], [0.038285, -0.193819, 9.805787], [-136.000000, -245.000000, -727.000000], [-126, -366, 128]]
DATA[1860, 0, [0,0,0], [-0.100945, -0.007941, -0.013134], -17, [-0.078453, -0.019613, -0.117680], [0.033500, -0.212961, 9.824930], [-141.000000, -243.000000, -728.000000], [-119, -363, 123]]
DATA[1920, 0, [0,0,0], [-0.098349, -0.004276, -0.017868], -17, [-0.156906, -0.039227, -0.039227], [0.011964, -0.174676, 9.829716], [-139.000000, -241.000000, -727.000000], [-124, -364, 123]]
DATA[1980, 0, [0,0,0], [-0.014355, -0.009468, -0.017868], -17, [-0.098067, 0.000000, -0.019613], [0.023928, -0.184247, 9.829716], [-138.000000, -242.000000, -730.000000], [-123, -370, 140]]
DATA[2040, 0, [0,0,0], [-0.018479, -0.014813, -0.012523], -17, [-0.156906, -0.019613, -0.019613], [0.031107, -0.184247, 9.820144], [-140.000000, -240.000000, -729.000000], [-125, -369, 134]]
DATA[2100, 0, [0,0,0], [-0.102931, -0.016035, -0.011454], -17, [-0.137293, -0.078453, 10.767702], [0.023928, -0.203390, 9.834501], [-142.000000, -241.000000, -728.000000], [-113, -367, 139]]
DATA[2160, 0, [0,0,0], [-0.019242, -0.015272, -0.014966], -17, [0.098067, 0.000000, -0.156906], [0.019143, -0.184247, 9.805787], [-143.000000, -243.000000, -727.000000], [-122, -359, 127]]
DATA[2220, 0, [0,0,0], [-0.098960, -0.013286, -0.013592], -17, [0.117680, -0.058840, -0.058840], [0.016750, -0.217747, 9.848858], [-140.000000, -242.000000, -723.000000], [-120, -364, 136]]
DATA[2280, 0, [0,0,0], [-0.016188, -0.018784, -0.012828], -17, [-0.058840, -0.196133, 10.473502], [0.007178, -0.160319, 9.824930], [-138.000000, -240.000000, -728.000000], [-118, -363, 128]]
DATA[2340, 0, [0,0,0], [-0.103084, -0.016493, -0.010537], -17, [0.137293, -0.039227, -0.078453], [0.000000, -0.189033, 9.786645], [-142.000000, -243.000000, -728.000000], [-121, -355, 137]]
DATA[2410, 0, [0,0,0], [-0.019548, -0.019090, -0.013592], -17, [-0.137293, -0.058840, -0.156906], [0.028714, -0.208176, 9.824930], [-140.000000, -243.000000, -727.000000], [-117, -366, 138]]
DATA[2470, 0, [0,0,0], [-0.098044, -0.017715, -0.016646], -17, [-0.156906, 0.000000, 10.689249], [0.009571, -0.203390, 9.848858], [-139.000000, -245.000000, -727.000000], [-107, -358, 138]]
DATA[2520, 0, [0,0,0], [-0.100335, -0.018021, -0.013286], -17, [-0.156906, -0.058840, -0.117680], [0.026321, -0.169890, 9.829716], [-137.000000, -243.000000, -733.000000], [-123, -364, 132]]
