
Thu Jan  1 00:00:01 1970

Flight Log #28
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1670, 0, [0,0,0], [-0.007025, 0.253662, -0.139735], -7, [0.137293, -0.156906, 10.414662], [0.050249, -0.198604, 9.815358], [-147.000000, -226.000000, -681.000000], [-112, -321, 182]]
DATA[1730, 0, [0,0,0], [-0.014203, -0.016493, -0.140957], -7, [-0.156906, -0.078453, 10.375436], [0.057428, -0.198604, 9.824930], [-149.000000, -222.000000, -688.000000], [-115, -310, 166]]
DATA[1790, 0, [0,0,0], [-0.009468, -0.014661, -0.140652], -7, [0.058840, 0.000000, 10.453889], [0.028714, -0.184247, 9.839287], [-153.000000, -224.000000, -685.000000], [-112, -318, 174]]
DATA[1860, 0, [0,0,0], [-0.009163, -0.015730, -0.140957], -7, [0.098067, -0.039227, 10.414662], [0.028714, -0.193819, 9.815358], [-153.000000, -227.000000, -684.000000], [-123, -311, 169]]
DATA[1910, 0, [0,0,0], [-0.010690, -0.017104, -0.138666], -7, [-0.156906, -0.058840, 10.434276], [0.023928, -0.179462, 9.801002], [-151.000000, -225.000000, -682.000000], [-115, -324, 175]]
DATA[1970, 0, [0,0,0], [-0.014813, -0.018479, -0.140041], -7, [0.098067, -0.137293, 10.375436], [0.038285, -0.198604, 9.824930], [-150.000000, -221.000000, -685.000000], [-111, -322, 185]]
DATA[2030, 0, [0,0,0], [-0.006872, -0.018326, -0.142484], -7, [0.137293, -0.039227, 10.453889], [0.016750, -0.193819, 9.844072], [-153.000000, -219.000000, -684.000000], [-110, -320, 175]]
DATA[2100, 0, [0,0,0], [-0.013592, -0.018479, -0.138056], -7, [0.078453, -0.098067, 10.453889], [0.052642, -0.212961, 9.829716], [-153.000000, -221.000000, -684.000000], [-105, -319, 176]]
DATA[2160, 0, [0,0,0], [-0.010843, 0.253662, -0.141263], -7, [0.058840, -0.137293, 10.453889], [0.059821, -0.198604, 9.815358], [-153.000000, -224.000000, -682.000000], [-108, -320, 175]]
DATA[2210, 0, [0,0,0], [-0.011301, -0.016341, -0.141263], -7, [-0.156906, -0.058840, 10.453889], [0.009571, -0.189033, 9.820144], [-147.000000, -222.000000, -683.000000], [-106, -317, 177]]
DATA[2270, 0, [0,0,0], [-0.008399, 0.252135, -0.137750], -7, [0.098067, -0.098067, 10.473502], [0.055035, -0.212961, 9.848858], [-151.000000, -221.000000, -685.000000], [-105, -324, 170]]
DATA[2340, 0, [0,0,0], [-0.016646, -0.014355, -0.019090], -7, [0.078453, -0.078453, -0.019613], [0.023928, -0.208176, 9.796216], [-151.000000, -224.000000, -683.000000], [-110, -321, 161]]
DATA[2390, 0, [0,0,0], [-0.012675, -0.017257, -0.141721], -7, [-0.098067, -0.019613, 10.728476], [0.069392, -0.210568, 9.889536], [-151.000000, -224.000000, -683.000000], [-108, -318, 171]]
DATA[2450, 0, [0,0,0], [-0.007941, -0.018173, -0.141110], -7, [0.117680, 0.451106, 10.042009], [-0.016750, -0.210568, 9.911072], [-149.000000, -224.000000, -681.000000], [-105, -324, 180]]
DATA[2510, 0, [0,0,0], [-0.000764, -0.016188, -0.140194], -7, [0.058840, -0.117680, -0.058840], [-0.062213, -0.155533, 9.858429], [-150.000000, -219.000000, -683.000000], [-111, -318, 168]]
DATA[2570, 0, [0,0,0], [-0.006261, 0.247248, -0.149967], -7, [0.078453, -0.235360, 10.355823], [0.145962, -0.141177, 9.805787], [-151.000000, -223.000000, -682.000000], [-108, -321, 180]]
DATA[2630, 0, [0,0,0], [-0.006720, 0.253051, -0.018021], -7, [0.039227, -0.098067, 10.453889], [0.052642, -0.193819, 9.829716], [-150.000000, -220.000000, -681.000000], [-110, -320, 177]]
