
Thu Jan  1 00:00:01 1970

Flight Log #31
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1700, 0, [0,0,0], [-0.000758, 0.005922, -0.027361], 16, [-0.078453, -0.156906, -0.058840], [-0.009571, -0.093320, 9.829716], [-164.000000, -206.000000, -94.000000], [-74, -187, 339]]
DATA[1760, 0, [0,0,0], [-0.001980, 0.006228, -0.022474], 16, [-0.137293, -0.254973, -0.137293], [0.002393, -0.117248, 9.801002], [-160.000000, -207.000000, -95.000000], [-74, -191, 343]]
DATA[1820, 0, [0,0,0], [-0.004424, 0.012336, -0.023696], 16, [-0.098067, -0.156906, -0.117680], [0.004786, -0.088534, 9.844072], [-163.000000, -202.000000, -95.000000], [-70, -193, 341]]
DATA[1880, 0, [0,0,0], [-0.001064, 0.010962, -0.024765], 16, [-0.058840, -0.137293, -0.098067], [0.019143, -0.083749, 9.851251], [-166.000000, -204.000000, -95.000000], [-71, -191, 343]]
DATA[1940, 0, [0,0,0], [-0.001064, 0.007449, -0.028736], 16, [-0.117680, -0.137293, 10.375436], [0.004786, -0.088534, 9.844072], [-162.000000, -205.000000, -96.000000], [-66, -194, 336]]
DATA[2000, 0, [0,0,0], [-0.000333, 0.006007, -0.023788], 17, [-0.156906, -0.137293, -0.156906], [0.028714, -0.117248, 9.848858], [-165.000000, -207.000000, -96.000000], [-75, -198, 338]]
DATA[2060, 0, [0,0,0], [-0.002777, 0.010741, -0.025010], 17, [-0.117680, -0.098067, -0.039227], [0.000000, -0.122034, 9.815358], [-167.000000, -202.000000, -98.000000], [-74, -191, 349]]
DATA[2120, 0, [0,0,0], [-0.003082, 0.009061, -0.025163], 17, [-0.039227, -0.156906, -0.078453], [-0.009571, -0.122034, 9.834501], [-164.000000, -207.000000, -96.000000], [-77, -191, 336]]
DATA[2180, 0, [0,0,0], [-0.007053, 0.005702, -0.019054], 17, [-0.156906, -0.078453, -0.039227], [0.035892, -0.102891, 9.810573], [-163.000000, -205.000000, -95.000000], [-74, -191, 344]]
DATA[2250, 0, [0,0,0], [-0.001555, 0.009672, -0.027759], 17, [-0.117680, -0.176520, 10.159690], [0.004786, -0.112463, 9.848858], [-161.000000, -206.000000, -95.000000], [-69, -194, 345]]
DATA[2300, 0, [0,0,0], [-0.004609, 0.004327, -0.023941], 17, [-0.176520, -0.019613, 10.355823], [0.038285, -0.074178, 9.781859], [-166.000000, -205.000000, -96.000000], [-73, -200, 348]]
DATA[2360, 0, [0,0,0], [-0.000944, 0.009520, -0.027606], 17, [-0.176520, -0.156906, -0.137293], [0.000000, -0.078963, 9.820144], [-162.000000, -208.000000, -97.000000], [-76, -195, 340]]
DATA[2420, 0, [0,0,0], [-0.004609, 0.005854, -0.024094], 17, [-0.058840, -0.117680, -0.019613], [0.033500, -0.088534, 9.801002], [-162.000000, -206.000000, -97.000000], [-70, -189, 346]]
DATA[2480, 0, [0,0,0], [-0.005067, 0.009825, -0.020734], 17, [-0.098067, -0.176520, -0.039227], [-0.009571, -0.098106, 9.805787], [-166.000000, -205.000000, -96.000000], [-75, -191, 347]]
DATA[2540, 0, [0,0,0], [-0.003082, 0.004480, -0.021345], 17, [-0.078453, -0.176520, -0.058840], [0.004786, -0.102891, 9.805787], [-167.000000, -205.000000, -92.000000], [-71, -192, 341]]
DATA[2600, 0, [0,0,0], [-0.005831, 0.004022, -0.024705], 17, [-0.137293, -0.058840, -0.019613], [0.009571, -0.064606, 9.815358], [-163.000000, -205.000000, -94.000000], [-69, -190, 350]]
DATA[2660, 0, [0,0,0], [-0.001402, 0.006923, -0.020276], 17, [-0.078453, -0.137293, -0.078453], [0.026321, -0.102891, 9.824930], [-159.000000, -208.000000, -94.000000], [-68, -189, 346]]
DATA[2720, 0, [0,0,0], [-0.004304, 0.008909, 0.010726], 17, [-0.117680, -0.196133, -0.019613], [0.047856, -0.122034, 9.820144], [-166.000000, -203.000000, -97.000000], [-69, -197, 351]]
