
Thu Jan  1 00:00:01 1970

Flight Log #30
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.017186, 0.010792, -0.018624], 14, [-0.078453, -0.098067, -0.117680], [0.000000, -0.102891, 9.848858], [-97.000000, -236.000000, -101.000000], [-39, -237, 328]]
DATA[130, 0, [0,0,0], [-0.013826, 0.004225, -0.017555], 14, [-0.058840, -0.156906, 10.355823], [0.002393, -0.122034, 9.820144], [-97.000000, -233.000000, -101.000000], [-32, -233, 330]]
DATA[190, 0, [0,0,0], [-0.016728, 0.006210, -0.018319], 14, [-0.098067, -0.117680, -0.117680], [0.014357, -0.074178, 9.844072], [-97.000000, -237.000000, -100.000000], [-42, -229, 329]]
DATA[250, 0, [0,0,0], [-0.010008, 0.007279, -0.020304], 14, [-0.098067, -0.117680, -0.098067], [0.011964, -0.078963, 9.820144], [-103.000000, -231.000000, -101.000000], [-34, -225, 332]]
DATA[300, 0, [0,0,0], [-0.010161, 0.004836, -0.013737], 14, [-0.117680, -0.098067, -0.156906], [-0.007178, -0.093320, 9.839287], [-98.000000, -235.000000, -100.000000], [-39, -230, 332]]
DATA[360, 0, [0,0,0], [-0.012757, 0.007432, -0.022748], 14, [-0.176520, -0.117680, 10.375436], [0.014357, -0.078963, 9.829716], [-97.000000, -235.000000, -100.000000], [-31, -230, 328]]
DATA[420, 0, [0,0,0], [-0.018255, 0.013388, -0.025802], 14, [-0.117680, -0.117680, -0.098067], [0.000000, -0.107677, 9.820144], [-101.000000, -231.000000, -103.000000], [-38, -237, 320]]
DATA[480, 0, [0,0,0], [-0.009855, 0.009417, -0.018624], 14, [-0.137293, -0.117680, -0.039227], [-0.014357, -0.078963, 9.829716], [-100.000000, -232.000000, -102.000000], [-32, -230, 330]]
DATA[540, 0, [0,0,0], [-0.014590, 0.000407, -0.020762], 14, [-0.137293, -0.156906, -0.137293], [0.031107, -0.078963, 9.810573], [-98.000000, -231.000000, -99.000000], [-35, -232, 322]]
DATA[610, 0, [0,0,0], [-0.009245, 0.011402, -0.023817], 14, [-0.156906, -0.058840, -0.039227], [0.007178, -0.078963, 9.834501], [-96.000000, -236.000000, -100.000000], [-36, -235, 323]]
DATA[670, 0, [0,0,0], [-0.015844, 0.008280, -0.019786], 15, [-0.098067, -0.117680, 10.355823], [-0.004786, -0.117248, 9.853643], [-100.000000, -235.000000, -103.000000], [-32, -231, 329]]
DATA[730, 0, [0,0,0], [-0.009888, 0.007364, -0.018106], 15, [-0.156906, -0.137293, -0.058840], [-0.014357, -0.098106, 9.810573], [-100.000000, -235.000000, -103.000000], [-30, -236, 322]]
DATA[780, 0, [0,0,0], [-0.011568, 0.007059, -0.017342], 15, [-0.019613, -0.176520, -0.117680], [0.002393, -0.102891, 9.839287], [-101.000000, -233.000000, -103.000000], [-38, -232, 333]]
DATA[840, 0, [0,0,0], [-0.017677, 0.005684, -0.019938], 15, [-0.098067, -0.078453, -0.058840], [-0.002393, -0.098106, 9.805787], [-97.000000, -234.000000, -100.000000], [-31, -235, 318]]
DATA[900, 0, [0,0,0], [0.540084, -0.057328, -0.381587], 15, [-0.078453, -0.039227, -0.058840], [0.007178, -0.098106, 9.829716], [-99.000000, -231.000000, -101.000000], [-42, -240, 320]]
DATA[960, 0, [0,0,0], [-0.013401, 0.009808, -0.017800], 15, [-0.078453, -0.058840, -0.019613], [-0.016750, -0.112463, 9.815358], [-104.000000, -232.000000, -100.000000], [-34, -233, 334]]
DATA[1020, 0, [0,0,0], [-0.013401, 0.009655, -0.014593], 15, [-0.156906, -0.117680, -0.117680], [0.016750, -0.112463, 9.824930], [-102.000000, -229.000000, -99.000000], [-35, -232, 326]]
DATA[1080, 0, [0,0,0], [-0.017830, 0.015458, 0.027709], 15, [-0.098067, -0.117680, -0.137293], [0.023928, -0.078963, 9.815358], [-94.000000, -236.000000, -102.000000], [-37, -233, 326]]
DATA[1140, 0, [0,0,0], [-0.013401, 0.006448, -0.019327], 15, [-0.078453, -0.117680, -0.098067], [-0.002393, -0.088534, 9.791430], [-97.000000, -236.000000, -103.000000], [-44, -234, 329]]
DATA[1200, 0, [0,0,0], [-0.016913, 0.006448, -0.012608], 15, [-0.117680, -0.058840, -0.117680], [0.016750, -0.102891, 9.829716], [-100.000000, -232.000000, -103.000000], [-37, -232, 326]]
DATA[1260, 0, [0,0,0], [-0.014470, 0.010724, -0.016884], 15, [-0.098067, -0.137293, -0.039227], [0.004786, -0.069392, 9.810573], [-98.000000, -232.000000, -97.000000], [-38, -233, 326]]
