
Thu Jan  1 00:00:01 1970

Flight Log #3
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.012370, 0.004887, -0.006414], -6, [-0.019613, -0.156906, -0.039227], [0.083749, -0.141177, 9.796216], [-6.000000, -253.000000, -86.000000], [-74, -305, 264]]
DATA[110, 0, [0,0,0], [-0.019090, 0.001527, -0.000458], -6, [0.019613, -0.117680, 10.708862], [0.069392, -0.136391, 9.829716], [-7.000000, -251.000000, -91.000000], [-64, -313, 259]]
DATA[140, 0, [0,0,0], [-0.019090, 0.007483, -0.002749], -6, [-0.078453, -0.019613, 10.728476], [0.047856, -0.122034, 9.858429], [-6.000000, -252.000000, -87.000000], [-64, -310, 255]]
DATA[180, 0, [0,0,0], [-0.098960, 0.007025, -0.007483], -6, [0.019613, -0.058840, -0.019613], [0.047856, -0.165105, 9.815358], [-10.000000, -253.000000, -89.000000], [-72, -307, 251]]
DATA[230, 0, [0,0,0], [-0.019395, 0.003818, -0.000305], -6, [-0.019613, -0.039227, 10.708862], [0.057428, -0.131605, 9.844072], [-7.000000, -254.000000, -89.000000], [-68, -311, 252]]
DATA[270, 0, [0,0,0], [-0.099266, 0.005040, -0.003665], -6, [0.000000, -0.039227, -0.019613], [0.078963, -0.160319, 9.810573], [-12.000000, -250.000000, -87.000000], [-70, -310, 266]]
DATA[310, 0, [0,0,0], [-0.102931, 0.006109, -0.000458], -6, [0.039227, -0.078453, 10.689249], [0.057428, -0.145962, 9.839287], [-3.000000, -252.000000, -84.000000], [-76, -312, 257]]
DATA[350, 0, [0,0,0], [-0.100029, 0.004581, -0.000305], -6, [0.000000, -0.058840, 10.669636], [0.059821, -0.145962, 9.824930], [-11.000000, -251.000000, -88.000000], [-77, -311, 262]]
DATA[390, 0, [0,0,0], [-0.101556, 0.006720, -0.000153], -6, [0.019613, -0.117680, -0.019613], [0.059821, -0.131605, 9.805787], [-4.000000, -253.000000, -87.000000], [-74, -316, 259]]
DATA[440, 0, [0,0,0], [-0.102014, 0.006720, -0.005803], -6, [-0.039227, -0.039227, 10.689249], [0.057428, -0.131605, 9.853643], [-10.000000, -251.000000, -83.000000], [-71, -308, 250]]
DATA[480, 0, [0,0,0], [-0.104153, 0.003360, 0.123089], -6, [0.019613, -0.098067, 10.748089], [0.078963, -0.141177, 9.815358], [-10.000000, -252.000000, -87.000000], [-71, -310, 255]]
