
Thu Jan  1 00:00:01 1970

Flight Log #4
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], 0, [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.013897, 0.009621, -0.018479], 17, [0.000000, -0.117680, -0.117680], [-0.016750, -0.093320, 9.824930], [-109.000000, -158.000000, -61.000000], [148, -221, 336]]
DATA[100, 0, [0,0,0], [-0.017868, 0.005651, -0.017562], 17, [-0.117680, -0.117680, -0.137293], [0.002393, -0.064606, 9.820144], [-106.000000, -154.000000, -60.000000], [147, -219, 336]]
DATA[140, 0, [0,0,0], [-0.015730, 0.006872, -0.014661], 17, [-0.156906, -0.176520, -0.098067], [0.023928, -0.078963, 9.820144], [-107.000000, -161.000000, -60.000000], [145, -219, 331]]
DATA[180, 0, [0,0,0], [-0.019395, 0.006261, -0.015577], 17, [-0.156906, -0.078453, -0.117680], [0.004786, -0.059821, 9.834501], [-104.000000, -155.000000, -61.000000], [151, -221, 343]]
DATA[230, 0, [0,0,0], [-0.021380, 0.009010, -0.017715], 17, [-0.117680, -0.137293, -0.137293], [0.021535, -0.093320, 9.820144], [-107.000000, -157.000000, -58.000000], [142, -216, 336]]
DATA[270, 0, [0,0,0], [-0.020922, 0.011912, -0.014355], 17, [-0.117680, -0.117680, -0.117680], [0.014357, -0.098106, 9.834501], [-109.000000, -157.000000, -60.000000], [147, -215, 347]]
DATA[320, 0, [0,0,0], [-0.019242, 0.010537, -0.018479], 17, [-0.117680, -0.137293, -0.058840], [0.021535, -0.064606, 9.824930], [-107.000000, -158.000000, -57.000000], [149, -222, 333]]
DATA[350, 0, [0,0,0], [-0.013134, 0.005803, -0.017410], 17, [-0.156906, -0.137293, -0.078453], [0.014357, -0.055035, 9.829716], [-108.000000, -156.000000, -60.000000], [148, -217, 351]]
DATA[390, 0, [0,0,0], [-0.018937, 0.008858, -0.015882], 17, [-0.137293, -0.196133, -0.117680], [0.033500, -0.059821, 9.839287], [-103.000000, -156.000000, -60.000000], [150, -219, 339]]
DATA[440, 0, [0,0,0], [-0.018937, 0.014661, -0.016188], 17, [-0.156906, -0.019613, -0.078453], [0.023928, -0.069392, 9.815358], [-108.000000, -158.000000, -59.000000], [144, -218, 347]]
DATA[480, 0, [0,0,0], [-0.019700, 0.011454, -0.014966], 17, [-0.098067, -0.098067, 10.473502], [-0.014357, -0.088534, 9.824930], [-105.000000, -155.000000, -60.000000], [150, -222, 340]]
DATA[520, 0, [0,0,0], [-0.010996, 0.009163, -0.014508], 17, [-0.137293, -0.137293, -0.137293], [0.004786, -0.059821, 9.815358], [-107.000000, -155.000000, -59.000000], [153, -220, 340]]
DATA[570, 0, [0,0,0], [-0.014966, 0.007330, -0.017868], 17, [-0.019613, -0.176520, -0.117680], [0.016750, -0.088534, 9.829716], [-107.000000, -156.000000, -60.000000], [152, -207, 339]]
