
Thu Jan  1 00:00:01 1970

Flight Log #13
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1560, 0, [0,0,0], [-0.006727, 0.025287, 0.064605], 10, [-0.078453, -0.176520, -0.156906], [-0.072920, -0.206317, 9.731933], [43.000000, 326.000000, -90.000000], [46.996799, 181.108597, -535.108826]]
DATA[1620, 0, [0,0,0], [-0.016806, 0.023149, 0.063842], 10, [-0.176520, -0.215746, -0.019613], [-0.070518, -0.215743, 9.750999], [47.000000, 324.000000, -92.000000], [50.913200, 171.102600, -533.066406]]
DATA[1690, 0, [0,0,0], [-0.009017, 0.019026, 0.061856], 10, [-0.098067, -0.176520, -0.019613], [-0.056107, -0.234594, 9.708098], [41.000000, 326.000000, -87.000000], [46.996799, 173.103806, -514.684814]]
DATA[1740, 0, [0,0,0], [-0.011614, 0.026356, 0.067965], 10, [-0.078453, -0.137293, -0.078453], [-0.051304, -0.234594, 9.722398], [43.000000, 329.000000, -87.000000], [55.808701, 175.104996, -522.854370]]
DATA[1800, 0, [0,0,0], [-0.009017, 0.021622, 0.062773], 10, [-0.137293, -0.156906, -0.019613], [-0.046500, -0.234594, 9.755766], [45.000000, 328.000000, -86.000000], [51.892300, 184.110397, -530.002808]]
DATA[1860, 0, [0,0,0], [-0.008712, 0.018720, 0.062925], 10, [-0.098067, -0.137293, -0.039227], [-0.077723, -0.239307, 9.684263], [47.000000, 327.000000, -88.000000], [51.892300, 181.108597, -524.896790]]
DATA[1920, 0, [0,0,0], [-0.011003, 0.021469, 0.068270], 10, [-0.176520, -0.196133, -0.078453], [-0.072920, -0.248733, 9.717631], [42.000000, 328.000000, -90.000000], [57.766899, 185.110992, -520.812012]]
DATA[1980, 0, [0,0,0], [-0.013446, 0.028647, 0.063689], 10, [-0.098067, -0.215746, 10.375436], [-0.058509, -0.248733, 9.750999], [45.000000, 327.000000, -91.000000], [57.766899, 176.105606, -535.108826]]
DATA[2040, 0, [0,0,0], [-0.011155, 0.023149, 0.064300], 10, [-0.078453, -0.196133, -0.137293], [-0.072920, -0.225169, 9.722398], [46.000000, 326.000000, -90.000000], [44.059502, 180.108002, -528.981628]]
DATA[2110, 0, [0,0,0], [-0.008407, 0.026051, 0.058344], 10, [-0.019613, -0.294199, 10.395049], [-0.058509, -0.225169, 9.731933], [52.000000, 325.000000, -91.000000], [50.913200, 184.110397, -532.045227]]
DATA[2160, 0, [0,0,0], [-0.012377, 0.022996, 0.062467], 10, [-0.039227, -0.235360, -0.078453], [-0.070518, -0.239307, 9.741466], [56.000000, 325.000000, -95.000000], [48.955002, 179.107407, -525.918030]]
