
Thu Jan  1 00:00:01 1970

Flight Log #6
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1740, 0, [0,0,0], [-0.009017, 0.025440, 0.054220], 11, [-0.164621, -0.187890, -0.112908], [-0.028714, -0.107677, 9.801002], [205.610992, 69.041397, -911.931580], [272, -2, 288]]
DATA[1800, 0, [0,0,0], [-0.006116, 0.022538, 0.059107], 11, [-0.125247, -0.245836, -0.112908], [0.007178, -0.102891, 9.820144], [206.590103, 71.042603, -912.952820], [273, -5, 279]]
DATA[1860, 0, [0,0,0], [-0.009323, 0.022385, 0.055900], 11, [-0.164621, -0.168575, -0.112908], [-0.038285, -0.098106, 9.820144], [207.569199, 74.044403, -913.973999], [266, -8, 285]]
DATA[1920, 0, [0,0,0], [-0.008101, 0.024371, 0.055900], 11, [-0.223681, -0.265151, -0.132444], [-0.045464, -0.145962, 9.796216], [206.590103, 71.042603, -912.952820], [267, -5, 290]]
DATA[1980, 0, [0,0,0], [-0.004283, 0.020858, 0.055442], 11, [-0.144934, -0.187890, -0.132444], [-0.009571, -0.126820, 9.824930], [205.610992, 70.042000, -910.910400], [266, -2, 289]]
DATA[2040, 0, [0,0,0], [-0.008865, 0.019484, 0.065980], 11, [-0.144934, -0.168575, 10.299806], [-0.038285, -0.117248, 9.786645], [208.548294, 73.043800, -908.867981], [263, -4, 288]]
DATA[2100, 0, [0,0,0], [-0.006574, 0.024676, 0.058496], 11, [-0.164621, -0.168575, -0.112908], [-0.021535, -0.112463, 9.815358], [206.590103, 67.040199, -910.910400], [267, -1, 293]]
DATA[2170, 0, [0,0,0], [-0.003520, 0.023913, 0.054220], 11, [-0.144934, -0.168575, 10.299806], [-0.021535, -0.150748, 9.796216], [204.631897, 68.040802, -911.931580], [265, -5, 293]]
DATA[2230, 0, [0,0,0], [-0.005810, 0.028494, 0.055595], 11, [-0.243368, -0.129945, 10.280270], [-0.031107, -0.088534, 9.791430], [205.610992, 68.040802, -911.931580], [270, 1, 303]]
DATA[2290, 0, [0,0,0], [-0.005047, 0.024218, 0.052999], 11, [-0.144934, -0.245836, -0.073836], [-0.028714, -0.102891, 9.810573], [208.548294, 71.042603, -910.910400], [272, 5, 294]]
DATA[2360, 0, [0,0,0], [-0.007490, 0.024676, 0.057427], 11, [-0.164621, -0.226521, -0.093372], [-0.019143, -0.117248, 9.829716], [207.569199, 74.044403, -907.846802], [270, 3, 296]]
DATA[2420, 0, [0,0,0], [-0.005810, 0.021469, 0.062009], 11, [-0.144934, -0.207206, -0.132444], [-0.019143, -0.131605, 9.853643], [205.610992, 73.043800, -907.846802], [268, -3, 284]]
DATA[2480, 0, [0,0,0], [-0.008101, 0.022844, 0.057733], 11, [-0.184308, -0.149260, -0.112908], [-0.062213, -0.098106, 9.820144], [207.569199, 65.039001, -909.889221], [256, 1, 281]]
DATA[2540, 0, [0,0,0], [-0.002909, 0.023760, 0.058649], 11, [-0.105560, -0.245836, -0.210588], [-0.028714, -0.107677, 9.796216], [210.506500, 68.040802, -910.910400], [262, -4, 284]]
DATA[2600, 0, [0,0,0], [-0.010545, 0.022844, 0.055748], 11, [-0.184308, -0.187890, 10.260734], [-0.011964, -0.107677, 9.810573], [204.631897, 70.042000, -911.931580], [267, 1, 281]]
DATA[2660, 0, [0,0,0], [-0.005047, 0.025287, 0.054068], 11, [-0.263055, -0.226521, -0.132444], [-0.014357, -0.102891, 9.791430], [205.610992, 66.039597, -910.910400], [265, -3, 279]]
DATA[2720, 0, [0,0,0], [-0.004283, 0.026203, 0.053762], 11, [-0.144934, -0.265151, -0.171516], [-0.031107, -0.145962, 9.815358], [202.673706, 67.040199, -910.910400], [261, 0, 290]]
DATA[2780, 0, [0,0,0], [-0.010086, 0.021164, 0.056664], 11, [-0.144934, -0.207206, -0.191052], [-0.040678, -0.122034, 9.815358], [208.548294, 73.043800, -911.931580], [264, -4, 294]]
DATA[2850, 0, [0,0,0], [-0.010850, 0.019331, 0.061093], 11, [-0.125247, -0.187890, -0.132444], [-0.052642, -0.102891, 9.820144], [207.569199, 73.043800, -909.889221], [259, -12, 285]]
DATA[2910, 0, [0,0,0], [-0.005047, 0.020095, 0.061398], 11, [-0.125247, -0.284466, -0.073836], [-0.033500, -0.102891, 9.815358], [209.527405, 73.043800, -910.910400], [269, 0, 285]]
DATA[2970, 0, [0,0,0], [-0.004741, 0.019942, 0.008558], 11, [-0.164621, -0.226521, -0.151980], [-0.031107, -0.145962, 9.824930], [207.569199, 67.040199, -909.889221], [265, -2, 285]]
DATA[3030, 0, [0,0,0], [-0.008254, 0.024829, 0.058191], 11, [-0.184308, -0.226521, -0.151980], [-0.031107, -0.107677, 9.796216], [207.569199, 66.039597, -911.931580], [272, -2, 279]]
DATA[3090, 0, [0,0,0], [-0.002756, 0.021927, 0.059107], 11, [-0.164621, -0.129945, 10.338878], [-0.016750, -0.165105, 9.810573], [206.590103, 67.040199, -911.931580], [262, -9, 287]]
DATA[3150, 0, [0,0,0], [-0.009323, 0.015208, 0.060024], 11, [-0.243368, -0.207206, -0.132444], [-0.009571, -0.126820, 9.829716], [207.569199, 68.040802, -910.910400], [267, -9, 289]]
DATA[3210, 0, [0,0,0], [-0.007796, 0.024065, 0.055442], 11, [-0.144934, -0.168575, -0.093372], [-0.019143, -0.117248, 9.834501], [203.652802, 73.043800, -911.931580], [266, -8, 281]]
DATA[3270, 0, [0,0,0], [-0.006116, 0.026967, 0.051472], 11, [-0.125247, -0.207206, -0.093372], [-0.050249, -0.102891, 9.829716], [206.590103, 73.043800, -910.910400], [264, -3, 281]]
DATA[3330, 0, [0,0,0], [-0.039713, 0.022385, 0.057886], 11, [-0.144934, -0.168575, -0.151980], [-0.047856, -0.112463, 9.839287], [209.527405, 72.043198, -909.889221], [262, -9, 291]]
DATA[3390, 0, [0,0,0], [-0.008559, 0.020706, 0.055289], 11, [-0.164621, -0.245836, -0.132444], [-0.038285, -0.093320, 9.805787], [207.569199, 68.040802, -909.889221], [259, -11, 285]]
DATA[3450, 0, [0,0,0], [-0.004436, 0.025134, 0.057275], 11, [-0.164621, -0.187890, -0.132444], [-0.031107, -0.126820, 9.824930], [209.527405, 65.039001, -910.910400], [268, -9, 285]]
DATA[3520, 0, [0,0,0], [-0.004589, 0.021469, 0.056206], 11, [-0.184308, -0.149260, -0.073836], [-0.031107, -0.112463, 9.820144], [207.569199, 65.039001, -910.910400], [371, -1, 290]]
DATA[3580, 0, [0,0,0], [-0.004436, 0.018873, 0.056206], 11, [-0.243368, -0.168575, -0.171516], [-0.004786, -0.098106, 9.848858], [206.590103, 66.039597, -911.931580], [268, -9, 287]]
DATA[3640, 0, [0,0,0], [-0.008407, 0.019178, 0.061245], 11, [-0.203995, -0.284466, -0.191052], [-0.007178, -0.112463, 9.815358], [205.610992, 70.042000, -910.910400], [268, -6, 296]]
DATA[3700, 0, [0,0,0], [-0.004741, 0.022996, 0.059260], 11, [-0.125247, -0.149260, -0.112908], [-0.033500, -0.107677, 9.805787], [205.610992, 76.045601, -911.931580], [266, -5, 289]]
DATA[3760, 0, [0,0,0], [-0.007796, 0.019178, 0.053915], 11, [-0.164621, -0.187890, -0.171516], [-0.035892, -0.093320, 9.805787], [208.548294, 76.045601, -909.889221], [376, -3, 290]]
DATA[3820, 0, [0,0,0], [-0.002909, 0.022385, 0.062162], 11, [-0.203995, -0.284466, -0.151980], [-0.028714, -0.088534, 9.829716], [208.548294, 71.042603, -908.867981], [269, -8, 289]]
DATA[3880, 0, [0,0,0], [-0.005963, 0.025134, 0.058496], 11, [-0.144934, -0.245836, -0.073836], [-0.011964, -0.117248, 9.815358], [205.610992, 69.041397, -912.952820], [264, -1, 304]]
DATA[3940, 0, [0,0,0], [-0.009781, 0.018873, 0.054679], 11, [-0.203995, -0.187890, -0.171516], [-0.031107, -0.122034, 9.829716], [207.569199, 72.043198, -910.910400], [269, -7, 290]]
DATA[4010, 0, [0,0,0], [-0.007338, 0.020706, 0.056817], 11, [-0.203995, -0.245836, 10.299806], [-0.031107, -0.122034, 9.805787], [205.610992, 72.043198, -910.910400], [270, -13, 283]]
DATA[4060, 0, [0,0,0], [-0.002451, 0.022538, 0.057886], 11, [-0.184308, -0.226521, -0.093372], [-0.026321, -0.112463, 9.815358], [207.569199, 74.044403, -910.910400], [264, -9, 285]]
DATA[4130, 0, [0,0,0], [-0.034979, 0.017651, 0.064911], 11, [-0.105560, -0.187890, 9.948156], [-0.023928, -0.098106, 9.832108], [207.569199, 69.041397, -910.910400], [262, -3, 295]]
DATA[4190, 0, [0,0,0], [-0.002756, 0.023149, 0.058955], 11, [-0.184308, -0.284466, -0.151980], [-0.026321, -0.107677, 9.796216], [206.590103, 69.041397, -905.804382], [262, -3, 296]]
DATA[4250, 0, [0,0,0], [-0.003672, 0.023149, 0.055595], 11, [-0.184308, -0.187890, -0.132444], [-0.045464, -0.098106, 9.824930], [206.590103, 66.039597, -909.889221], [265, -4, 290]]
DATA[4310, 0, [0,0,0], [-0.001840, 0.024982, 0.057275], 11, [-0.046500, -0.187890, -0.093372], [-0.011964, -0.117248, 9.887143], [208.548294, 68.040802, -911.931580], [264, 2, 287]]
DATA[4370, 0, [0,0,0], [-0.002756, 0.019637, 0.052999], 11, [-0.144934, -0.168575, -0.132444], [-0.035892, -0.131605, 9.834501], [205.610992, 73.043800, -913.973999], [265, -5, 289]]
DATA[4430, 0, [0,0,0], [-0.001382, 0.021622, 0.062162], 11, [-0.144934, -0.187890, -0.073836], [-0.031107, -0.093320, 9.810573], [205.610992, 70.042000, -913.973999], [266, -6, 292]]
DATA[4490, 0, [0,0,0], [-0.039408, 0.022538, 0.052541], 11, [-0.125247, -0.265151, -0.151980], [-0.035892, -0.074178, 9.810573], [209.527405, 71.042603, -911.931580], [262, -1, 288]]
DATA[4550, 0, [0,0,0], [-0.001229, 0.019178, 0.005657], 11, [-0.578044, -0.187890, -0.073836], [-0.155533, -0.160319, 9.781859], [207.569199, 71.042603, -908.867981], [263, -6, 291]]
DATA[4610, 0, [0,0,0], [-0.003367, 0.026967, 0.068881], 11, [-0.125247, -0.207206, -0.112908], [0.200997, -0.165105, 9.848858], [207.569199, 66.039597, -908.867981], [259, -5, 296]]
DATA[4680, 0, [0,0,0], [-0.001382, 0.019331, 0.067507], 11, [-0.184308, -0.265151, -0.151980], [-0.035892, -0.141177, 9.829716], [208.548294, 68.040802, -906.825623], [265, -2, 276]]
DATA[4740, 0, [0,0,0], [-0.000771, 0.022080, 0.053610], 11, [-0.125247, -0.303781, -0.171516], [0.000000, -0.122034, 9.810573], [205.610992, 65.039001, -911.931580], [261, -5, 278]]
DATA[4810, 0, [0,0,0], [-0.004589, 0.019789, 0.062467], 11, [-0.203995, -0.265151, 10.280270], [-0.033500, -0.141177, 9.810573], [208.548294, 69.041397, -912.952820], [259, -12, 295]]
DATA[4870, 0, [0,0,0], [-0.009781, 0.019026, 0.055137], 11, [-0.302429, -0.226521, -0.191052], [-0.002393, -0.098106, 9.834501], [205.610992, 65.039001, -909.889221], [260, -7, 286]]
