
Thu Jan  1 00:00:01 1970

Flight Log #6
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[4930, 0, [0,0,0], [-0.007338, 0.021011, 0.055137], 11, [-0.105560, -0.207206, -0.093372], [-0.011964, -0.112463, 9.796216], [207.569199, 69.041397, -913.973999], [263, -5, 300]]
DATA[4990, 0, [0,0,0], [-0.039408, 0.020553, 0.055595], 11, [-0.243368, -0.245836, -0.171516], [0.007178, -0.107677, 9.865608], [208.548294, 70.042000, -910.910400], [255, -10, 292]]
DATA[5050, 0, [0,0,0], [-0.009781, 0.024676, -0.001979], 11, [-0.125247, -0.168575, -0.093372], [0.016750, -0.078963, 9.772287], [206.590103, 66.039597, -909.889221], [260, -5, 286]]
DATA[5110, 0, [0,0,0], [-0.037881, 0.020095, 0.058496], 11, [-0.243368, -0.168575, -0.191052], [-0.038285, -0.122034, 9.801002], [206.590103, 68.040802, -910.910400], [259, -10, 293]]
DATA[5170, 0, [0,0,0], [-0.005352, 0.026662, 0.056969], 11, [-0.085874, -0.207206, -0.151980], [0.007178, -0.098106, 9.824930], [205.610992, 67.040199, -911.931580], [274, -10, 296]]
DATA[5230, 0, [0,0,0], [-0.001534, 0.024676, 0.007031], 11, [-0.105560, -0.149260, -0.093372], [-0.244068, -0.265603, 10.011570], [204.631897, 71.042603, -911.931580], [263, -8, 282]]
DATA[5290, 0, [0,0,0], [-0.010850, 0.028341, -0.000605], 11, [0.622852, 0.565398, -0.151980], [0.050249, -0.126820, 9.796216], [207.569199, 65.039001, -910.910400], [267, -12, 283]]
DATA[5350, 0, [0,0,0], [-0.038033, 0.021622, 0.060024], 11, [-0.302429, -0.342411, -0.151980], [0.131605, -0.021535, 9.750752], [208.548294, 67.040199, -905.804382], [264, -13, 291]]
DATA[5420, 0, [0,0,0], [-0.013752, 0.004518, -0.006103], 11, [-0.125247, -0.303781, -0.073836], [0.114855, -0.074178, 9.856036], [209.527405, 57.034199, -911.931580], [262, -12, 292]]
DATA[5470, 0, [0,0,0], [-0.004130, 0.021927, 0.248628], 11, [-0.105560, -0.187890, 10.358414], [0.193819, 0.000000, 9.796216], [207.569199, 61.036598, -911.931580], [266, -12, 289]]
DATA[5540, 0, [0,0,0], [-0.001382, 0.026051, 0.052082], 11, [-0.578044, -0.342411, 10.358414], [-0.026321, -0.122034, 9.846465], [207.569199, 61.036598, -909.889221], [266, -20, 292]]
DATA[5590, 0, [0,0,0], [-0.031009, 0.018262, -0.000605], 11, [-0.932407, -0.129945, 10.026300], [0.468993, 0.325424, 9.683753], [207.569199, 55.033001, -911.931580], [257, -12, 288]]
DATA[5650, 0, [0,0,0], [-0.006879, -0.002507, 0.403330], 11, [-0.341802, -0.863918, -0.171516], [-0.303888, -0.641276, 9.755538], [207.569199, 37.022202, -912.952820], [264, -28, 292]]
DATA[5710, 0, [0,0,0], [-0.014210, 0.013070, -0.440733], 11, [-0.184308, -0.091315, -0.132444], [0.574277, 0.043071, 9.868001], [205.610992, 43.025799, -911.931580], [267, -25, 293]]
DATA[5770, 0, [0,0,0], [-0.011919, -0.004798, -0.001216], 11, [-0.184308, -0.207206, -0.210588], [-0.270389, -0.234497, 9.829716], [208.548294, 40.023998, -912.952820], [265, -29, 288]]
DATA[5830, 0, [0,0,0], [-0.002145, 0.023760, 0.055137], 11, [-0.105560, -0.187890, -0.171516], [-0.023928, -0.088534, 9.839287], [209.527405, 32.019199, -912.952820], [324, -34, 295]]
DATA[5890, 0, [0,0,0], [-0.005963, 0.027883, -0.000910], 11, [0.051934, -0.149260, -0.112908], [-0.088534, 0.009571, 9.832108], [208.548294, 34.020401, -909.889221], [260, -36, 292]]
