
Thu Jan  1 00:07:11 1970

Flight Log #5
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1600, 0, [0,0,0], [-0.889725, 0.010537, -0.877203], 16, [-0.137293, -0.215746, -0.078453], [-0.014357, -0.074178, 9.820144], [256.000000, 17.000000, -90.000000], [286, -44, 304]]
DATA[1650, 0, [0,0,0], [-0.886365, 0.006261, -0.881173], 16, [-0.156906, -0.137293, -0.058840], [-0.009571, -0.102891, 9.839287], [-2.000000, 19.000000, -89.000000], [284, -51, 305]]
DATA[1710, 0, [0,0,0], [-0.888809, 0.008552, -0.881479], 16, [-0.176520, -0.137293, -0.117680], [-0.047856, -0.102891, 9.829716], [257.000000, 15.000000, -87.000000], [285, -49, 312]]
DATA[1770, 0, [0,0,0], [-0.890183, 0.008552, -0.879493], 16, [-0.098067, -0.156906, -0.098067], [-0.035892, -0.107677, 9.820144], [258.000000, 17.000000, -88.000000], [280, -52, 313]]
DATA[1820, 0, [0,0,0], [-0.890489, 0.006567, -0.879646], 16, [-0.176520, -0.196133, 10.179303], [-0.026321, -0.107677, 9.834501], [258.000000, 17.000000, -88.000000], [278, -52, 304]]
DATA[1880, 0, [0,0,0], [-0.886824, 0.007941, -0.881020], 16, [-0.098067, -0.156906, -0.078453], [-0.026321, -0.074178, 9.844072], [-1.000000, 14.000000, -90.000000], [282, -50, 307]]
DATA[1940, 0, [0,0,0], [-0.891252, 0.011912, -0.880410], 16, [-0.156906, -0.137293, -0.098067], [-0.004786, -0.122034, 9.810573], [257.000000, 18.000000, -89.000000], [277, -48, 314]]
DATA[2000, 0, [0,0,0], [-0.889114, 0.006872, -0.880104], 16, [-0.156906, -0.156906, -0.117680], [-0.031107, -0.088534, 9.767502], [258.000000, 18.000000, -86.000000], [275, -50, 308]]
DATA[2050, 0, [0,0,0], [-0.887434, 0.008399, -0.882395], 16, [-0.117680, -0.137293, -0.117680], [0.000000, -0.112463, 9.801002], [258.000000, 15.000000, -88.000000], [279, -54, 313]]
DATA[2110, 0, [0,0,0], [-0.888809, 0.006872, -0.879646], 16, [-0.254973, -0.078453, -0.117680], [-0.038285, -0.107677, 9.834501], [-3.000000, 13.000000, -88.000000], [282, -50, 315]]
DATA[2170, 0, [0,0,0], [-0.891100, 0.004276, -0.879951], 16, [-0.137293, -0.098067, -0.078453], [-0.016750, -0.074178, 9.801002], [-2.000000, 15.000000, -90.000000], [282, -51, 306]]
DATA[2220, 0, [0,0,0], [-0.888962, 0.011301, -0.881631], 16, [-0.117680, -0.137293, -0.078453], [-0.047856, -0.083749, 9.805787], [259.000000, 15.000000, -90.000000], [280, -50, 298]]
DATA[2270, 0, [0,0,0], [-0.889573, 0.010690, -0.882242], 16, [-0.137293, -0.137293, -0.039227], [-0.038285, -0.093320, 9.856036], [260.000000, 14.000000, -87.000000], [283, -54, 308]]
DATA[2340, 0, [0,0,0], [-0.886213, 0.009010, -0.879493], 16, [-0.235360, -0.117680, 10.375436], [-0.057428, -0.088534, 9.839287], [258.000000, 14.000000, -88.000000], [278, -54, 313]]
DATA[2390, 0, [0,0,0], [-0.889267, 0.007330, -0.882089], 16, [-0.117680, -0.196133, 10.355823], [-0.033500, -0.088534, 9.824930], [256.000000, 19.000000, -89.000000], [282, -51, 316]]
DATA[2440, 0, [0,0,0], [-0.887893, 0.007178, -0.882395], 16, [-0.098067, -0.156906, -0.058840], [-0.047856, -0.093320, 9.834501], [260.000000, 15.000000, -87.000000], [280, -57, 304]]
DATA[2500, 0, [0,0,0], [-0.891405, 0.007789, -0.882700], 16, [-0.176520, -0.156906, -0.019613], [-0.016750, -0.088534, 9.805787], [258.000000, 19.000000, -90.000000], [276, -57, 312]]
DATA[2560, 0, [0,0,0], [-0.889114, 0.010232, -0.881937], 16, [-0.117680, -0.137293, -0.156906], [-0.023928, -0.093320, 9.839287], [257.000000, 15.000000, -88.000000], [277, -48, 301]]
DATA[2610, 0, [0,0,0], [-0.891711, 0.008552, -0.880104], 16, [-0.137293, -0.117680, -0.117680], [0.000000, -0.078963, 9.815358], [258.000000, 18.000000, -85.000000], [284, -51, 307]]
DATA[2670, 0, [0,0,0], [-0.886671, 0.009774, -0.883617], 16, [-0.137293, -0.117680, -0.156906], [-0.021535, -0.098106, 9.824930], [259.000000, 17.000000, -87.000000], [284, -40, 297]]
DATA[2730, 0, [0,0,0], [-0.889573, 0.009010, -0.881326], 16, [-0.156906, -0.058840, -0.019613], [-0.009571, -0.083749, 9.824930], [259.000000, 18.000000, -89.000000], [279, -52, 318]]
DATA[2790, 0, [0,0,0], [-0.884686, 0.009316, -0.883617], 16, [-0.117680, -0.098067, -0.078453], [-0.028714, -0.093320, 9.820144], [257.000000, 17.000000, -89.000000], [279, -43, 310]]
DATA[2840, 0, [0,0,0], [-0.887740, 0.008399, -0.879341], 16, [-0.137293, -0.098067, -0.156906], [-0.043071, -0.083749, 9.815358], [-2.000000, 17.000000, -90.000000], [280, -52, 314]]
