
Thu Jan  1 00:00:01 1970

Flight Log #11
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1060, 0, [-0.029038,-0.009238,-2.220249], [0.014633, 0.019346, -0.018606], 14, [0.000000, -0.117680, -10.218530], [-0.087987, -0.309123, 9.839084], [29.000000, 6.000000, 591.000000], [-72.453400, -104.062401, -642.334778]]
DATA[1090, 0, [-0.029160,-0.009438,-2.151125], [0.014499, 0.019196, -0.019100], 14, [-0.137293, -0.117680, -10.296983], [-0.133815, -0.302309, 9.738346], [-18.000000, 4.000000, 592.000000], [-67.557899, -112.067200, -644.377197]]
DATA[1140, 0, [-0.029296,-0.009689,-2.126975], [0.013187, 0.019780, -0.018024], 14, [-0.117680, -0.039227, -10.002783], [-0.096164, -0.313264, 9.853368], [23.000000, 5.000000, 592.000000], [-67.557899, -118.070801, -647.440796]]
DATA[1170, 0, [-0.029349,-0.009766,-2.252219], [0.013583, 0.019551, -0.017940], 14, [-0.078453, -0.235360, -9.904716], [-0.124429, -0.301904, 9.824947], [25.000000, 1.000000, 591.000000], [-76.369797, -103.061798, -634.165222]]
DATA[1210, 0, [-0.029174,-0.009754,-2.321373], [0.012579, 0.019713, -0.017848], 14, [-0.117680, -0.274586, -0.117680], [-0.100522, -0.298921, 9.799737], [27.000000, -3.000000, 594.000000], [-84.202599, -99.059402, -636.207581]]
DATA[1250, 0, [-0.028954,-0.010227,-2.198320], [0.010539, 0.021281, -0.017603], 14, [0.098067, -0.196133, -0.137293], [-0.135169, -0.293469, 9.762378], [25.000000, 18.000000, 589.000000], [-74.411598, -112.067200, -642.334778]]
DATA[1290, 0, [-0.028702,-0.010085,-2.206893], [0.011170, 0.020760, -0.017108], 14, [0.078453, -0.176520, -0.078453], [-0.084668, -0.291814, 9.719493], [29.000000, -2.000000, 594.000000], [-71.474297, -106.063599, -650.504395]]
DATA[1340, 0, [-0.028521,-0.010360,-2.188595], [0.011505, 0.021420, -0.017544], 14, [0.117680, -0.019613, -10.042009], [-0.143440, -0.291990, 9.739147], [31.000000, 4.000000, 589.000000], [-67.557899, -105.063004, -641.313599]]
DATA[1370, 0, [-0.028298,-0.010805,-2.140318], [0.011636, 0.020460, -0.016930], 14, [-0.215746, -0.294199, -0.098067], [-0.110373, -0.284749, 9.758099], [27.000000, 18.000000, 586.000000], [-68.537003, -117.070198, -653.567993]]
DATA[1420, 0, [-0.028650,-0.011141,-2.258743], [0.013084, 0.020771, -0.017767], 14, [-0.078453, -0.039227, -0.019613], [-0.146131, -0.313241, 9.614298], [27.000000, -2.000000, 594.000000], [-72.453400, -112.067200, -655.610413]]
DATA[1450, 0, [-0.029120,-0.011668,-2.221439], [0.012919, 0.020570, -0.017655], 14, [-0.078453, -0.019613, -0.058840], [-0.129119, -0.310091, 9.714677], [-97.000000, -15.000000, 586.000000], [-71.474297, -104.062401, -642.334778]]
DATA[1490, 0, [-0.029447,-0.011000,-2.241377], [0.013377, 0.019887, -0.018160], 14, [-0.098067, -0.215746, -0.039227], [-0.083896, -0.310062, 9.603044], [27.000000, -3.000000, 592.000000], [-72.453400, -101.060600, -644.377197]]
DATA[1530, 0, [-0.029826,-0.011299,-2.138794], [0.014480, 0.019782, -0.017429], 14, [-0.098067, -0.098067, -10.277369], [-0.153505, -0.314525, 9.566083], [26.000000, -1.000000, 633.000000], [-65.599701, -113.067802, -643.356018]]
DATA[1580, 0, [-0.029998,-0.011529,-2.191159], [0.014427, 0.019508, -0.018020], 14, [-0.058840, -0.294199, -9.669357], [-0.109300, -0.309236, 9.762671], [29.000000, -1.000000, 593.000000], [-75.390701, -116.069603, -646.419617]]
DATA[1610, 0, [-0.029703,-0.010878,-2.208196], [0.013708, 0.019234, -0.017269], 14, [0.058840, -0.215746, -0.078453], [-0.092488, -0.284814, 9.622259], [28.000000, 5.000000, 590.000000], [-65.599701, -98.058800, -634.165222]]
DATA[1650, 0, [-0.029256,-0.010753,-2.200126], [0.014011, 0.018242, -0.017665], 14, [0.058840, -0.215746, -0.019613], [-0.108209, -0.292264, 9.777471], [34.000000, 6.000000, 594.000000], [-74.411598, -112.067200, -645.398376]]
DATA[1690, 0, [-0.028734,-0.010396,-2.215396], [0.014800, 0.017910, -0.018990], 14, [-0.137293, -0.019613, -10.022396], [-0.102352, -0.275477, 9.690507], [30.000000, 9.000000, 590.000000], [-70.495201, -103.061798, -639.271179]]
DATA[1730, 0, [-0.028468,-0.010145,-2.213496], [0.015208, 0.017899, -0.019271], 14, [-0.078453, -0.313813, -10.042009], [-0.108400, -0.292223, 9.708589], [25.000000, 7.000000, 588.000000], [-69.516098, -102.061203, -653.567993]]
DATA[1770, 0, [-0.028545,-0.010093,-2.187476], [0.013488, 0.019260, -0.019049], 14, [0.000000, -0.274586, -10.042009], [-0.109335, -0.296353, 9.712978], [26.000000, 3.000000, 592.000000], [-73.432503, -113.067802, -652.546814]]
DATA[1810, 0, [-0.028478,-0.010116,-2.210633], [0.013353, 0.019083, -0.018087], 14, [-0.019613, -0.254973, -0.098067], [-0.108955, -0.286293, 9.715638], [26.000000, 3.000000, 590.000000], [-73.432503, -108.064796, -657.652771]]
DATA[1860, 0, [-0.028270,-0.009993,-2.172522], [0.012631, 0.019613, -0.017449], 14, [-0.078453, -0.294199, -0.019613], [-0.103336, -0.288650, 9.718201], [26.000000, 4.000000, 593.000000], [-77.348900, -110.066002, -641.313599]]
