
Thu Jan  1 00:00:01 1970

Flight Log #12
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1050, 0, [-0.004979,-0.019833,-2.012326], [0.018957, 0.018025, -0.021380], 13, [0.117680, 0.039227, -0.098067], [-0.189556, -0.051406, 9.757765], [6.000000, -55.000000, 597.000000], [-74.411598, -171.102600, -648.461975]]
DATA[1090, 0, [-0.004768,-0.020188,-2.000225], [0.020018, 0.018245, -0.022398], 13, [-0.117680, -0.058840, -0.098067], [-0.237892, -0.059357, 9.692946], [10.000000, -64.000000, 596.000000], [-66.578796, -159.095398, -643.356018]]
DATA[1140, 0, [-0.004615,-0.020386,-2.017797], [0.020307, 0.018541, -0.022755], 13, [-0.019613, -0.078453, -0.137293], [-0.206129, -0.056502, 9.780732], [9.000000, -52.000000, -67.000000], [-60.704201, -167.100204, -654.589172]]
DATA[1170, 0, [-0.004477,-0.020300,-1.962410], [0.020484, 0.017867, -0.022032], 13, [0.117680, -0.058840, -0.019613], [-0.221382, -0.055082, 9.718215], [8.000000, -54.000000, 596.000000], [-63.641499, -168.100800, -653.567993]]
DATA[1210, 0, [-0.004427,-0.020766,-1.995430], [0.020171, 0.018795, -0.021468], 13, [-0.039227, -0.117680, -0.156906], [-0.238274, -0.059698, 9.745230], [9.000000, -120.000000, 597.000000], [-71.474297, -172.103195, -640.292419]]
DATA[1250, 0, [-0.004213,-0.020998,-2.013808], [0.018555, 0.018963, -0.020855], 13, [0.019613, -0.117680, -9.963556], [-0.220119, -0.047164, 9.688129], [5.000000, -55.000000, 593.000000], [-72.453400, -167.100204, -653.567993]]
DATA[1290, 0, [-0.004061,-0.020588,-2.044003], [0.019114, 0.019322, -0.022282], 13, [0.117680, 0.039227, -9.924330], [-0.197060, -0.055037, 9.698992], [3.000000, -58.000000, 596.000000], [-76.369797, -163.097794, -646.419617]]
DATA[1340, 0, [-0.004339,-0.020591,-1.979959], [0.016991, 0.018767, -0.021039], 13, [-0.117680, -0.117680, -10.316596], [-0.231943, -0.075760, 9.710577], [5.000000, -61.000000, 595.000000], [-67.557899, -170.102005, -660.716370]]
DATA[1370, 0, [-0.004551,-0.020525,-2.018191], [0.017490, 0.018681, -0.020858], 13, [-0.019613, -0.117680, -9.943943], [-0.192994, -0.056072, 9.719444], [7.000000, -64.000000, 595.000000], [-72.453400, -165.098999, -652.546814]]
DATA[1410, 0, [-0.004715,-0.021190,-1.941346], [0.017440, 0.019160, -0.021095], 13, [-0.078453, -0.019613, -0.156906], [-0.263042, -0.072326, 9.650875], [6.000000, -61.000000, 586.000000], [-64.620598, -181.108597, -658.674011]]
DATA[1460, 0, [-0.004691,-0.021471,-2.019163], [0.017796, 0.019505, -0.021135], 13, [-0.156906, 0.078453, -10.002783], [-0.207610, -0.055335, 9.749969], [-13.000000, -77.000000, 596.000000], [-67.557899, -171.102600, -653.567993]]
DATA[1490, 0, [-0.004466,-0.020853,-1.980778], [0.016879, 0.019553, -0.021245], 13, [-0.098067, -0.058840, -9.924330], [-0.195020, -0.053619, 9.651834], [3.000000, -64.000000, 594.000000], [-65.599701, -165.098999, -645.398376]]
DATA[1530, 0, [-0.004544,-0.020470,-1.968553], [0.017561, 0.019933, -0.021739], 13, [0.000000, 0.000000, -0.156906], [-0.219239, -0.067992, 9.645337], [3.000000, -63.000000, 591.000000], [-65.599701, -170.102005, -646.419617]]
DATA[1570, 0, [-0.004949,-0.020658,-2.013577], [0.016983, 0.017854, -0.022498], 13, [0.039227, 0.000000, -10.042009], [-0.221584, -0.078973, 9.758913], [9.000000, -63.000000, 596.000000], [-72.453400, -167.100204, -654.589172]]
DATA[1610, 0, [-0.004849,-0.019872,-1.995647], [0.017893, 0.018508, -0.021861], 13, [0.078453, -0.098067, -9.943943], [-0.172843, -0.055152, 9.655262], [5.000000, -25.000000, 597.000000], [-68.537003, -165.098999, -646.419617]]
DATA[1660, 0, [-0.004775,-0.020311,-1.952631], [0.017622, 0.019287, -0.023478], 13, [-0.019613, 0.000000, -9.904716], [-0.270624, -0.066898, 9.809009], [6.000000, -58.000000, -66.000000], [-64.620598, -175.104996, -658.674011]]
DATA[1690, 0, [-0.004614,-0.021401,-2.042460], [0.019204, 0.019222, -0.023527], 13, [0.117680, -0.039227, -0.039227], [-0.242132, -0.051489, 9.781425], [6.000000, -58.000000, -66.000000], [-68.537003, -149.089401, -657.652771]]
DATA[1730, 0, [-0.004446,-0.021785,-2.002739], [0.018486, 0.018710, -0.021977], 13, [-0.156906, -0.078453, -0.019613], [-0.237981, -0.057991, 9.765736], [9.000000, -56.000000, 596.000000], [-65.599701, -157.094193, -648.461975]]
DATA[1770, 0, [-0.004482,-0.021938,-2.031361], [0.019239, 0.017979, -0.020931], 13, [0.078453, -0.019613, -9.924330], [-0.232862, -0.062432, 9.747466], [8.000000, -57.000000, 595.000000], [-72.453400, -161.096603, -655.610413]]
DATA[1810, 0, [-0.004459,-0.021869,-2.033511], [0.019785, 0.018145, -0.020185], 13, [-0.156906, -0.078453, -0.019613], [-0.226320, -0.056501, 9.742542], [10.000000, -55.000000, 594.000000], [-73.432503, -162.097198, -649.483215]]
DATA[1860, 0, [-0.004376,-0.021723,-1.995326], [0.018161, 0.018082, -0.020415], 13, [0.098067, -0.019613, -9.943943], [-0.222797, -0.056124, 9.745749], [9.000000, -50.000000, 590.000000], [-66.578796, -162.097198, -650.504395]]
DATA[1890, 0, [-0.004325,-0.021527,-2.030031], [0.018748, 0.017461, -0.020771], 13, [0.098067, -0.098067, -10.022396], [-0.218973, -0.056556, 9.742313], [14.000000, -51.000000, 595.000000], [-72.453400, -161.096603, -646.419617]]
DATA[1930, 0, [-0.004264,-0.021354,-2.019602], [0.019432, 0.018378, -0.020828], 13, [0.098067, -0.039227, -10.042009], [-0.222924, -0.056223, 9.739023], [7.000000, -57.000000, 596.000000], [-71.474297, -163.097794, -656.631592]]
DATA[1970, 0, [-0.004299,-0.021341,-2.067463], [0.017766, 0.019593, -0.020327], 13, [-0.019613, -0.156906, -10.022396], [-0.222897, -0.061114, 9.734185], [7.000000, -56.000000, 596.000000], [-78.328003, -159.095398, -652.546814]]
DATA[2010, 0, [-0.004270,-0.021395,-2.037788], [0.018491, 0.019032, -0.020338], 13, [-0.098067, -0.039227, -9.983170], [-0.227127, -0.055601, 9.734982], [7.000000, -57.000000, 594.000000], [-74.411598, -162.097198, -647.440796]]
DATA[2060, 0, [-0.004267,-0.021274,-2.000612], [0.019648, 0.017857, -0.021151], 13, [0.078453, -0.039227, -10.002783], [-0.216278, -0.056835, 9.735785], [6.000000, -63.000000, 594.000000], [-74.411598, -159.095398, -640.292419]]
DATA[2090, 0, [-0.004260,-0.021087,-2.007452], [0.018219, 0.017920, -0.020981], 13, [0.039227, -0.019613, -10.022396], [-0.217659, -0.057090, 9.727714], [3.000000, -62.000000, 595.000000], [-67.557899, -159.095398, -649.483215]]
DATA[2130, 0, [-0.004318,-0.021133,-2.045543], [0.019084, 0.018255, -0.021449], 13, [0.098067, -0.058840, -10.022396], [-0.225616, -0.060180, 9.731804], [3.000000, -63.000000, 596.000000], [-74.411598, -159.095398, -646.419617]]
DATA[2180, 0, [-0.004587,-0.021128,-2.021229], [0.017693, 0.018669, -0.020814], 13, [0.098067, -0.117680, -10.042009], [-0.217808, -0.074487, 9.733662], [8.000000, -62.000000, 592.000000], [-71.474297, -162.097198, -643.356018]]
DATA[2210, 0, [-0.004917,-0.021009,-2.069996], [0.019162, 0.019522, -0.020574], 13, [0.019613, 0.000000, -10.042009], [-0.217614, -0.072110, 9.733232], [5.000000, -63.000000, 594.000000], [-77.348900, -156.093597, -643.356018]]
DATA[2250, 0, [-0.005157,-0.020803,-2.045764], [0.021410, 0.019967, -0.020644], 13, [0.058840, -0.058840, -10.042009], [-0.216666, -0.072075, 9.741885], [4.000000, -62.000000, 595.000000], [-72.453400, -155.093002, -646.419617]]
DATA[2290, 0, [-0.005272,-0.020812,-1.990083], [0.020127, 0.019248, -0.020182], 13, [0.117680, -0.019613, -10.042009], [-0.223633, -0.071305, 9.741753], [10.000000, -57.000000, 593.000000], [-64.620598, -159.095398, -640.292419]]
DATA[2330, 0, [-0.005287,-0.020782,-2.032150], [0.019364, 0.019653, -0.019775], 13, [0.078453, -0.058840, -9.983170], [-0.216210, -0.067790, 9.735618], [8.000000, -53.000000, 588.000000], [-67.557899, -150.089996, -647.440796]]
DATA[2380, 0, [-0.005297,-0.020762,-2.039781], [0.018378, 0.018833, -0.019431], 13, [0.098067, -0.117680, -9.963556], [-0.218683, -0.069386, 9.730159], [10.000000, -54.000000, 596.000000], [-73.432503, -159.095398, -644.377197]]
DATA[2410, 0, [-0.005361,-0.020809,-2.015999], [0.018106, 0.019280, -0.020179], 13, [0.039227, -0.098067, -10.002783], [-0.220660, -0.071794, 9.727043], [8.000000, -57.000000, 596.000000], [-68.537003, -158.094803, -656.631592]]
