
Thu Jan  1 00:00:01 1970

Flight Log #28
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.6'
LEGEND:[rover_t, rover_status, [rover_orient_est], [rover_orient_des],[rover_rates_des],[rover_accs_est], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag], [rover_thrusts_des]
DATA[2980, 0, [-0.009425,-0.035203,3.135424],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.088790,-0.094423,-0.003488], [0.032702, -0.004051, -0.032738], 12, [-0.215746, -0.098067, -10.296983], [0.142085, -0.441707, 9.746268], [-76.000000, 39.000000, -54.000000], [-320.165710, 23.013800, -710.755188],[0.007562,0.005111,-0.007562,-0.005111]]
DATA[3050, 0, [-0.011548,-0.035622,3.121739],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.093629,0.042529,0.310632], [0.047686, -0.010106, 0.010482], 12, [-0.019613, -0.176520, -10.042009], [0.110838, -0.430550, 9.757563], [-72.000000, 38.000000, -49.000000], [-327.998505, 19.011400, -720.967224],[0.007913,0.004911,-0.007913,-0.004911]]
DATA[3110, 0, [-0.012938,-0.036466,-3.117367],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.024967,0.143489,0.292330], [0.068338, -0.006137, 0.009421], 12, [-0.039227, -0.509946, -0.137293], [0.135161, -0.536071, 9.857915], [-73.000000, 39.000000, -45.000000], [-326.040314, 34.020401, -709.734009],[0.008246,0.004882,-0.008246,-0.004882]]
DATA[3170, 0, [-0.014173,-0.038330,3.126684],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.040468,-0.287526,-0.035318], [0.006464, -0.006450, -0.014214], 12, [-0.117680, -0.549172, -0.156906], [0.137784, -0.453366, 9.848812], [-87.000000, 45.000000, -54.000000], [-315.270203, 22.013201, -700.543213],[0.008742,0.005057,-0.008742,-0.005057]]
DATA[3230, 0, [-0.014038,-0.041621,-3.133696],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[0.016680,-0.168898,-0.071151], [0.010782, -0.003861, -0.013238], 12, [-0.176520, -0.137293, -10.218530], [0.121482, -0.530372, 9.887403], [-105.000000, 59.000000, -64.000000], [-315.270203, 31.018600, -683.182800],[0.009230,0.005566,-0.009230,-0.005566]]
DATA[3300, 0, [-0.012115,-0.037475,3.111781],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.030815,0.659216,0.022608], [0.144374, -0.005100, -0.004621], 12, [-0.117680, -0.529559, -9.904716], [0.062839, -0.511463, 9.820168], [-113.000000, 64.000000, -62.000000], [-312.332886, 16.009600, -682.161621],[0.008475,0.005260,-0.008475,-0.005260]]
DATA[3370, 0, [-0.009802,-0.036212,-3.128463],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.146517,-0.080321,0.636008], [0.071873, -0.019044, 0.076918], 12, [-0.215746, -0.823759, -10.257756], [0.008101, -0.481194, 9.904943], [-114.000000, 67.000000, -63.000000], [-315.270203, 29.017401, -684.203979],[0.007792,0.005244,-0.007792,-0.005244]]
DATA[3430, 0, [-0.008132,-0.033596,3.132673],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[0.064188,0.713096,0.187937], [0.176513, -0.004238, 0.048678], 12, [-0.098067, -0.274586, -0.117680], [0.004856, -0.514994, 9.902757], [-118.000000, 59.000000, -59.000000], [-317.228394, 20.011999, -681.140381],[0.007104,0.004990,-0.007104,-0.004990]]
DATA[3500, 0, [-0.010119,-0.030108,3.112468],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.764085,-0.089655,-0.198349], [0.093759, -0.127509, 0.004488], 12, [-0.137293, -0.058840, -10.885382], [0.027183, -0.456509, 10.099227], [-105.000000, 49.000000, -65.000000], [-321.144806, 7.004200, -683.182800],[0.006735,0.004104,-0.006735,-0.004104]]
DATA[3560, 0, [-0.015975,-0.030420,3.137529],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.599212,-0.481551,-0.578983], [0.043804, -0.117137, -0.069257], 12, [-0.019613, -0.137293, -0.058840], [0.109671, -0.428180, 10.010404], [-94.000000, 44.000000, -70.000000], [-328.977600, 14.008400, -670.928406],[0.007552,0.003399,-0.007552,-0.003399]]
