
Thu Jan  1 00:00:01 1970

Flight Log #45
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1310, 0, [0.003204,-0.030247,3.039382],[0.000000,0.000000,0.000000], [0.027872, 0.007208, -0.012829], 10, [0.000000, -0.078453, -9.983170], [-0.007114, -0.316189, 9.739536], [-58.000000, 92.000000, -55.000000], [-226.172104, -2.001200, -693.394775],[-0.001105,-0.001682,0.001105,0.001682]]
DATA[1380, 0, [0.001497,-0.031297,3.055492],[0.000000,0.000000,0.000000], [0.019583, 0.010555, -0.014589], 10, [0.039227, -0.058840, -9.943943], [-0.054961, -0.340157, 9.741268], [-58.000000, 81.000000, -57.000000], [-228.130295, 2.001200, -690.331177],[-0.000557,-0.001401,0.000557,0.001401]]
DATA[1440, 0, [-0.000117,-0.033379,3.046937],[0.000000,0.000000,0.000000], [0.023833, 0.012275, -0.007871], 10, [-0.117680, -0.019613, -10.002783], [-0.019140, -0.361304, 9.684549], [-55.000000, 92.000000, -54.000000], [-232.046707, 1.000600, -690.331177],[-0.000701,-0.001683,0.000701,0.001683]]
DATA[1500, 0, [-0.000688,-0.033952,3.038718],[0.000000,0.000000,0.000000], [0.017271, 0.015883, -0.007302], 10, [-0.058840, -0.196133, -10.022396], [-0.032380, -0.334826, 9.701142], [-56.000000, 81.000000, -55.000000], [-226.172104, 0.000000, -689.309998],[-0.000228,-0.001499,0.000228,0.001499]]
DATA[1570, 0, [-0.000867,-0.034657,3.030005],[0.000000,0.000000,0.000000], [0.025143, 0.018615, -0.008627], 10, [-0.019613, -0.039227, -9.904716], [-0.034603, -0.367759, 9.722843], [-58.000000, 89.000000, -55.000000], [-230.088501, -2.001200, -688.288818],[-0.000438,-0.001956,0.000438,0.001956]]
DATA[1630, 0, [-0.000278,-0.035180,3.036349],[0.000000,0.000000,0.000000], [0.027184, 0.019538, -0.014807], 10, [-0.078453, -0.039227, -0.137293], [-0.011554, -0.361514, 9.710791], [-51.000000, 86.000000, -56.000000], [-232.046707, 0.000000, -697.479614],[-0.000578,-0.002141,0.000578,0.002141]]
DATA[1690, 0, [0.000698,-0.034734,3.027648],[0.000000,0.000000,0.000000], [0.023639, 0.018716, -0.008343], 10, [-0.039227, -0.254973, -9.943943], [0.000118, -0.341708, 9.707561], [-56.000000, 78.000000, -55.000000], [-234.004898, -3.001800, -683.182800],[-0.000433,-0.001931,0.000433,0.001931]]
DATA[1760, 0, [0.000857,-0.034350,3.079310],[0.000000,0.000000,0.000000], [0.025920, 0.018616, -0.015743], 10, [-0.019613, -0.058840, -10.002783], [-0.014865, -0.350306, 9.723319], [-54.000000, 91.000000, -55.000000], [-229.109406, 9.005400, -677.055603],[-0.000551,-0.002041,0.000551,0.002041]]
DATA[1820, 0, [0.000579,-0.034227,3.053688],[0.000000,0.000000,0.000000], [0.026814, 0.020019, -0.014289], 10, [0.019613, -0.058840, -9.983170], [-0.019610, -0.348356, 9.727619], [-54.000000, 80.000000, -54.000000], [-234.004898, 3.001800, -689.309998],[-0.000540,-0.002141,0.000540,0.002141]]
DATA[1890, 0, [0.000747,-0.033865,3.050958],[0.000000,0.000000,0.000000], [0.029713, 0.020240, -0.007866], 10, [-0.078453, -0.313813, -9.963556], [-0.017055, -0.336247, 9.724862], [-56.000000, 87.000000, -56.000000], [-233.025803, 2.001200, -683.182800],[-0.000676,-0.002295,0.000676,0.002295]]
