
Thu Jan  1 00:00:01 1970

Flight Log #15
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1450, 0, [-0.014417,-0.013383,-2.396663],[0.000000,0.000000,0.000000], [0.005618, 0.020283, -0.010996], 15, [-0.117680, 0.117680, -9.943943], [-0.230546, -0.056728, 9.738465], [38.000000, 20.000000, 558.000000], [-102.805496, -104.062401, -591.274780],[-0.000103,0.002780,0.000103,-0.002780]]
DATA[1530, 0, [-0.014376,-0.013196,-2.413392],[0.000000,0.000000,0.000000], [0.006061, 0.020826, -0.010991], 15, [0.039227, 0.019613, -0.137293], [-0.242125, -0.041581, 9.685935], [42.000000, 30.000000, 558.000000], [-99.868202, -98.058800, -587.190002],[-0.000118,0.002757,0.000118,-0.002757]]
DATA[1600, 0, [-0.014500,-0.013225,-2.309509],[0.000000,0.000000,0.000000], [0.005560, 0.021380, -0.010890], 15, [0.098067, -0.039227, -9.943943], [-0.257880, -0.035803, 9.729649], [63.000000, 22.000000, 555.000000], [-89.098099, -107.064201, -592.296021],[-0.000127,0.002773,0.000127,-0.002773]]
DATA[1670, 0, [-0.014445,-0.013379,-2.301984],[0.000000,0.000000,0.000000], [0.005865, 0.020787, -0.011520], 15, [0.117680, -0.019613, -0.058840], [-0.244207, -0.058031, 9.742898], [38.000000, 28.000000, 555.000000], [-83.223503, -102.061203, -595.359619],[-0.000107,0.002782,0.000107,-0.002782]]
DATA[1750, 0, [-0.014614,-0.013497,-2.306670],[0.000000,0.000000,0.000000], [0.004007, 0.017454, -0.012410], 15, [0.058840, -0.039227, -0.039227], [-0.244707, -0.051336, 9.679691], [38.000000, 29.000000, 553.000000], [-91.056297, -110.066002, -597.401978],[-0.000112,0.002811,0.000112,-0.002811]]
DATA[1830, 0, [-0.014418,-0.013336,-2.346527],[0.000000,0.000000,0.000000], [0.005615, 0.019377, -0.011070], 15, [0.078453, -0.039227, -9.904716], [-0.245127, -0.058963, 9.739482], [41.000000, 23.000000, 551.000000], [-96.930901, -96.057602, -579.020386],[-0.000108,0.002775,0.000108,-0.002775]]
DATA[1900, 0, [-0.014664,-0.013451,-2.307024],[0.000000,0.000000,0.000000], [0.005390, 0.019207, -0.012124], 15, [0.058840, -0.156906, -0.156906], [-0.253596, -0.038520, 9.795237], [39.000000, 33.000000, 555.000000], [-93.014503, -112.067200, -590.253601],[-0.000121,0.002811,0.000121,-0.002811]]
DATA[1980, 0, [-0.015308,-0.014344,-2.340028],[0.000000,0.000000,0.000000], [0.006076, 0.019457, -0.012501], 15, [0.039227, -0.039227, -10.002783], [-0.245212, -0.074830, 9.676589], [41.000000, 25.000000, 553.000000], [-92.035400, -105.063004, -597.401978],[-0.000102,0.002953,0.000102,-0.002953]]
DATA[2050, 0, [-0.014783,-0.013625,-2.289465],[0.000000,0.000000,0.000000], [0.003370, 0.020565, -0.011540], 15, [0.137293, -0.078453, -0.137293], [-0.239937, -0.033523, 9.742741], [40.000000, 22.000000, 556.000000], [-93.014503, -116.069603, -600.465576],[-0.000116,0.002841,0.000116,-0.002841]]
DATA[2130, 0, [-0.014942,-0.013868,-2.342945],[0.000000,0.000000,0.000000], [0.002377, 0.019415, -0.010885], 15, [0.117680, -0.078453, -0.058840], [-0.230481, -0.050278, 9.671279], [42.000000, 17.000000, 554.000000], [-88.119003, -100.059998, -594.338379],[-0.000107,0.002881,0.000107,-0.002881]]
