
Thu Jan  1 00:00:01 1970

Flight Log #45
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1300, 0, [-0.008092,-0.038341,2.973391],[0.000000,0.000000,0.000000], [0.027079, 0.021106, -0.000061], 9, [-0.039227, -0.117680, -10.042009], [-0.102882, -0.388480, 9.642208], [-68.000000, 94.000000, -39.000000], [-222.255707, -12.007200, -696.458374],[-0.000510,-0.002198,0.000510,0.002198]]
DATA[1360, 0, [-0.007545,-0.038042,2.986561],[0.000000,0.000000,0.000000], [0.027009, 0.020199, 0.002499], 9, [0.000000, -0.254973, -9.983170], [-0.085022, -0.380058, 9.677477], [-69.000000, 82.000000, -42.000000], [-225.192993, -9.005400, -710.755188],[-0.000542,-0.002158,0.000542,0.002158]]
DATA[1430, 0, [-0.007042,-0.037556,2.975366],[0.000000,0.000000,0.000000], [0.025946, 0.019849, 0.003486], 9, [-0.039227, -0.254973, -9.963556], [-0.086509, -0.373680, 9.708703], [-68.000000, 90.000000, -39.000000], [-213.443802, -10.006000, -709.734009],[-0.000624,-0.002201,0.000624,0.002201]]
DATA[1490, 0, [-0.006532,-0.037121,2.988201],[0.000000,0.000000,0.000000], [0.024737, 0.019496, 0.003438], 9, [-0.019613, -0.098067, -9.983170], [-0.079075, -0.373971, 9.720913], [-68.000000, 84.000000, -42.000000], [-223.234802, -9.005400, -706.670410],[-0.000457,-0.002017,0.000457,0.002017]]
DATA[1550, 0, [-0.006082,-0.036932,2.979517],[0.000000,0.000000,0.000000], [0.027284, 0.020143, 0.004111], 9, [0.019613, -0.313813, -10.002783], [-0.077828, -0.377482, 9.728679], [-68.000000, 85.000000, -41.000000], [-223.234802, -11.006600, -709.734009],[-0.000558,-0.002170,0.000558,0.002170]]
DATA[1620, 0, [-0.005815,-0.036814,2.976798],[0.000000,0.000000,0.000000], [0.023877, 0.019739, -0.006216], 9, [-0.058840, -0.313813, -10.042009], [-0.077017, -0.374859, 9.725915], [-68.000000, 90.000000, -40.000000], [-219.318405, -11.006600, -710.755188],[-0.000404,-0.001983,0.000404,0.001983]]
DATA[1680, 0, [-0.005961,-0.036734,2.966656],[0.000000,0.000000,0.000000], [0.026016, 0.020080, -0.009730], 9, [-0.039227, -0.058840, -9.943943], [-0.083147, -0.371775, 9.724815], [-70.000000, 77.000000, -41.000000], [-222.255707, -14.008400, -708.712830],[-0.000498,-0.002104,0.000498,0.002104]]
DATA[1750, 0, [-0.005409,-0.036265,2.975895],[0.000000,0.000000,0.000000], [0.028487, 0.020608, -0.003286], 9, [-0.019613, -0.058840, -10.042009], [-0.070804, -0.370710, 9.730462], [-70.000000, 86.000000, -39.000000], [-213.443802, -11.006600, -698.500793],[-0.000725,-0.002386,0.000725,0.002386]]
DATA[1820, 0, [-0.004683,-0.036083,2.989762],[0.000000,0.000000,0.000000], [0.031860, 0.020624, -0.001343], 9, [-0.019613, -0.058840, -10.022396], [-0.064495, -0.368528, 9.736180], [-68.000000, 85.000000, -40.000000], [-223.234802, -10.006000, -683.182800],[-0.000768,-0.002418,0.000768,0.002418]]
DATA[1880, 0, [-0.004291,-0.036182,2.995118],[0.000000,0.000000,0.000000], [0.027579, 0.020218, -0.006560], 10, [-0.039227, -0.117680, -10.002783], [-0.066720, -0.373273, 9.729516], [-69.000000, 86.000000, -40.000000], [-222.255707, -8.004800, -697.479614],[-0.000570,-0.002188,0.000570,0.002188]]
