
Thu Jan  1 00:00:01 1970

Flight Log #22
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1450, 0, [-0.002125,-0.010969,-2.535235],[0.000000,0.000000,0.000000], [-0.002464, 0.020192, -0.008834], 17, [-0.019613, -0.098067, -0.117680], [-0.016276, -0.112915, 9.681543], [91.000000, 47.000000, 561.000000], [-126.303902, -89.053398, -603.529175],[0.000089,0.000132,-0.000089,-0.000132]]
DATA[1530, 0, [-0.001581,-0.012249,-2.616938],[0.000000,0.000000,0.000000], [-0.000464, 0.017437, -0.007775], 17, [-0.117680, -0.196133, -10.002783], [-0.005681, -0.137031, 9.699737], [85.000000, 56.000000, 560.000000], [-124.345703, -75.044998, -602.507996],[0.000107,0.000138,-0.000107,-0.000138]]
DATA[1600, 0, [-0.000401,-0.016041,-2.600828],[0.000000,0.000000,0.000000], [0.007517, 0.014996, -0.005783], 17, [-0.235360, -0.235360, -10.042009], [0.003466, -0.258513, 9.576793], [88.000000, 48.000000, 561.000000], [-131.199402, -79.047401, -612.719971],[0.000156,0.000164,-0.000156,-0.000164]]
DATA[1670, 0, [-0.000517,-0.016270,-2.597119],[0.000000,0.000000,0.000000], [0.012308, 0.012474, -0.002222], 17, [-0.019613, 0.039227, -10.042009], [-0.064132, -0.138046, 9.681309], [86.000000, 47.000000, 560.000000], [-123.366600, -75.044998, -609.656372],[0.000158,0.000168,-0.000158,-0.000168]]
DATA[1750, 0, [-0.004194,-0.015969,-2.574947],[0.000000,0.000000,0.000000], [0.011616, 0.009030, -0.005188], 17, [-0.039227, -0.019613, -0.058840], [-0.115972, -0.149409, 9.666025], [90.000000, 41.000000, 558.000000], [-121.408401, -78.046799, -621.910828],[0.000118,0.000202,-0.000118,-0.000202]]
DATA[1820, 0, [-0.005702,-0.012287,-2.612300],[0.000000,0.000000,0.000000], [0.001480, 0.004353, -0.009253], 17, [-0.078453, 0.078453, -0.137293], [-0.050589, -0.065496, 9.661253], [91.000000, 45.000000, 559.000000], [-123.366600, -76.045601, -610.677612],[0.000066,0.000180,-0.000066,-0.000180]]
DATA[1890, 0, [-0.002708,-0.009707,-2.623671],[0.000000,0.000000,0.000000], [0.001090, 0.005324, -0.008651], 17, [-0.294199, -0.098067, -0.058840], [0.005718, -0.077483, 9.801538], [94.000000, 48.000000, 562.000000], [-130.220306, -76.045601, -609.656372],[0.000070,0.000124,-0.000070,-0.000124]]
DATA[1970, 0, [-0.003420,-0.013774,-2.665159],[0.000000,0.000000,0.000000], [0.008941, -0.002006, -0.009276], 17, [-0.549172, -0.137293, -10.904995], [-0.068797, -0.187384, 9.617147], [91.000000, 38.000000, 558.000000], [-131.199402, -70.042000, -617.825989],[0.000104,0.000172,-0.000104,-0.000172]]
DATA[2040, 0, [-0.002448,-0.013011,-2.582196],[0.000000,0.000000,0.000000], [0.002739, -0.004868, -0.006600], 17, [-0.294199, -0.254973, -9.963556], [0.024950, -0.098534, 9.693506], [93.000000, 43.000000, 560.000000], [-120.429298, -77.046204, -600.465576],[0.000106,0.000155,-0.000106,-0.000155]]
DATA[2120, 0, [-0.000380,-0.011237,-2.587286],[0.000000,0.000000,0.000000], [-0.002673, -0.002505, -0.001924], 17, [0.019613, -0.117680, -0.019613], [-0.003848, -0.084524, 9.710313], [95.000000, 39.000000, 562.000000], [-120.429298, -77.046204, -614.762390],[0.000109,0.000116,-0.000109,-0.000116]]
