
Thu Jan  1 00:00:01 1970

Flight Log #38
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1310, 0, [-0.011552,-0.025120,3.037550],[0.000000,0.000000,0.000000], [0.020609, 0.020075, -0.024110], 13, [0.039227, -0.058840, -10.022396], [-0.132314, -0.263094, 9.733936], [-95.000000, 65.000000, -41.000000], [-206.590103, -8.004800, -691.352417],[-0.000401,-0.000401,0.000401,0.000401]]
DATA[1360, 0, [-0.012393,-0.027087,2.972777],[0.000000,0.000000,0.000000], [0.022047, 0.019841, -0.023747], 13, [0.019613, -0.215746, -9.924330], [-0.144276, -0.327100, 9.610628], [-97.000000, 71.000000, -23.000000], [-199.736404, -17.010201, -682.161621],[-0.000397,-0.000397,0.000397,0.000397]]
DATA[1430, 0, [-0.013939,-0.030751,3.006941],[0.000000,0.000000,0.000000], [0.023296, 0.018260, -0.023825], 12, [0.000000, -0.235360, -9.963556], [-0.142750, -0.344595, 9.622726], [-97.000000, 72.000000, -38.000000], [-200.715500, -7.004200, -699.521973],[-0.000355,-0.000355,0.000355,0.000355]]
DATA[1490, 0, [-0.011151,-0.032218,2.979302],[0.000000,0.000000,0.000000], [0.022816, 0.019327, -0.023866], 12, [0.117680, -0.176520, -9.943943], [-0.070360, -0.314760, 9.611384], [-96.000000, 66.000000, -35.000000], [-190.924500, -10.006000, -699.521973],[-0.000387,-0.000387,0.000387,0.000387]]
DATA[1550, 0, [-0.008751,-0.030692,2.990244],[0.000000,0.000000,0.000000], [0.021022, 0.020681, -0.024181], 12, [0.058840, -0.019613, -9.983170], [-0.086022, -0.295964, 9.662115], [-97.000000, 64.000000, -39.000000], [-194.840897, -9.005400, -705.649170],[-0.000414,-0.000414,0.000414,0.000414]]
DATA[1620, 0, [-0.008359,-0.029946,3.009692],[0.000000,0.000000,0.000000], [0.022497, 0.018902, -0.023685], 12, [0.000000, -0.254973, -9.963556], [-0.102769, -0.302324, 9.697262], [-96.000000, 74.000000, -36.000000], [-201.694595, -7.004200, -685.225220],[-0.000378,-0.000378,0.000378,0.000378]]
DATA[1690, 0, [-0.008498,-0.029498,3.001006],[0.000000,0.000000,0.000000], [0.024206, 0.018696, -0.022906], 12, [0.000000, -0.215746, -10.022396], [-0.106836, -0.289328, 9.704210], [-93.000000, 71.000000, -39.000000], [-196.799103, -8.004800, -701.564392],[-0.000374,-0.000374,0.000374,0.000374]]
DATA[1750, 0, [-0.008876,-0.028420,3.022545],[0.000000,0.000000,0.000000], [0.023681, 0.018387, -0.023041], 12, [0.019613, -0.176520, -10.042009], [-0.111207, -0.275032, 9.712485], [-96.000000, 64.000000, -37.000000], [-198.757294, -5.003000, -686.246399],[-0.000368,-0.000368,0.000368,0.000368]]
DATA[1820, 0, [-0.009899,-0.026838,3.019208],[0.000000,0.000000,0.000000], [0.023975, 0.018320, -0.024340], 13, [-0.019613, -0.215746, -9.963556], [-0.129850, -0.262316, 9.721506], [-96.000000, 67.000000, -35.000000], [-200.715500, -7.004200, -690.331177],[-0.000367,-0.000367,0.000367,0.000367]]
DATA[1890, 0, [-0.010285,-0.025464,3.010957],[0.000000,0.000000,0.000000], [0.022303, 0.019367, -0.024320], 13, [0.019613, -0.078453, -9.963556], [-0.123720, -0.252513, 9.725354], [-94.000000, 75.000000, -42.000000], [-194.840897, -9.005400, -688.288818],[-0.000387,-0.000387,0.000387,0.000387]]
DATA[1950, 0, [-0.010355,-0.025654,3.014139],[0.000000,0.000000,0.000000], [0.021437, 0.019498, -0.023322], 13, [0.019613, -0.254973, -9.943943], [-0.120824, -0.277098, 9.720328], [-95.000000, 71.000000, -38.000000], [-200.715500, -9.005400, -687.267578],[-0.000390,-0.000390,0.000390,0.000390]]
DATA[2020, 0, [-0.010737,-0.025916,2.997631],[0.000000,0.000000,0.000000], [0.019599, 0.021839, -0.022353], 13, [0.058840, -0.313813, -9.963556], [-0.135174, -0.275274, 9.718527], [-96.000000, 62.000000, -38.000000], [-197.778198, -12.007200, -684.203979],[-0.000440,-0.000440,0.000440,0.000440]]
DATA[2080, 0, [-0.011592,-0.026295,3.013524],[0.000000,0.000000,0.000000], [0.019729, 0.019682, -0.022690], 13, [-0.058840, -0.254973, -0.058840], [-0.136422, -0.280945, 9.718761], [-98.000000, 65.000000, -37.000000], [-202.673706, -9.005400, -689.309998],[-0.000394,-0.000394,0.000394,0.000394]]
DATA[2140, 0, [-0.011868,-0.026649,3.012896],[0.000000,0.000000,0.000000], [0.022524, 0.019553, -0.022931], 13, [-0.019613, -0.254973, -10.002783], [-0.137804, -0.278947, 9.719751], [-94.000000, 74.000000, -37.000000], [-197.778198, -8.004800, -700.543213],[-0.000391,-0.000391,0.000391,0.000391]]
DATA[2210, 0, [-0.011475,-0.026698,3.019032],[0.000000,0.000000,0.000000], [0.023990, 0.019697, -0.023071], 13, [-0.019613, -0.078453, -9.943943], [-0.113958, -0.254515, 9.727659], [-92.000000, 68.000000, -43.000000], [-198.757294, -7.004200, -691.352417],[-0.000394,-0.000394,0.000394,0.000394]]
DATA[2270, 0, [-0.010122,-0.024798,2.984838],[0.000000,0.000000,0.000000], [0.025426, 0.019130, -0.023867], 13, [0.000000, -0.215746, -9.983170], [-0.099728, -0.218802, 9.732167], [-93.000000, 63.000000, -40.000000], [-201.694595, -16.009600, -684.203979],[-0.000383,-0.000383,0.000383,0.000383]]
DATA[2330, 0, [-0.008953,-0.022447,3.040587],[0.000000,0.000000,0.000000], [0.022335, 0.019822, -0.022794], 13, [0.058840, -0.039227, -10.022396], [-0.097004, -0.218536, 9.725465], [-93.000000, 71.000000, -40.000000], [-204.631897, -6.003600, -684.203979],[-0.000396,-0.000396,0.000396,0.000396]]
DATA[2400, 0, [-0.008919,-0.022067,2.990196],[0.000000,0.000000,0.000000], [0.020534, 0.018515, -0.021739], 13, [0.019613, -0.274586, -9.943943], [-0.111891, -0.247817, 9.731853], [-92.000000, 74.000000, -38.000000], [-197.778198, -16.009600, -684.203979],[-0.000379,-0.000379,0.000379,0.000379]]
DATA[2470, 0, [-0.009557,-0.024215,3.022594],[0.000000,0.000000,0.000000], [0.022615, 0.019394, -0.022977], 13, [-0.019613, -0.274586, -10.002783], [-0.123570, -0.283693, 9.727395], [-93.000000, 70.000000, -41.000000], [-197.778198, -8.004800, -678.076782],[-0.000388,-0.000388,0.000388,0.000388]]
DATA[2530, 0, [-0.010131,-0.025798,3.022530],[0.000000,0.000000,0.000000], [0.024312, 0.020225, -0.023918], 13, [0.039227, -0.215746, -0.039227], [-0.123356, -0.280609, 9.728930], [-93.000000, 66.000000, -40.000000], [-192.882706, -6.003600, -694.416016],[-0.000405,-0.000405,0.000405,0.000405]]
DATA[2600, 0, [-0.010045,-0.026339,3.022690],[0.000000,0.000000,0.000000], [0.023648, 0.018022, -0.024150], 13, [0.039227, -0.196133, -10.002783], [-0.112109, -0.274993, 9.728077], [-93.000000, 70.000000, -39.000000], [-204.631897, -3.001800, -690.331177],[-0.000355,-0.000355,0.000355,0.000355]]
DATA[2660, 0, [-0.009991,-0.026455,3.049693],[0.000000,0.000000,0.000000], [0.022997, 0.017635, -0.024348], 12, [-0.058840, -0.254973, -10.022396], [-0.119048, -0.280983, 9.730088], [-94.000000, 67.000000, -41.000000], [-202.673706, -1.000600, -692.373596],[-0.000353,-0.000353,0.000353,0.000353]]
