
Thu Jan  1 00:00:01 1970

Flight Log #31
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[870, 0, [0.019704,-0.018759,2.485850],[0.000000,0.000000,0.000000], [0.021415, 0.003851, -0.024444], 13, [-0.215746, -0.176520, -0.039227], [0.184210, -0.181087, 9.713264], [110.000000, 47.000000, 561.000000], [-150.781403, -96.057602, -603.529175],[0.000000,0.000000,0.000000,0.000000]]
DATA[900, 0, [0.019632,-0.018704,2.499822],[0.000000,0.000000,0.000000], [0.020223, 0.010115, -0.023239], 13, [-0.098067, -0.196133, -9.943943], [0.156700, -0.193222, 9.707237], [105.000000, 51.000000, 561.000000], [-152.739594, -94.056396, -602.507996],[0.000000,0.000000,0.000000,0.000000]]
DATA[950, 0, [0.019547,-0.018374,2.461108],[0.000000,0.000000,0.000000], [0.021124, 0.011874, -0.021199], 13, [-0.294199, -0.098067, -10.022396], [0.179205, -0.166101, 9.711939], [105.000000, 49.000000, 557.000000], [-152.739594, -99.059402, -591.274780],[0.000000,0.000000,0.000000,0.000000]]
DATA[980, 0, [0.019805,-0.017803,2.521085],[0.000000,0.000000,0.000000], [0.020367, 0.016148, -0.020485], 13, [-0.254973, -0.196133, -10.022396], [0.183402, -0.176102, 9.726394], [104.000000, 51.000000, 564.000000], [-155.676895, -92.055199, -601.486816],[0.000000,0.000000,0.000000,0.000000]]
DATA[1030, 0, [0.020015,-0.017492,2.480142],[0.000000,0.000000,0.000000], [0.022658, 0.015828, -0.021140], 13, [-0.313813, -0.156906, -9.983170], [0.186299, -0.175050, 9.687608], [109.000000, 43.000000, 560.000000], [-157.635101, -101.060600, -596.380798],[0.000000,0.000000,0.000000,0.000000]]
DATA[1060, 0, [0.020085,-0.017134,2.457474],[0.000000,0.000000,0.000000], [0.021840, 0.016957, -0.021952], 13, [-0.196133, -0.137293, -0.039227], [0.167827, -0.167589, 9.704557], [107.000000, 53.000000, 563.000000], [-149.802307, -102.061203, -600.465576],[0.000000,0.000000,0.000000,0.000000]]
DATA[1110, 0, [0.019682,-0.016723,2.488138],[0.000000,0.000000,0.000000], [0.019943, 0.018646, -0.022114], 13, [-0.235360, -0.215746, -10.002783], [0.157256, -0.167160, 9.730740], [108.000000, 50.000000, 560.000000], [-153.718704, -98.058800, -597.401978],[0.000000,0.000000,0.000000,0.000000]]
DATA[1140, 0, [0.019496,-0.016661,2.487186],[0.000000,0.000000,0.000000], [0.020208, 0.010812, -0.023299], 13, [-0.254973, -0.176520, -10.022396], [0.177663, -0.178070, 9.723924], [104.000000, 51.000000, 567.000000], [-153.718704, -99.059402, -597.401978],[0.000000,0.000000,0.000000,0.000000]]
DATA[1180, 0, [0.018857,-0.016669,2.425661],[0.000000,0.000000,0.000000], [0.020243, 0.012012, -0.022306], 13, [-0.196133, -0.215746, -10.002783], [0.132492, -0.169097, 9.715884], [107.000000, 55.000000, 560.000000], [-152.739594, -113.067802, -599.444397],[0.000000,0.000000,0.000000,0.000000]]
DATA[1220, 0, [0.018417,-0.016435,2.495982],[0.000000,0.000000,0.000000], [0.019831, 0.013654, -0.022387], 13, [-0.274586, -0.176520, -10.002783], [0.160262, -0.162968, 9.732305], [105.000000, 55.000000, 567.000000], [-155.676895, -99.059402, -601.486816],[0.000000,0.000000,0.000000,0.000000]]
DATA[1260, 0, [0.018330,-0.016177,2.480781],[0.000000,0.000000,0.000000], [0.018998, 0.016326, -0.022623], 13, [-0.156906, -0.215746, -9.924330], [0.158673, -0.164758, 9.747296], [107.000000, 49.000000, 559.000000], [-150.781403, -99.059402, -597.401978],[0.000000,0.000000,0.000000,0.000000]]
DATA[1300, 0, [0.018259,-0.016143,2.480435],[0.000000,0.000000,0.000000], [0.019819, 0.015301, -0.023651], 13, [-0.274586, -0.078453, -10.042009], [0.159111, -0.173450, 9.748470], [108.000000, 52.000000, 556.000000], [-155.676895, -103.061798, -595.359619],[0.000000,0.000000,0.000000,0.000000]]
DATA[1340, 0, [0.018204,-0.016115,2.500221],[0.000000,0.000000,0.000000], [0.018727, 0.016494, -0.023037], 13, [-0.156906, -0.039227, -0.058840], [0.159410, -0.168929, 9.744740], [108.000000, 50.000000, 559.000000], [-156.656006, -99.059402, -603.529175],[0.000000,0.000000,0.000000,0.000000]]
DATA[1390, 0, [0.018246,-0.016137,2.474777],[0.000000,0.000000,0.000000], [0.018200, 0.018413, -0.021027], 13, [-0.196133, -0.098067, -10.002783], [0.159544, -0.179472, 9.739942], [104.000000, 51.000000, 562.000000], [-148.823196, -99.059402, -593.317200],[0.000000,0.000000,0.000000,0.000000]]
