
Thu Jan  1 00:00:01 1970

Flight Log #27
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1460, 0, [0.000546,-0.009279,-2.363653],[0.000000,0.000000,0.000000], [0.015930, 0.017263, -0.019015], 14, [-0.117680, -0.137293, -10.002783], [-0.006038, -0.104359, 9.768229], [84.000000, -2.000000, 566.000000], [-125.324799, -123.073799, -592.296021],[0.000049,0.000044,-0.000049,-0.000044]]
DATA[1540, 0, [0.000734,-0.009504,-2.359280],[0.000000,0.000000,0.000000], [0.015367, 0.018420, -0.019723], 14, [-0.137293, -0.098067, -10.002783], [-0.000929, -0.114384, 9.755170], [83.000000, -10.000000, 564.000000], [-126.303902, -117.070198, -608.635193],[0.000051,0.000044,-0.000051,-0.000044]]
DATA[1610, 0, [0.001180,-0.009832,-2.394279],[0.000000,0.000000,0.000000], [0.015666, 0.017773, -0.021672], 14, [-0.098067, -0.058840, -9.983170], [0.003435, -0.116382, 9.742290], [86.000000, -9.000000, 566.000000], [-127.282997, -117.070198, -614.762390],[0.000055,0.000043,-0.000055,-0.000043]]
DATA[1680, 0, [0.001625,-0.010125,-2.397648],[0.000000,0.000000,0.000000], [0.015053, 0.018418, -0.020172], 14, [-0.098067, -0.117680, -10.022396], [0.010183, -0.116643, 9.741358], [86.000000, -2.000000, 567.000000], [-126.303902, -115.069000, -604.550415],[0.000059,0.000042,-0.000059,-0.000042]]
DATA[1750, 0, [0.002140,-0.010499,-2.409246],[0.000000,0.000000,0.000000], [0.014929, 0.018587, -0.019854], 14, [-0.176520, -0.196133, -10.022396], [0.012631, -0.122495, 9.732731], [85.000000, -2.000000, 567.000000], [-134.136703, -119.071404, -596.380798],[0.000063,0.000042,-0.000063,-0.000042]]
DATA[1830, 0, [0.002201,-0.010694,-2.393900],[0.000000,0.000000,0.000000], [0.015137, 0.018951, -0.019960], 14, [-0.078453, -0.078453, -10.042009], [0.008408, -0.123407, 9.728569], [83.000000, -9.000000, 565.000000], [-131.199402, -120.071999, -598.423218],[0.000064,0.000042,-0.000064,-0.000042]]
DATA[1910, 0, [0.002255,-0.010883,-2.414555],[0.000000,0.000000,0.000000], [0.016508, 0.017735, -0.020208], 14, [-0.098067, -0.039227, -10.022396], [0.009517, -0.125356, 9.724117], [88.000000, -8.000000, 565.000000], [-131.199402, -115.069000, -611.698792],[0.000065,0.000043,-0.000065,-0.000043]]
DATA[1980, 0, [0.002542,-0.010871,-2.448895],[0.000000,0.000000,0.000000], [0.015884, 0.016925, -0.019691], 14, [-0.156906, -0.078453, -10.042009], [0.017117, -0.121162, 9.732317], [88.000000, -2.000000, 566.000000], [-131.199402, -107.064201, -604.550415],[0.000067,0.000042,-0.000067,-0.000042]]
DATA[2060, 0, [0.002706,-0.010689,-2.371825],[0.000000,0.000000,0.000000], [0.015613, 0.017374, -0.019677], 14, [-0.156906, -0.156906, -9.963556], [0.013043, -0.115203, 9.737514], [83.000000, -4.000000, 567.000000], [-133.157593, -127.076202, -602.507996],[0.000067,0.000040,-0.000067,-0.000040]]
DATA[2140, 0, [0.002459,-0.010812,-2.384912],[0.000000,0.000000,0.000000], [0.013356, 0.017812, -0.018958], 14, [-0.137293, -0.137293, -10.022396], [0.011730, -0.124596, 9.735770], [82.000000, -10.000000, 565.000000], [-131.199402, -122.073196, -606.592773],[0.000066,0.000042,-0.000066,-0.000042]]
