
Thu Jan  1 00:00:01 1970

Flight Log #47
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1310, 0, [0.001007,-0.044476,2.988289],[0.000000,0.000000,0.000000], [0.026851, 0.019264, -0.024461], 11, [-0.058840, -0.137293, -9.983170], [-0.018387, -0.451972, 9.730412], [-55.000000, 77.000000, -64.000000], [-225.192993, -5.003000, -667.864807],[-0.000496,-0.001652,0.000496,0.001652]]
DATA[1370, 0, [0.000621,-0.044572,2.987928],[0.000000,0.000000,0.000000], [0.026036, 0.018131, -0.026110], 11, [-0.039227, -0.156906, -9.924330], [-0.016993, -0.449866, 9.721128], [-54.000000, 77.000000, -63.000000], [-230.088501, -6.003600, -663.780029],[-0.000498,-0.001585,0.000498,0.001585]]
DATA[1430, 0, [0.000024,-0.044202,2.954383],[0.000000,0.000000,0.000000], [0.025031, 0.016195, -0.022375], 11, [-0.176520, -0.568786, -0.137293], [-0.028405, -0.437753, 9.717512], [-56.000000, 79.000000, -60.000000], [-221.276596, -12.007200, -677.055603],[-0.000515,-0.001487,0.000515,0.001487]]
DATA[1500, 0, [-0.000591,-0.044103,3.019311],[0.000000,0.000000,0.000000], [0.024304, 0.017300, -0.024248], 11, [-0.039227, -0.117680, -9.963556], [-0.028872, -0.445375, 9.721575], [-53.000000, 82.000000, -61.000000], [-230.088501, -6.003600, -670.928406],[-0.000453,-0.001491,0.000453,0.001491]]
DATA[1560, 0, [-0.000854,-0.044169,3.004767],[0.000000,0.000000,0.000000], [0.024823, 0.018393, -0.024986], 11, [-0.019613, -0.137293, -0.019613], [-0.033537, -0.445681, 9.716956], [-56.000000, 79.000000, -63.000000], [-230.088501, -2.001200, -673.992004],[-0.000444,-0.001532,0.000444,0.001532]]
DATA[1620, 0, [-0.000661,-0.044179,2.995512],[0.000000,0.000000,0.000000], [0.025694, 0.019602, -0.019083], 11, [-0.078453, -0.078453, -9.963556], [-0.027609, -0.446672, 9.724448], [-53.000000, 77.000000, -61.000000], [-228.130295, -4.002400, -670.928406],[-0.000440,-0.001616,0.000440,0.001616]]
DATA[1690, 0, [-0.000409,-0.043989,2.980146],[0.000000,0.000000,0.000000], [0.025657, 0.018284, -0.020910], 11, [-0.058840, -0.039227, -10.022396], [-0.022967, -0.444023, 9.728328], [-54.000000, 81.000000, -62.000000], [-227.151199, -7.004200, -683.182800],[-0.000478,-0.001575,0.000478,0.001575]]
DATA[1730, 0, [-0.000305,-0.044045,2.986648],[0.000000,0.000000,0.000000], [0.024941, 0.017718, -0.021878], 12, [-0.078453, -0.098067, -9.983170], [-0.018645, -0.447033, 9.726304], [-56.000000, 80.000000, -63.000000], [-220.297501, -4.002400, -659.695190],[-0.000459,-0.001530,0.000459,0.001530]]
DATA[1790, 0, [0.000294,-0.044159,2.978372],[0.000000,0.000000,0.000000], [0.025933, 0.018514, -0.020976], 12, [-0.058840, -0.098067, -9.963556], [-0.009719, -0.446994, 9.725365], [-52.000000, 86.000000, -65.000000], [-231.067596, -8.004800, -680.119202],[-0.000476,-0.001591,0.000476,0.001591]]
DATA[1860, 0, [0.000722,-0.044084,2.988966],[0.000000,0.000000,0.000000], [0.026495, 0.019111, -0.024084], 12, [-0.098067, -0.098067, -10.042009], [-0.010345, -0.444036, 9.719681], [-54.000000, 77.000000, -62.000000], [-225.192993, -5.003000, -670.928406],[-0.000469,-0.001615,0.000469,0.001615]]
DATA[1930, 0, [0.000837,-0.044242,3.010985],[0.000000,0.000000,0.000000], [0.027367, 0.019786, -0.025279], 12, [-0.098067, -0.490333, -10.042009], [-0.013736, -0.451688, 9.717729], [-55.000000, 76.000000, -64.000000], [-227.151199, 0.000000, -672.970825],[-0.000475,-0.001662,0.000475,0.001662]]
DATA[1950, 0, [0.000948,-0.044411,2.981987],[0.000000,0.000000,0.000000], [0.026710, 0.019442, -0.025790], 12, [-0.156906, -0.490333, -9.983170], [-0.011125, -0.453661, 9.718421], [-50.000000, 84.000000, -72.000000], [-225.192993, -6.003600, -679.098022],[-0.000459,-0.001625,0.000459,0.001625]]
DATA[2010, 0, [0.001005,-0.044586,3.008082],[0.000000,0.000000,0.000000], [0.027368, 0.018904, -0.026089], 11, [-0.156906, -0.156906, -9.983170], [-0.013897, -0.452397, 9.719997], [-53.000000, 81.000000, -62.000000], [-230.088501, -1.000600, -668.885986],[-0.000483,-0.001617,0.000483,0.001617]]
DATA[2070, 0, [0.001017,-0.044454,3.011446],[0.000000,0.000000,0.000000], [0.025653, 0.018575, -0.025108], 11, [-0.078453, -0.117680, -10.002783], [-0.012550, -0.446901, 9.724647], [-52.000000, 78.000000, -64.000000], [-228.130295, 0.000000, -669.907227],[-0.000424,-0.001539,0.000424,0.001539]]
DATA[2140, 0, [0.001087,-0.044289,2.992971],[0.000000,0.000000,0.000000], [0.027389, 0.018879, -0.026420], 11, [-0.078453, -0.098067, -9.983170], [-0.012509, -0.446825, 9.713062], [-52.000000, 80.000000, -64.000000], [-221.276596, -3.001800, -678.076782],[-0.000476,-0.001609,0.000476,0.001609]]
DATA[2210, 0, [0.000952,-0.044520,3.003233],[0.000000,0.000000,0.000000], [0.026902, 0.019184, -0.022902], 11, [-0.078453, -0.490333, -9.963556], [-0.013450, -0.453635, 9.724751], [-55.000000, 80.000000, -62.000000], [-224.213898, -1.000600, -677.055603],[-0.000447,-0.001598,0.000447,0.001598]]
