
Thu Jan  1 00:03:36 1970

Flight Log #50
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1320, 0, [0.002944,-0.037235,3.051661],[0.000000,0.000000,0.000000], [0.018968, 0.014868, -0.019920], 13, [0.039227, -0.117680, -0.058840], [0.006042, -0.372388, 9.710552], [-53.000000, 82.000000, -58.000000], [-232.046707, 4.002400, -664.801208],[0.000281,-0.000016,-0.000281,0.000016]]
DATA[1390, 0, [0.002832,-0.036663,3.063479],[0.000000,0.000000,0.000000], [0.015268, 0.014006, -0.018380], 13, [-0.235360, -0.078453, -9.924330], [0.018215, -0.358153, 9.700595], [-51.000000, 83.000000, -60.000000], [-227.151199, 7.004200, -671.949585],[0.000247,-0.000033,-0.000247,0.000033]]
DATA[1460, 0, [0.003015,-0.037706,3.067792],[0.000000,0.000000,0.000000], [0.020013, 0.015804, -0.021060], 13, [-0.235360, -0.529559, -0.019613], [0.018708, -0.398288, 9.698786], [-52.000000, 85.000000, -60.000000], [-229.109406, 8.004800, -657.652771],[0.000292,-0.000024,-0.000292,0.000024]]
DATA[1530, 0, [0.005155,-0.037080,3.055062],[0.000000,0.000000,0.000000], [0.015021, 0.009697, -0.018948], 13, [-0.078453, -0.137293, -9.963556], [0.067110, -0.369013, 9.734263], [-54.000000, 77.000000, -62.000000], [-228.130295, 5.003000, -660.716370],[0.000202,0.000008,-0.000202,-0.000008]]
DATA[1600, 0, [0.006265,-0.036539,3.058903],[0.000000,0.000000,0.000000], [0.013480, 0.008518, -0.020515], 14, [-0.294199, -0.509946, -0.078453], [0.059875, -0.357890, 9.726185], [-53.000000, 81.000000, -62.000000], [-226.172104, 6.003600, -667.864807],[0.000180,0.000006,-0.000180,-0.000006]]
DATA[1670, 0, [0.005728,-0.035607,3.078109],[0.000000,0.000000,0.000000], [0.014872, 0.009380, -0.021664], 14, [-0.196133, -0.078453, -9.963556], [0.035841, -0.346205, 9.732949], [-53.000000, 76.000000, -60.000000], [-231.067596, 9.005400, -658.674011],[0.000198,0.000010,-0.000198,-0.000010]]
DATA[1740, 0, [0.005800,-0.035339,3.074228],[0.000000,0.000000,0.000000], [0.017497, 0.012511, -0.020261], 14, [-0.196133, -0.137293, -9.904716], [0.043737, -0.355358, 9.727517], [-49.000000, 77.000000, -62.000000], [-229.109406, 8.004800, -656.631592],[0.000254,-0.000009,-0.000254,0.000009]]
DATA[1780, 0, [0.006349,-0.035336,3.080919],[0.000000,0.000000,0.000000], [0.013010, 0.013819, -0.018975], 14, [-0.235360, -0.039227, -9.983170], [0.071472, -0.355496, 9.718985], [-49.000000, 81.000000, -60.000000], [-223.234802, 10.006000, -659.695190],[0.250229,0.249953,0.249771,0.250047]]
DATA[1840, 0, [0.006914,-0.036183,3.045010],[0.000000,0.000000,0.000000], [0.011326, 0.009828, -0.018920], 14, [-0.117680, -0.058840, -9.904716], [0.053510, -0.377703, 9.736238], [-54.000000, 85.000000, -63.000000], [-222.255707, 3.001800, -665.822388],[0.250178,0.249981,0.249822,0.250019]]
DATA[1910, 0, [0.007418,-0.036594,3.057023],[0.000000,0.000000,0.000000], [0.014316, 0.010983, -0.021666], 14, [-0.254973, -0.215746, -0.019613], [0.080266, -0.359711, 9.740665], [-53.000000, 77.000000, -60.000000], [-224.213898, 6.003600, -671.949585],[0.250210,0.249990,0.249790,0.250010]]
