
Thu Jan  1 00:00:01 1970

Flight Log #17
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1490, 0, [-0.012215,-0.011663,-2.499510],[0.000000,0.000000,0.000000], [0.006162, 0.020777, -0.013153], 15, [0.019613, -0.019613, -10.022396], [-0.172788, -0.088505, 9.711333], [53.000000, 44.000000, 553.000000], [-101.826401, -84.050400, -599.444397],[-0.001166,-0.001166,0.001166,0.001166]]
DATA[1570, 0, [-0.012991,-0.012400,-2.556362],[0.000000,0.000000,0.000000], [0.005371, 0.017725, -0.015237], 15, [-0.019613, -0.078453, -10.002783], [-0.194932, -0.096235, 9.726608], [55.000000, 41.000000, 551.000000], [-103.784599, -77.046204, -596.380798],[-0.001240,-0.001240,0.001240,0.001240]]
DATA[1640, 0, [-0.011909,-0.011618,-2.402842],[0.000000,0.000000,0.000000], [0.007656, 0.020183, -0.014336], 15, [0.078453, -0.098067, -9.983170], [-0.124503, -0.086941, 9.746841], [53.000000, 44.000000, 550.000000], [-97.910004, -97.058197, -588.211182],[-0.001189,-0.001189,0.001189,0.001189]]
DATA[1720, 0, [-0.012213,-0.011824,-2.536910],[0.000000,0.000000,0.000000], [0.006483, 0.020142, -0.014958], 15, [0.137293, -0.058840, -0.039227], [-0.166643, -0.102082, 9.799897], [53.000000, 78.000000, 553.000000], [-105.742798, -81.048599, -600.465576],[-0.001175,-0.001175,0.001175,0.001175]]
DATA[1790, 0, [-0.012356,-0.011866,-2.526204],[0.000000,0.000000,0.000000], [0.004409, 0.020254, -0.015000], 15, [0.039227, -0.058840, -10.042009], [-0.162406, -0.087409, 9.730132], [-69.000000, 45.000000, 551.000000], [-101.826401, -80.047997, -605.571594],[-0.001187,-0.001187,0.001187,0.001187]]
DATA[1870, 0, [-0.012711,-0.012177,-2.438495],[0.000000,0.000000,0.000000], [0.007863, 0.020735, -0.014142], 15, [0.078453, -0.039227, -0.039227], [-0.175844, -0.088987, 9.786645], [56.000000, 43.000000, 588.000000], [-93.993599, -88.052803, -606.592773],[-0.001218,-0.001218,0.001218,0.001218]]
DATA[1950, 0, [-0.012759,-0.012273,-2.416757],[0.000000,0.000000,0.000000], [0.006307, 0.018656, -0.013377], 15, [0.058840, -0.156906, -0.078453], [-0.174378, -0.094579, 9.730442], [51.000000, 43.000000, 550.000000], [-91.056297, -89.053398, -602.507996],[-0.001227,-0.001227,0.001227,0.001227]]
DATA[2020, 0, [-0.012799,-0.012381,-2.522694],[0.000000,0.000000,0.000000], [0.004647, 0.019759, -0.012827], 15, [0.058840, -0.058840, -10.022396], [-0.164238, -0.102762, 9.718534], [54.000000, 44.000000, 551.000000], [-97.910004, -78.046799, -600.465576],[-0.001239,-0.001239,0.001239,0.001239]]
DATA[2100, 0, [-0.012482,-0.012021,-2.532169],[0.000000,0.000000,0.000000], [0.007423, 0.019372, -0.011745], 15, [0.000000, -0.058840, -9.963556], [-0.165421, -0.091015, 9.736707], [53.000000, 43.000000, 553.000000], [-98.889099, -77.046204, -596.380798],[-0.001206,-0.001206,0.001206,0.001206]]
DATA[2170, 0, [-0.012129,-0.011742,-2.540299],[0.000000,0.000000,0.000000], [0.006397, 0.019461, -0.011778], 15, [0.058840, -0.058840, -10.002783], [-0.152741, -0.093117, 9.737073], [53.000000, 46.000000, 553.000000], [-97.910004, -75.044998, -602.507996],[-0.001174,-0.001174,0.001174,0.001174]]
