
Thu Jan  1 00:06:23 1970

Flight Log #8
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1430, 0, [-0.002350,-0.042518,-2.587133],[0.000000,0.000000,0.000000], [-0.012802, 0.018738, 0.000319], 19, [-0.058840, -0.019613, -9.983170], [-0.407420, -0.037788, 9.719062], [14.000000, 55.000000, 564.000000], [-58.745998, -62.037201, -600.465576],[0.004017,0.004487,-0.004017,-0.004487]]
DATA[1510, 0, [-0.002630,-0.042861,-2.567855],[0.000000,0.000000,0.000000], [-0.010371, 0.018575, -0.001218], 19, [-0.098067, 0.000000, -9.983170], [-0.409853, -0.044270, 9.712884], [12.000000, 51.000000, 562.000000], [-52.871399, -60.035999, -600.465576],[0.004023,0.004544,-0.004023,-0.004544]]
DATA[1590, 0, [-0.002992,-0.043107,-2.566997],[0.000000,0.000000,0.000000], [-0.009644, 0.019670, -0.000881], 19, [-0.039227, -0.058840, -0.137293], [-0.420995, -0.052457, 9.700921], [11.000000, 107.000000, 557.000000], [-55.808701, -62.037201, -597.401978],[0.004011,0.004610,-0.004011,-0.004610]]
DATA[1670, 0, [-0.002767,-0.040984,-2.694556],[0.000000,0.000000,0.000000], [-0.009726, 0.019695, -0.001117], 19, [0.313813, -0.039227, -0.039227], [-0.355456, -0.044835, 9.772194], [4.000000, 51.000000, 562.000000], [-60.704201, -54.032398, -605.571594],[0.003822,0.004375,-0.003822,-0.004375]]
DATA[1750, 0, [-0.003053,-0.040352,-2.585710],[0.000000,0.000000,0.000000], [-0.009911, 0.019014, -0.001160], 19, [-0.156906, -0.039227, -0.058840], [-0.410162, -0.045944, 9.717890], [12.000000, 57.000000, 564.000000], [-50.913200, -61.036598, -614.762390],[0.003730,0.004341,-0.003730,-0.004341]]
DATA[1820, 0, [-0.003288,-0.041677,-2.569867],[0.000000,0.000000,0.000000], [-0.010076, 0.019545, -0.000303], 19, [-0.137293, -0.039227, -0.078453], [-0.393831, -0.048466, 9.720098], [10.000000, 47.000000, 568.000000], [-60.704201, -64.038399, -595.359619],[0.003841,0.004500,-0.003841,-0.004500]]
DATA[1900, 0, [-0.003019,-0.042893,-2.549177],[0.000000,0.000000,0.000000], [-0.010455, 0.018700, 0.000590], 19, [0.098067, -0.019613, -0.019613], [-0.450750, -0.046092, 9.631751], [8.000000, 46.000000, 559.000000], [-50.913200, -60.035999, -597.401978],[0.003987,0.004591,-0.003987,-0.004591]]
DATA[1960, 0, [-0.003257,-0.043027,-2.795161],[0.000000,0.000000,0.000000], [-0.010899, 0.018643, 0.000334], 19, [-0.156906, -0.196133, -0.137293], [-0.372592, -0.047894, 9.716557], [-37.000000, 56.000000, 563.000000], [-54.829601, -46.027599, -607.614014],[0.003977,0.004628,-0.003977,-0.004628]]
DATA[2030, 0, [-0.002922,-0.042060,-2.586625],[0.000000,0.000000,0.000000], [-0.011780, 0.018022, 0.000138], 19, [0.078453, -0.196133, -0.058840], [-0.401319, -0.044775, 9.673911], [13.000000, -208.000000, 565.000000], [-58.745998, -62.037201, -605.571594],[0.003914,0.004498,-0.003914,-0.004498]]
DATA[2100, 0, [-0.002728,-0.037430,-2.385506],[0.000000,0.000000,0.000000], [-0.013376, 0.017958, -0.000871], 19, [0.039227, -0.019613, -0.078453], [-0.237366, -0.027167, 9.900951], [16.000000, 52.000000, 559.000000], [-51.892300, -72.043198, -612.719971],[0.003470,0.004016,-0.003470,-0.004016]]
