
Thu Jan  1 00:00:20 1970

Flight Log #29
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[790, 0, [0.005341,-0.011980,-2.740939],[0.000000,0.000000,0.000000], [0.013975, 0.018439, -0.017990], 14, [-0.196133, -0.117680, -9.943943], [0.043221, -0.129060, 9.718122], [95.000000, 70.000000, 567.000000], [-146.865005, -53.031799, -606.592773],[0.000000,0.000000,0.000000,0.000000]]
DATA[820, 0, [0.005409,-0.011891,-2.740812],[0.000000,0.000000,0.000000], [0.013638, 0.018380, -0.016946], 14, [-0.098067, -0.098067, -10.022396], [0.041217, -0.129520, 9.717999], [100.000000, 62.000000, 563.000000], [-147.844101, -59.035400, -605.571594],[0.000000,0.000000,0.000000,0.000000]]
DATA[860, 0, [0.005547,-0.011932,-2.753004],[0.000000,0.000000,0.000000], [0.014531, 0.017875, -0.017537], 14, [-0.117680, -0.156906, -9.963556], [0.047672, -0.134443, 9.723927], [95.000000, 69.000000, 564.000000], [-140.990402, -54.032398, -608.635193],[0.000000,0.000000,0.000000,0.000000]]
DATA[900, 0, [0.005700,-0.012137,-2.708988],[0.000000,0.000000,0.000000], [0.012947, 0.018641, -0.018239], 14, [-0.137293, -0.058840, -9.983170], [0.047513, -0.142287, 9.724953], [101.000000, 73.000000, 564.000000], [-136.094894, -59.035400, -606.592773],[0.000000,0.000000,0.000000,0.000000]]
DATA[950, 0, [0.005737,-0.012244,-2.710711],[0.000000,0.000000,0.000000], [0.011546, 0.018542, -0.018324], 14, [-0.215746, -0.098067, -10.002783], [0.046443, -0.131528, 9.733468], [99.000000, 65.000000, 564.000000], [-147.844101, -62.037201, -596.380798],[0.000000,0.000000,0.000000,0.000000]]
DATA[990, 0, [0.005734,-0.012109,-2.753816],[0.000000,0.000000,0.000000], [0.011449, 0.017941, -0.017832], 14, [-0.196133, -0.117680, -9.963556], [0.044390, -0.129202, 9.732558], [97.000000, 66.000000, 567.000000], [-144.906799, -56.033600, -595.359619],[0.000000,0.000000,0.000000,0.000000]]
DATA[1020, 0, [0.005717,-0.011977,-2.729045],[0.000000,0.000000,0.000000], [0.011267, 0.018871, -0.019249], 14, [-0.196133, -0.058840, -9.943943], [0.046276, -0.129627, 9.724105], [100.000000, 71.000000, 565.000000], [-139.032196, -57.034199, -607.614014],[0.000000,0.000000,0.000000,0.000000]]
DATA[1060, 0, [0.005833,-0.011895,-2.736669],[0.000000,0.000000,0.000000], [0.011501, 0.018522, -0.018260], 14, [-0.117680, -0.117680, -10.022396], [0.051888, -0.130034, 9.719031], [97.000000, 65.000000, 564.000000], [-141.969498, -57.034199, -594.338379],[0.000000,0.000000,0.000000,0.000000]]
DATA[1100, 0, [0.005936,-0.011751,-2.765162],[0.000000,0.000000,0.000000], [0.011205, 0.018166, -0.018120], 14, [-0.215746, -0.098067, -10.002783], [0.049631, -0.124336, 9.721610], [96.000000, 72.000000, 563.000000], [-139.032196, -51.030602, -607.614014],[0.000000,0.000000,0.000000,0.000000]]
DATA[1150, 0, [0.006031,-0.011582,-2.713405],[0.000000,0.000000,0.000000], [0.011044, 0.019365, -0.017694], 14, [-0.196133, -0.058840, -10.002783], [0.050826, -0.125042, 9.720160], [99.000000, 63.000000, 563.000000], [-134.136703, -65.039001, -599.444397],[0.000000,0.000000,0.000000,0.000000]]
DATA[1180, 0, [0.006133,-0.011430,-2.683141],[0.000000,0.000000,0.000000], [0.011660, 0.019499, -0.018041], 14, [-0.176520, -0.156906, -9.924330], [0.053328, -0.123414, 9.722654], [96.000000, 63.000000, 565.000000], [-138.053101, -64.038399, -600.465576],[0.000000,0.000000,0.000000,0.000000]]
DATA[1220, 0, [0.005945,-0.011572,-2.722287],[0.000000,0.000000,0.000000], [0.011307, 0.019806, -0.017246], 14, [-0.156906, -0.156906, -10.002783], [0.036910, -0.139236, 9.725595], [101.000000, 73.000000, 563.000000], [-139.032196, -58.034801, -601.486816],[0.000000,0.000000,0.000000,0.000000]]
DATA[1260, 0, [0.005680,-0.011693,-2.645046],[0.000000,0.000000,0.000000], [0.010838, 0.019123, -0.017519], 14, [-0.196133, -0.078453, -10.042009], [0.039401, -0.130621, 9.712495], [104.000000, 69.000000, 558.000000], [-140.011307, -72.043198, -597.401978],[0.000000,0.000000,0.000000,0.000000]]
