
Thu Jan  1 00:00:01 1970

Flight Log #31
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1460, 0, [0.001843,-0.003608,2.469452],[0.000000,0.000000,0.000000], [0.011689, 0.020938, -0.018620], 14, [-0.176520, 0.019613, -9.963556], [0.014283, -0.039038, 9.749032], [95.000000, 3.000000, 565.000000], [-145.885895, -113.067802, -595.359619],[0.023900,-0.010723,-0.023900,0.010723]]
DATA[1540, 0, [0.002313,-0.003099,2.442268],[0.000000,0.000000,0.000000], [0.013548, 0.017679, -0.017917], 14, [-0.137293, -0.039227, -10.002783], [0.019395, -0.048078, 9.733687], [95.000000, 5.000000, 566.000000], [-143.927704, -118.070801, -593.317200],[0.024312,-0.010698,-0.024312,0.010698]]
DATA[1620, 0, [0.002238,-0.003474,2.406613],[0.000000,0.000000,0.000000], [0.012901, 0.019401, -0.018516], 14, [-0.117680, -0.078453, -10.022396], [-0.000405, -0.055321, 9.723125], [95.000000, 6.000000, 566.000000], [-141.969498, -125.074997, -592.296021],[0.024723,-0.010610,-0.024723,0.010610]]
DATA[1680, 0, [0.001409,-0.003823,2.447857],[0.000000,0.000000,0.000000], [0.013324, 0.019578, -0.018330], 14, [-0.156906, -0.098067, -0.039227], [-0.006695, -0.055465, 9.714460], [94.000000, 3.000000, 564.000000], [-141.969498, -115.069000, -600.465576],[0.025081,-0.010415,-0.025081,0.010415]]
DATA[1760, 0, [0.001758,-0.003616,2.438119],[0.000000,0.000000,0.000000], [0.014343, 0.019583, -0.017171], 14, [-0.137293, 0.000000, -0.019613], [0.010106, -0.048882, 9.722004], [96.000000, 8.000000, 566.000000], [-138.053101, -114.068398, -594.338379],[0.025506,-0.010263,-0.025506,0.010263]]
DATA[1840, 0, [0.001614,-0.003498,2.465728],[0.000000,0.000000,0.000000], [0.012674, 0.019139, -0.017953], 14, [-0.098067, -0.117680, -9.983170], [0.004284, -0.049129, 9.725243], [98.000000, 11.000000, 564.000000], [-150.781403, -118.070801, -591.274780],[0.025913,-0.010116,-0.025913,0.010116]]
DATA[1910, 0, [0.003494,-0.004199,2.483058],[0.000000,0.000000,0.000000], [0.013874, 0.021148, -0.016066], 14, [-0.137293, 0.000000, -10.042009], [0.060220, -0.079048, 9.696143], [97.000000, 7.000000, 563.000000], [-148.823196, -111.066597, -592.296021],[0.026474,-0.010079,-0.026474,0.010079]]
DATA[1990, 0, [0.000427,-0.004650,2.423990],[0.000000,0.000000,0.000000], [0.015081, 0.013636, -0.015499], 14, [-0.294199, 0.117680, -0.039227], [-0.097520, -0.082261, 9.751569], [98.000000, 8.000000, 566.000000], [-147.844101, -126.075600, -591.274780],[0.026923,-0.009781,-0.026923,0.009781]]
DATA[2070, 0, [-0.003668,-0.011013,2.384961],[0.000000,0.000000,0.000000], [0.011972, 0.008342, -0.016655], 14, [-0.078453, -0.274586, -10.296983], [-0.100134, -0.218369, 9.828710], [95.000000, 9.000000, 561.000000], [-147.844101, -135.080994, -595.359619],[0.027430,-0.008662,-0.027430,0.008662]]
DATA[2140, 0, [-0.007168,-0.012015,2.394331],[0.000000,0.000000,0.000000], [0.018578, 0.009088, -0.016961], 14, [-0.156906, 0.000000, -0.058840], [-0.112361, -0.088374, 9.805077], [95.000000, 11.000000, 565.000000], [-144.906799, -131.078598, -590.253601],[0.027791,-0.007075,-0.027791,0.007075]]
DATA[2220, 0, [-0.006103,-0.009675,2.444230],[0.000000,0.000000,0.000000], [0.014883, 0.016426, -0.018694], 14, [-0.196133, -0.098067, -9.904716], [-0.042598, -0.084093, 9.760870], [99.000000, 13.000000, 565.000000], [-142.948593, -117.070198, -589.232422],[0.028021,-0.005846,-0.028021,0.005846]]
DATA[2300, 0, [-0.004161,-0.006652,2.447439],[0.000000,0.000000,0.000000], [0.017047, 0.017020, -0.017818], 14, [-0.254973, 0.019613, -9.963556], [-0.029678, -0.039334, 9.749090], [100.000000, 10.000000, 565.000000], [-142.948593, -117.070198, -599.444397],[0.028202,-0.005108,-0.028202,0.005108]]
DATA[2380, 0, [-0.002337,-0.004995,2.478498],[0.000000,0.000000,0.000000], [0.015674, 0.019850, -0.018459], 14, [-0.215746, -0.058840, -9.983170], [-0.018313, -0.045922, 9.743364], [95.000000, 9.000000, 563.000000], [-145.885895, -112.067200, -593.317200],[0.028409,-0.004608,-0.028409,0.004608]]
DATA[2450, 0, [-0.000179,-0.004045,2.451377],[0.000000,0.000000,0.000000], [0.016162, 0.020710, -0.017535], 14, [-0.176520, 0.019613, -10.042009], [0.011484, -0.040498, 9.730404], [97.000000, 10.000000, 562.000000], [-145.885895, -118.070801, -612.719971],[0.028711,-0.004256,-0.028711,0.004256]]
