
Thu Jan  1 00:00:31 1970

Flight Log #20
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1470, 0, [-0.007307,-0.007485,-2.564675],[0.000000,0.000000,0.000000], [-0.006771, 0.018907, -0.003660], 18, [-0.156906, -0.098067, -9.943943], [-0.035924, -0.110553, 9.769938], [90.000000, 29.000000, 544.000000], [-115.533798, -80.047997, -576.978027],[0.000039,0.001489,-0.000039,-0.001489]]
DATA[1540, 0, [-0.006897,-0.007047,-2.585952],[0.000000,0.000000,0.000000], [-0.005967, 0.018730, -0.002832], 18, [0.000000, 0.000000, -0.137293], [-0.043997, -0.083478, 9.718743], [89.000000, 27.000000, 543.000000], [-121.408401, -80.047997, -589.232422],[0.000004,0.001416,-0.000004,-0.001416]]
DATA[1620, 0, [-0.008421,-0.008118,-2.517601],[0.000000,0.000000,0.000000], [-0.004709, 0.018042, -0.003675], 18, [0.058840, -0.176520, -10.277369], [-0.164338, -0.093276, 9.740157], [86.000000, 29.000000, 545.000000], [-110.638298, -85.051003, -583.105225],[-0.000030,0.001654,0.000030,-0.001654]]
DATA[1690, 0, [-0.009681,-0.008977,-2.517935],[0.000000,0.000000,0.000000], [-0.006551, 0.017042, -0.003748], 18, [-0.235360, -0.078453, -9.904716], [-0.157938, -0.075005, 9.645969], [91.000000, 34.000000, 544.000000], [-112.596497, -87.052200, -587.190002],[-0.000041,0.001815,0.000041,-0.001815]]
DATA[1760, 0, [-0.007332,-0.007371,-2.552431],[0.000000,0.000000,0.000000], [-0.007833, 0.015847, -0.003071], 18, [0.039227, -0.176520, -10.238143], [0.005486, -0.055625, 9.782014], [87.000000, 34.000000, 546.000000], [-121.408401, -86.051598, -586.168823],[0.000041,0.001585,-0.000041,-0.001585]]
DATA[1840, 0, [-0.006799,-0.006955,-2.548778],[0.000000,0.000000,0.000000], [-0.007213, 0.017080, -0.003125], 18, [-0.019613, -0.176520, -0.058840], [-0.043064, -0.082213, 9.713141], [91.000000, 31.000000, 542.000000], [-116.512901, -83.049797, -580.041626],[0.000003,0.001395,-0.000003,-0.001395]]
DATA[1920, 0, [-0.006503,-0.006896,-2.569072],[0.000000,0.000000,0.000000], [-0.007162, 0.017716, -0.002231], 18, [-0.117680, -0.058840, -10.022396], [-0.013715, -0.117652, 9.732441], [87.000000, 30.000000, 545.000000], [-118.471100, -79.047401, -584.126404],[0.000039,0.001340,-0.000039,-0.001340]]
DATA[1990, 0, [-0.006354,-0.006648,-2.587535],[0.000000,0.000000,0.000000], [-0.008629, 0.017693, -0.002752], 18, [-0.137293, -0.098067, -10.002783], [-0.027785, -0.104727, 9.731347], [91.000000, 27.000000, 544.000000], [-117.491997, -77.046204, -586.168823],[0.000029,0.001302,-0.000029,-0.001302]]
DATA[2070, 0, [-0.006369,-0.006550,-2.588593],[0.000000,0.000000,0.000000], [-0.006837, 0.017729, -0.003986], 18, [-0.196133, -0.098067, -9.983170], [-0.042065, -0.092475, 9.723981], [88.000000, 31.000000, 547.000000], [-112.596497, -79.047401, -588.211182],[0.000018,0.001292,-0.000018,-0.001292]]
DATA[2140, 0, [-0.006336,-0.006501,-2.568835],[0.000000,0.000000,0.000000], [-0.005168, 0.017933, -0.003289], 18, [-0.176520, -0.176520, -0.019613], [-0.039911, -0.094756, 9.723878], [90.000000, 26.000000, 542.000000], [-114.554703, -78.046799, -570.850830],[0.000021,0.001285,-0.000021,-0.001285]]
DATA[2220, 0, [-0.006353,-0.006545,-2.585711],[0.000000,0.000000,0.000000], [-0.006494, 0.015944, -0.003627], 18, [-0.254973, -0.137293, -10.002783], [-0.035654, -0.090272, 9.775097], [89.000000, 30.000000, 546.000000], [-120.429298, -79.047401, -574.935608],[0.000018,0.001299,-0.000018,-0.001299]]
DATA[2300, 0, [-0.006007,-0.006151,-2.556141],[0.000000,0.000000,0.000000], [-0.003221, 0.018198, -0.003325], 18, [-0.078453, 0.058840, -0.098067], [-0.028025, -0.085083, 9.734861], [91.000000, 26.000000, 543.000000], [-111.617401, -78.046799, -586.168823],[0.000014,0.001216,-0.000014,-0.001216]]
DATA[2380, 0, [-0.005560,-0.005808,-2.530309],[0.000000,0.000000,0.000000], [-0.001849, 0.014455, -0.002730], 18, [-0.313813, -0.137293, -0.098067], [-0.016401, -0.091162, 9.739570], [89.000000, 31.000000, 545.000000], [-111.617401, -82.049202, -584.126404],[0.000025,0.001137,-0.000025,-0.001137]]
DATA[2450, 0, [-0.005501,-0.005828,-2.546485],[0.000000,0.000000,0.000000], [-0.001415, 0.019779, -0.002429], 18, [-0.039227, -0.058840, -10.042009], [-0.021199, -0.110378, 9.726073], [87.000000, 30.000000, 547.000000], [-118.471100, -84.050400, -585.147583],[0.000033,0.001133,-0.000033,-0.001133]]
DATA[2530, 0, [-0.005378,-0.005501,-2.520501],[0.000000,0.000000,0.000000], [-0.005271, 0.017182, -0.004032], 18, [-0.294199, -0.196133, -9.963556], [-0.026280, -0.063625, 9.739583], [88.000000, 28.000000, 543.000000], [-116.512901, -87.052200, -588.211182],[0.000012,0.001088,-0.000012,-0.001088]]
DATA[2600, 0, [-0.005381,-0.005500,-2.566479],[0.000000,0.000000,0.000000], [-0.008699, 0.016758, -0.004413], 18, [-0.078453, -0.019613, -10.002783], [-0.042393, -0.091557, 9.755741], [89.000000, 30.000000, 543.000000], [-119.450203, -81.048599, -583.105225],[0.000017,0.001064,-0.000017,-0.001064]]
DATA[2680, 0, [-0.005893,-0.006160,-2.539942],[0.000000,0.000000,0.000000], [-0.007272, 0.016101, -0.003942], 18, [-0.215746, -0.058840, -9.983170], [-0.032659, -0.096103, 9.741416], [88.000000, 30.000000, 547.000000], [-113.575600, -82.049202, -587.190002],[0.000027,0.001205,-0.000027,-0.001205]]
DATA[2750, 0, [-0.005528,-0.005704,-2.560765],[0.000000,0.000000,0.000000], [-0.005849, 0.019794, -0.003934], 18, [-0.078453, 0.000000, -10.002783], [-0.020294, -0.082230, 9.732718], [92.000000, 33.000000, 545.000000], [-111.617401, -77.046204, -593.317200],[0.000018,0.001123,-0.000018,-0.001123]]
DATA[2830, 0, [-0.005512,-0.005653,-2.547760],[0.000000,0.000000,0.000000], [-0.010401, 0.019400, -0.003471], 18, [-0.078453, -0.117680, -10.022396], [-0.036986, -0.084793, 9.718807], [89.000000, 27.000000, 547.000000], [-120.429298, -85.051003, -584.126404],[0.000009,0.001110,-0.000009,-0.001110]]
DATA[2900, 0, [-0.006146,-0.006375,-2.560065],[0.000000,0.000000,0.000000], [-0.007689, 0.018795, -0.003693], 18, [-0.039227, -0.058840, -10.022396], [-0.044417, -0.109238, 9.711506], [91.000000, 30.000000, 543.000000], [-118.471100, -82.049202, -580.041626],[0.000022,0.001227,-0.000022,-0.001227]]
DATA[2980, 0, [-0.006240,-0.006432,-2.575621],[0.000000,0.000000,0.000000], [-0.006409, 0.019591, -0.003473], 18, [-0.039227, -0.098067, -9.983170], [-0.033219, -0.093075, 9.715475], [87.000000, 24.000000, 546.000000], [-122.387497, -82.049202, -593.317200],[0.000021,0.001277,-0.000021,-0.001277]]
DATA[3050, 0, [-0.006131,-0.006238,-2.562699],[0.000000,0.000000,0.000000], [-0.008158, 0.019199, -0.002509], 18, [-0.156906, -0.019613, -10.002783], [-0.042440, -0.085794, 9.727788], [92.000000, 31.000000, 547.000000], [-122.387497, -84.050400, -572.893188],[0.000011,0.001237,-0.000011,-0.001237]]
DATA[3130, 0, [-0.002299,-0.002861,-2.443070],[0.000000,0.000000,0.000000], [-0.008267, 0.017978, -0.002559], 18, [-0.254973, -0.137293, -0.019613], [0.104532, -0.007599, 9.751719], [90.000000, 27.000000, 546.000000], [-114.554703, -98.058800, -572.893188],[0.000056,0.000516,-0.000056,-0.000516]]
DATA[3200, 0, [-0.004352,-0.004815,-2.493955],[0.000000,0.000000,0.000000], [-0.007279, 0.019181, -0.002772], 18, [0.039227, -0.196133, -0.098067], [-0.043532, -0.138799, 9.670296], [90.000000, 36.000000, 546.000000], [-113.575600, -89.053398, -573.914429],[0.000046,0.000917,-0.000046,-0.000917]]
DATA[3280, 0, [-0.007096,-0.007532,-2.541320],[0.000000,0.000000,0.000000], [-0.006867, 0.018630, -0.002716], 18, [-0.098067, -0.058840, -0.019613], [-0.038101, -0.144429, 9.747254], [91.000000, 25.000000, 545.000000], [-118.471100, -86.051598, -582.083984],[0.000047,0.001429,-0.000047,-0.001429]]
DATA[3360, 0, [-0.007477,-0.007890,-2.639150],[0.000000,0.000000,0.000000], [-0.009401, 0.017418, -0.001366], 18, [-0.196133, -0.196133, -9.963556], [-0.020679, -0.126591, 9.736541], [89.000000, 28.000000, 545.000000], [-117.491997, -85.051003, -585.147583],[0.000041,0.001537,-0.000041,-0.001537]]
