
Thu Jan  1 00:01:23 1970

Flight Log #14
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1460, 0, [-0.019410,-0.017808,-2.255159],[0.000000,0.000000,0.000000], [-0.002465, -0.005227, -0.011298], 15, [-0.058840, -0.156906, -0.019613], [-0.292892, -0.028964, 9.812599], [27.000000, 23.000000, 562.000000], [-85.181702, -117.070198, -599.444397],[0.000000,0.000000,0.000000,0.000000]]
DATA[1540, 0, [-0.020568,-0.019573,-2.384546],[0.000000,0.000000,0.000000], [-0.022763, -0.023624, -0.009164], 15, [-0.117680, -0.058840, -10.257756], [-0.273184, -0.093941, 9.795576], [32.000000, 26.000000, 561.000000], [-97.910004, -106.063599, -597.401978],[0.000000,0.000000,0.000000,0.000000]]
DATA[1620, 0, [-0.020314,-0.019452,-2.336613],[0.000000,0.000000,0.000000], [-0.001346, 0.007563, -0.005115], 15, [0.078453, -0.176520, -9.983170], [-0.283034, -0.123294, 9.722940], [32.000000, 25.000000, 558.000000], [-89.098099, -106.063599, -594.338379],[0.000000,0.000000,0.000000,0.000000]]
DATA[1700, 0, [-0.021190,-0.020487,-2.319866],[0.000000,0.000000,0.000000], [0.016214, 0.007637, -0.013758], 15, [0.019613, -0.137293, -9.983170], [-0.283794, -0.151750, 9.752759], [30.000000, 28.000000, 558.000000], [-87.139900, -108.064796, -605.571594],[0.000000,0.000000,0.000000,0.000000]]
DATA[1770, 0, [-0.019746,-0.018416,-2.340027],[0.000000,0.000000,0.000000], [0.019053, 0.033697, -0.011223], 15, [-0.078453, 0.019613, -0.156906], [-0.292415, -0.072097, 9.655044], [28.000000, 24.000000, 560.000000], [-93.014503, -109.065399, -604.550415],[0.000000,0.000000,0.000000,0.000000]]
DATA[1850, 0, [-0.020729,-0.019298,-2.327187],[0.000000,0.000000,0.000000], [0.027341, 0.020879, -0.007241], 15, [0.353039, 0.058840, -10.042009], [-0.370957, -0.098109, 9.760102], [29.000000, 20.000000, 563.000000], [-91.056297, -110.066002, -601.486816],[0.000000,0.000000,0.000000,0.000000]]
DATA[1920, 0, [-0.022438,-0.020677,-2.336305],[0.000000,0.000000,0.000000], [0.023405, 0.017252, -0.008750], 15, [0.431493, 0.078453, -0.039227], [-0.408444, -0.072120, 9.845179], [38.000000, 24.000000, 563.000000], [-86.160797, -104.062401, -601.486816],[0.000000,0.000000,0.000000,0.000000]]
DATA[2000, 0, [-0.021392,-0.019650,-2.282802],[0.000000,0.000000,0.000000], [0.011443, 0.011625, -0.013606], 15, [-0.098067, -0.078453, -9.688971], [-0.376482, -0.062849, 9.663853], [35.000000, 45.000000, 563.000000], [-87.139900, -115.069000, -609.656372],[0.000000,0.000000,0.000000,0.000000]]
DATA[2070, 0, [-0.024525,-0.022215,-2.359095],[0.000000,0.000000,0.000000], [0.013655, 0.011298, -0.011033], 15, [-0.078453, 0.058840, -9.963556], [-0.478474, -0.067275, 9.552180], [31.000000, 21.000000, 555.000000], [-89.098099, -104.062401, -601.486816],[0.000000,0.000000,0.000000,0.000000]]
DATA[2150, 0, [-0.025077,-0.023387,-2.320003],[0.000000,0.000000,0.000000], [0.009659, 0.010194, -0.015869], 15, [0.333426, 0.078453, -10.042009], [-0.410279, -0.109698, 9.581518], [18.000000, 26.000000, 562.000000], [-90.077202, -113.067802, -592.296021],[0.000000,0.000000,0.000000,0.000000]]
DATA[2230, 0, [-0.022805,-0.021312,-2.276194],[0.000000,0.000000,0.000000], [0.003991, 0.014890, -0.018455], 15, [0.411879, 0.039227, -9.904716], [-0.279871, -0.031962, 9.917387], [30.000000, 22.000000, 560.000000], [-86.160797, -125.074997, -606.592773],[0.000000,0.000000,0.000000,0.000000]]
