
Thu Jan  1 00:00:01 1970

Flight Log #37
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1310, 0, [-0.016049,-0.028152,-3.133254],[0.000000,0.000000,0.000000], [0.006765, 0.020884, -0.013054], 15, [0.058840, -0.254973, -0.019613], [-0.158402, -0.279452, 9.721876], [-91.000000, 85.000000, -43.000000], [-194.840897, 21.012600, -685.225220],[0.000605,0.002212,-0.000605,-0.002212]]
DATA[1370, 0, [-0.016368,-0.027649,-3.131817],[0.000000,0.000000,0.000000], [0.006383, 0.021086, -0.012821], 15, [0.058840, -0.058840, -10.022396], [-0.175194, -0.289037, 9.721262], [-91.000000, 91.000000, -42.000000], [-193.861801, 21.012600, -687.267578],[0.000564,0.002203,-0.000564,-0.002203]]
DATA[1440, 0, [-0.017243,-0.028588,3.112639],[0.000000,0.000000,0.000000], [0.004641, 0.020970, -0.013697], 15, [0.058840, -0.235360, -10.002783], [-0.179916, -0.313104, 9.723023], [-90.000000, 93.000000, -42.000000], [-191.903595, 14.008400, -696.458374],[0.000562,0.002279,-0.000562,-0.002279]]
DATA[1510, 0, [-0.018504,-0.028426,3.082349],[0.000000,0.000000,0.000000], [0.002925, 0.018207, -0.013951], 15, [0.058840, -0.235360, -0.039227], [-0.181592, -0.272783, 9.638065], [-95.000000, 91.000000, -40.000000], [-194.840897, 7.004200, -679.098022],[0.000496,0.002348,-0.000496,-0.002348]]
DATA[1570, 0, [-0.018740,-0.025700,-3.134323],[0.000000,0.000000,0.000000], [0.003102, 0.019608, -0.013611], 15, [0.000000, -0.156906, -0.098067], [-0.175055, -0.229383, 9.617659], [-90.000000, 85.000000, -39.000000], [-193.861801, 19.011400, -681.140381],[0.000348,0.002224,-0.000348,-0.002224]]
DATA[1640, 0, [-0.019550,-0.025530,3.113875],[0.000000,0.000000,0.000000], [0.003776, 0.020194, -0.012001], 15, [0.000000, -0.058840, -10.257756], [-0.221207, -0.309413, 9.771915], [-96.000000, 83.000000, -37.000000], [-192.882706, 12.007200, -694.416016],[0.000299,0.002256,-0.000299,-0.002256]]
DATA[1700, 0, [-0.020209,-0.026154,-3.107176],[0.000000,0.000000,0.000000], [0.004490, 0.020538, -0.012200], 15, [0.058840, -0.254973, -9.924330], [-0.201707, -0.277570, 9.743869], [-92.000000, 85.000000, -39.000000], [-196.799103, 25.014999, -679.098022],[0.000297,0.002320,-0.000297,-0.002320]]
DATA[1770, 0, [-0.019995,-0.026325,-3.090761],[0.000000,0.000000,0.000000], [0.004923, 0.020026, -0.013172], 15, [-0.019613, -0.235360, -9.963556], [-0.196684, -0.273349, 9.739135], [-94.000000, 91.000000, -37.000000], [-194.840897, 29.017401, -698.500793],[0.000316,0.002318,-0.000316,-0.002318]]
DATA[1840, 0, [-0.019323,-0.026507,-3.134221],[0.000000,0.000000,0.000000], [0.004235, 0.020699, -0.012122], 15, [0.000000, -0.294199, -10.042009], [-0.182022, -0.271844, 9.724817], [-96.000000, 93.000000, -41.000000], [-188.966293, 20.011999, -698.500793],[0.000359,0.002293,-0.000359,-0.002293]]
DATA[1900, 0, [-0.018470,-0.026221,-3.136641],[0.000000,0.000000,0.000000], [0.004616, 0.021984, -0.012118], 15, [0.117680, -0.274586, -10.042009], [-0.177733, -0.274572, 9.720424], [-94.000000, 90.000000, -40.000000], [-191.903595, 19.011400, -686.246399],[0.000388,0.002237,-0.000388,-0.002237]]
DATA[1970, 0, [-0.018367,-0.026164,-3.126270],[0.000000,0.000000,0.000000], [0.002338, 0.019883, -0.013033], 15, [0.039227, -0.313813, -9.943943], [-0.185033, -0.275296, 9.716367], [-91.000000, 86.000000, -40.000000], [-191.903595, 21.012600, -683.182800],[0.000390,0.002229,-0.000390,-0.002229]]
DATA[2030, 0, [-0.018461,-0.026665,-3.127414],[0.000000,0.000000,0.000000], [0.003572, 0.015987, -0.012687], 15, [0.117680, -0.235360, -10.002783], [-0.180367, -0.286339, 9.725104], [-92.000000, 84.000000, -40.000000], [-193.861801, 21.012600, -678.076782],[0.000410,0.002258,-0.000410,-0.002258]]
DATA[2090, 0, [-0.018163,-0.027869,-3.107022],[0.000000,0.000000,0.000000], [0.004297, 0.017129, -0.012184], 15, [0.019613, -0.254973, -9.963556], [-0.179373, -0.306055, 9.729202], [-92.000000, 85.000000, -39.000000], [-189.945404, 26.015600, -682.161621],[0.000485,0.002304,-0.000485,-0.002304]]
DATA[2160, 0, [-0.017788,-0.028809,-3.106256],[0.000000,0.000000,0.000000], [0.005928, 0.018815, -0.012442], 15, [0.000000, -0.254973, -10.022396], [-0.176389, -0.293939, 9.732751], [-94.000000, 93.000000, -37.000000], [-196.799103, 27.016199, -681.140381],[0.000552,0.002335,-0.000552,-0.002335]]
DATA[2230, 0, [-0.017973,-0.028897,-3.141163],[0.000000,0.000000,0.000000], [0.004082, 0.017827, -0.013335], 15, [0.058840, -0.294199, -10.042009], [-0.178490, -0.297499, 9.724840], [-92.000000, 92.000000, -39.000000], [-191.903595, 20.011999, -689.309998],[0.000546,0.002345,-0.000546,-0.002345]]
DATA[2300, 0, [-0.017653,-0.028535,-3.125292],[0.000000,0.000000,0.000000], [0.005413, 0.014454, -0.012821], 15, [0.019613, -0.196133, -9.983170], [-0.172574, -0.286766, 9.730933], [-94.000000, 91.000000, -40.000000], [-188.966293, 23.013800, -691.352417],[0.000544,0.002311,-0.000544,-0.002311]]
DATA[2370, 0, [-0.017077,-0.029050,-3.117704],[0.000000,0.000000,0.000000], [0.011153, 0.014925, -0.013529], 15, [0.000000, -0.274586, -0.058840], [-0.170339, -0.302403, 9.740287], [-93.000000, 86.000000, -39.000000], [-196.799103, 25.014999, -689.309998],[0.000599,0.002308,-0.000599,-0.002308]]
DATA[2420, 0, [-0.017170,-0.029436,-3.117628],[0.000000,0.000000,0.000000], [0.005275, 0.013096, -0.012853], 15, [-0.019613, -0.019613, -10.022396], [-0.176807, -0.302009, 9.731347], [-94.000000, 86.000000, -36.000000], [-193.861801, 25.014999, -682.161621],[0.000613,0.002332,-0.000613,-0.002332]]
DATA[2490, 0, [-0.017677,-0.029402,-3.136946],[0.000000,0.000000,0.000000], [0.003346, 0.017028, -0.012866], 15, [-0.039227, -0.294199, -9.983170], [-0.177943, -0.301363, 9.720604], [-95.000000, 90.000000, -37.000000], [-198.757294, 21.012600, -681.140381],[0.000586,0.002356,-0.000586,-0.002356]]
DATA[2560, 0, [-0.017701,-0.028906,-3.141201],[0.000000,0.000000,0.000000], [0.005935, 0.020496, -0.012222], 15, [0.000000, -0.254973, -9.983170], [-0.181207, -0.286252, 9.722377], [-91.000000, 89.000000, -40.000000], [-194.840897, 20.011999, -689.309998],[0.000560,0.002332,-0.000560,-0.002332]]
DATA[2620, 0, [-0.017815,-0.028642,3.139548],[0.000000,0.000000,0.000000], [0.007329, 0.020757, -0.011399], 15, [0.117680, -0.215746, -0.039227], [-0.177663, -0.294217, 9.739536], [-93.000000, 92.000000, -40.000000], [-190.924500, 19.011400, -678.076782],[0.000541,0.002325,-0.000541,-0.002325]]
DATA[2690, 0, [-0.018230,-0.028373,-3.091519],[0.000000,0.000000,0.000000], [0.009066, 0.002775, -0.011929], 15, [-0.294199, -0.509946, -0.137293], [-0.166409, -0.289614, 9.746930], [-86.000000, 89.000000, -41.000000], [-195.820007, 31.018600, -681.140381],[0.000507,0.002332,-0.000507,-0.002332]]
DATA[2740, 0, [-0.017739,-0.027839,-3.104552],[0.000000,0.000000,0.000000], [0.005621, 0.006487, -0.011905], 15, [0.058840, -0.196133, -9.963556], [-0.179109, -0.255931, 9.753971], [-89.000000, 87.000000, -44.000000], [-194.840897, 27.016199, -694.416016],[0.000505,0.002281,-0.000505,-0.002281]]
DATA[2810, 0, [-0.017539,-0.027004,-3.107175],[0.000000,0.000000,0.000000], [0.006455, 0.014723, -0.011651], 15, [0.058840, -0.019613, -0.019613], [-0.179364, -0.267294, 9.738479], [-87.000000, 86.000000, -42.000000], [-197.778198, 26.015600, -695.437195],[0.000473,0.002229,-0.000473,-0.002229]]
DATA[2880, 0, [-0.017196,-0.024837,-3.107739],[0.000000,0.000000,0.000000], [0.002046, 0.012619, -0.012899], 16, [-0.117680, -0.098067, -0.098067], [-0.167860, -0.229457, 9.745602], [-90.000000, 90.000000, -42.000000], [-193.861801, 24.014400, -686.246399],[0.000395,0.002118,-0.000395,-0.002118]]
DATA[2950, 0, [-0.015472,-0.023243,-3.104620],[0.000000,0.000000,0.000000], [0.009614, 0.005954, -0.012366], 16, [-0.058840, -0.254973, -9.924330], [-0.146168, -0.209910, 9.741292], [-89.000000, 87.000000, -44.000000], [-202.673706, 24.014400, -693.394775],[0.000389,0.001938,-0.000389,-0.001938]]
DATA[3020, 0, [-0.015368,-0.024827,-3.112736],[0.000000,0.000000,0.000000], [0.014953, 0.006078, -0.013122], 16, [-0.137293, -0.156906, -10.042009], [-0.175975, -0.263028, 9.699960], [-92.000000, 93.000000, -39.000000], [-201.694595, 23.013800, -680.119202],[0.000471,0.001994,-0.000471,-0.001994]]
DATA[3090, 0, [-0.015358,-0.026873,-3.109407],[0.000000,0.000000,0.000000], [0.008669, 0.007877, -0.013562], 16, [0.078453, -0.058840, -0.058840], [-0.157063, -0.317146, 9.753591], [-87.000000, 95.000000, -42.000000], [-197.778198, 25.014999, -681.140381],[0.000576,0.002114,-0.000576,-0.002114]]
DATA[3150, 0, [-0.015967,-0.028903,-3.121071],[0.000000,0.000000,0.000000], [0.011570, 0.015110, -0.013583], 16, [-0.039227, -0.235360, -10.002783], [-0.177657, -0.305163, 9.731940], [-90.000000, 84.000000, -41.000000], [-187.987198, 24.014400, -689.309998],[0.000647,0.002246,-0.000647,-0.002246]]
DATA[3220, 0, [-0.014980,-0.029573,-3.134096],[0.000000,0.000000,0.000000], [0.010130, 0.015835, -0.013246], 16, [0.019613, -0.019613, -10.002783], [-0.137496, -0.301971, 9.725138], [-89.000000, 85.000000, -42.000000], [-193.861801, 22.013201, -692.373596],[0.000730,0.002230,-0.000730,-0.002230]]
