
Thu Jan  1 00:02:15 1970

Flight Log #48
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1300, 0, [-0.000706,-0.045022,2.998909],[0.000000,0.000000,0.000000], [0.013954, 0.002435, -0.015670], 14, [-0.254973, -0.039227, -0.058840], [0.005415, -0.465359, 9.794298], [-66.000000, 56.000000, -59.000000], [-215.401993, -1.000600, -666.843628],[-0.000485,-0.000631,0.000485,0.000631]]
DATA[1370, 0, [0.002113,-0.045487,3.011410],[0.000000,0.000000,0.000000], [0.000816, 0.008410, -0.017765], 14, [-0.274586, -0.078453, -0.078453], [0.065794, -0.446045, 9.781404], [-61.000000, 63.000000, -59.000000], [-223.234802, 1.000600, -660.716370],[0.000220,-0.000285,-0.000220,0.000285]]
DATA[1430, 0, [0.000150,-0.044486,2.997935],[0.000000,0.000000,0.000000], [0.008344, 0.011557, -0.016910], 14, [-0.137293, -0.156906, -0.019613], [-0.065827, -0.427019, 9.722335], [-68.000000, 63.000000, -61.000000], [-217.360199, -2.001200, -661.737610],[0.000013,-0.000680,-0.000013,0.000680]]
DATA[1500, 0, [-0.002052,-0.045996,2.995910],[0.000000,0.000000,0.000000], [0.012163, 0.010922, -0.011379], 14, [0.000000, -0.176520, -10.296983], [-0.049318, -0.468774, 9.775928], [-65.000000, 67.000000, -56.000000], [-214.422897, -1.000600, -666.843628],[-0.000136,-0.000878,0.000136,0.000878]]
DATA[1570, 0, [-0.003396,-0.045795,3.020397],[0.000000,0.000000,0.000000], [-0.002611, 0.029086, -0.016382], 14, [0.058840, -0.058840, -9.963556], [-0.067685, -0.484624, 9.722315], [-71.000000, 65.000000, -56.000000], [-214.422897, 4.002400, -663.780029],[0.000977,-0.000768,-0.000977,0.000768]]
DATA[1630, 0, [-0.004274,-0.047495,3.007778],[0.000000,0.000000,0.000000], [0.003186, 0.017395, -0.019234], 14, [-0.117680, -0.529559, -9.963556], [-0.050851, -0.513400, 9.777304], [-68.000000, 72.000000, -59.000000], [-211.485596, 3.001800, -670.928406],[0.000394,-0.000649,-0.000394,0.000649]]
DATA[1700, 0, [-0.006503,-0.046805,2.997408],[0.000000,0.000000,0.000000], [0.009136, 0.010790, -0.020181], 14, [-0.039227, -0.117680, -9.924330], [-0.098389, -0.446096, 9.777547], [-67.000000, 61.000000, -57.000000], [-204.631897, 1.000600, -665.822388],[-0.000042,-0.000689,0.000042,0.000689]]
DATA[1760, 0, [-0.007562,-0.046516,3.018009],[0.000000,0.000000,0.000000], [0.012881, 0.016017, -0.017038], 14, [-0.078453, -0.568786, -9.983170], [-0.096143, -0.475626, 9.722563], [-68.000000, 70.000000, -54.000000], [-215.401993, 4.002400, -675.013184],[-0.000035,-0.000996,0.000035,0.000996]]
DATA[1830, 0, [-0.008830,-0.045753,2.984190],[0.000000,0.000000,0.000000], [0.016472, 0.008856, -0.019402], 14, [-0.215746, -0.019613, -0.039227], [-0.088383, -0.425283, 9.723606], [-69.000000, 63.000000, -57.000000], [-211.485596, -4.002400, -666.843628],[-0.000311,-0.000876,0.000311,0.000876]]
DATA[1900, 0, [-0.008434,-0.044955,2.956360],[0.000000,0.000000,0.000000], [0.015890, 0.012073, -0.008929], 14, [-0.117680, -0.098067, -0.058840], [-0.071010, -0.442348, 9.699706], [-67.000000, 73.000000, -55.000000], [-214.422897, -11.006600, -672.970825],[-0.000273,-0.000998,0.000273,0.000998]]
DATA[1960, 0, [-0.008009,-0.042867,3.026276],[0.000000,0.000000,0.000000], [0.020299, 0.014256, -0.014376], 14, [-0.098067, -0.058840, -9.924330], [-0.094155, -0.396194, 9.713384], [-69.000000, 61.000000, -55.000000], [-220.297501, 3.001800, -680.119202],[-0.000384,-0.001240,0.000384,0.001240]]
DATA[2030, 0, [-0.009464,-0.040636,2.991168],[0.000000,0.000000,0.000000], [0.014617, 0.013492, -0.013261], 14, [-0.235360, -0.019613, -9.983170], [-0.119674, -0.375957, 9.693879], [-68.000000, 71.000000, -55.000000], [-211.485596, -6.003600, -664.801208],[-0.000180,-0.000989,0.000180,0.000989]]
DATA[2090, 0, [-0.009881,-0.039581,2.995338],[0.000000,0.000000,0.000000], [0.006204, 0.016730, -0.016839], 14, [-0.078453, -0.098067, -9.983170], [-0.091369, -0.396164, 9.657880], [-70.000000, 62.000000, -56.000000], [-215.401993, -6.003600, -675.013184],[0.000254,-0.000750,-0.000254,0.000750]]
DATA[2160, 0, [-0.007250,-0.042322,3.023852],[0.000000,0.000000,0.000000], [0.011533, 0.013671, -0.021346], 14, [-0.078453, -0.549172, -9.963556], [-0.035368, -0.475325, 9.676195], [-71.000000, 68.000000, -52.000000], [-214.422897, 3.001800, -684.203979],[-0.000051,-0.000871,0.000051,0.000871]]
DATA[2230, 0, [-0.003594,-0.042094,2.990562],[0.000000,0.000000,0.000000], [0.030818, 0.013927, -0.016294], 14, [-0.078453, -0.019613, -10.002783], [-0.013065, -0.333398, 9.661014], [-80.000000, 54.000000, -51.000000], [-210.506500, -1.000600, -671.949585],[0.249192,0.248249,0.250808,0.251751]]
DATA[2290, 0, [-0.003508,-0.035786,3.018173],[0.000000,0.000000,0.000000], [0.016131, 0.008679, -0.009169], 14, [0.137293, -0.156906, -0.156906], [-0.076201, -0.278253, 9.727576], [-80.000000, 59.000000, -46.000000], [-207.569199, -2.001200, -671.949585],[0.249615,0.249094,0.250385,0.250906]]
