
Thu Jan  1 00:00:01 1970

Flight Log #8
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.003360, 0.007330, -0.014813], [-0.137293, -2.079010, -0.117680], [0.521635, -1.945365, -9.449257], [-135.000000, -84.000000, -62.000000], [-39, -145, 1256]]
DATA[120, 0, [0,0,0], [-0.002291, 0.013134, 0.016341], [-0.156906, -0.156906, -9.983170], [0.512064, -1.974079, -9.466006], [-138.000000, -88.000000, -63.000000], [-41, -142, 1256]]
DATA[180, 0, [0,0,0], [-0.005040, 0.011148, -0.019548], [-0.117680, -2.098623, -10.002783], [0.531207, -1.969293, -9.418150], [-136.000000, -88.000000, -64.000000], [-41, -141, 1252]]
DATA[230, 0, [0,0,0], [-0.001985, 0.010843, -0.018326], [-0.137293, -2.079010, -0.117680], [0.516850, -1.926222, -9.506684], [-136.000000, -88.000000, -63.000000], [-34, -134, 1250]]
DATA[290, 0, [0,0,0], [-0.003818, 0.013134, -0.018479], [-0.078453, -2.059397, -9.924330], [0.521635, -1.940579, -9.461221], [-133.000000, -92.000000, -62.000000], [-38, -141, 1245]]
DATA[350, 0, [0,0,0], [-0.006261, 0.009927, 0.018631], [0.627626, -2.079010, -9.924330], [0.485743, -1.954936, -9.408579], [-136.000000, -90.000000, -62.000000], [-35, -130, 1246]]
DATA[400, 0, [0,0,0], [-0.006109, 0.007330, 0.015272], [0.451106, -0.156906, -0.117680], [0.531207, -1.911865, -9.451650], [-140.000000, -89.000000, -65.000000], [-40, -134, 1258]]
DATA[460, 0, [0,0,0], [-0.008858, 0.010996, 0.017562], [-0.078453, -2.059397, -9.963556], [0.495314, -1.940579, -9.482756], [-137.000000, -90.000000, -64.000000], [-44, -138, 1252]]
DATA[520, 0, [0,0,0], [-0.007941, 0.008552, -0.016646], [-0.058840, -2.079010, -0.156906], [0.507278, -1.940579, -9.466006], [-134.000000, -91.000000, -64.000000], [-40, -143, 1257]]
DATA[580, 0, [0,0,0], [-0.005956, 0.010079, 0.011606], [-0.078453, -2.137850, -9.963556], [0.512064, -1.907080, -9.430114], [-134.000000, -90.000000, -63.000000], [-43, -135, 1247]]
DATA[630, 0, [0,0,0], [-0.002749, 0.008705, -0.018937], [-0.098067, -2.059397, -10.042009], [0.500100, -1.978864, -9.456435], [-138.000000, -86.000000, -65.000000], [-46, -139, 1243]]
DATA[690, 0, [0,0,0], [-0.012065, 0.007636, -0.016035], [-0.078453, -2.098623, -0.117680], [0.502493, -1.950150, -9.439685], [-139.000000, -89.000000, -65.000000], [-47, -128, 1252]]
DATA[750, 0, [0,0,0], [-0.003512, 0.010843, 0.017868], [-0.078453, -2.059397, -9.943943], [0.535992, -1.950150, -9.444471], [-137.000000, -92.000000, -63.000000], [-40, -130, 1258]]
DATA[800, 0, [0,0,0], [-0.007789, 0.008552, 0.018173], [-0.098067, -2.059397, -9.904716], [0.526421, -1.945365, -9.506684], [-135.000000, -88.000000, -63.000000], [-37, -130, 1250]]
DATA[860, 0, [0,0,0], [-0.006567, 0.009621, 0.017715], [-0.117680, -2.137850, -0.156906], [0.509671, -1.911865, -9.506684], [-140.000000, -88.000000, -66.000000], [-33, -127, 1245]]
DATA[920, 0, [0,0,0], [-0.004429, 0.014355, -0.018937], [-0.039227, -2.137850, -9.963556], [0.524028, -1.935794, -9.420543], [-141.000000, -90.000000, -66.000000], [-39, -132, 1249]]
DATA[970, 0, [0,0,0], [-0.004887, 0.008705, 0.018326], [0.451106, -2.098623, -10.022396], [0.504886, -1.940579, -9.430114], [-138.000000, -87.000000, -63.000000], [-42, -131, 1242]]
DATA[1030, 0, [0,0,0], [0.001985, 0.011148, 0.015272], [-0.039227, -2.098623, -9.943943], [0.519243, -1.935794, -9.454042], [-134.000000, -88.000000, -64.000000], [-46, -134, 1254]]
DATA[1090, 0, [0,0,0], [-0.004123, 0.014203, 0.016341], [-0.117680, -2.137850, -0.019613], [0.497707, -1.931008, -9.473185], [-140.000000, -90.000000, -61.000000], [-38, -130, 1259]]
DATA[1140, 0, [0,0,0], [-0.000305, 0.005345, 0.015272], [-0.137293, -2.137850, -0.156906], [0.497707, -1.911865, -9.427721], [-140.000000, -90.000000, -66.000000], [-40, -136, 1245]]
DATA[1200, 0, [0,0,0], [0.000458, 0.004276, 0.015577], [-0.117680, -2.098623, -10.002783], [0.514457, -1.940579, -9.530613], [-137.000000, -90.000000, -63.000000], [-34, -133, 1251]]
DATA[1260, 0, [0,0,0], [-0.004276, 0.009774, 0.016646], [-0.058840, -2.118236, -9.904716], [0.519243, -1.954936, -9.434899], [-133.000000, -91.000000, -59.000000], [-42, -130, 1245]]
DATA[1310, 0, [0,0,0], [-0.004276, 0.007941, 0.013592], [-0.058840, -2.098623, -0.137293], [0.538385, -1.935794, -9.489935], [-139.000000, -87.000000, -63.000000], [-40, -130, 1258]]
DATA[1370, 0, [0,0,0], [0.000000, 0.010996, 0.013592], [-0.058840, -2.118236, -0.156906], [0.521635, -1.964507, -9.466006], [-139.000000, -89.000000, -66.000000], [-40, -130, 1244]]
DATA[1430, 0, [0,0,0], [-0.002596, 0.005956, 0.018631], [-0.137293, -2.137850, -9.943943], [0.502493, -1.935794, -9.454042], [-137.000000, -89.000000, -63.000000], [-36, -139, 1248]]
DATA[1480, 0, [0,0,0], [-0.004276, 0.005040, -0.019395], [-0.137293, -2.137850, -9.943943], [0.504886, -1.902294, -9.461221], [-133.000000, -88.000000, -62.000000], [-41, -139, 1260]]
DATA[1540, 0, [0,0,0], [-0.003207, 0.012523, -0.018937], [0.647239, -2.118236, -9.904716], [0.514457, -1.974079, -9.430114], [-132.000000, -89.000000, -62.000000], [-39, -128, 1252]]
DATA[1600, 0, [0,0,0], [0.001374, 0.012217, 0.018326], [0.451106, -0.117680, -10.022396], [0.516850, -1.921437, -9.485149], [-138.000000, -89.000000, -65.000000], [-44, -143, 1245]]
DATA[1650, 0, [0,0,0], [0.000000, 0.008858, 0.016341], [-0.117680, -0.156906, -9.904716], [0.512064, -1.940579, -9.449257], [-136.000000, -91.000000, -65.000000], [-32, -133, 1240]]
DATA[1710, 0, [0,0,0], [-0.007483, 0.010385, -0.016646], [-0.098067, -2.059397, -0.156906], [0.526421, -1.940579, -9.427721], [-135.000000, -91.000000, -62.000000], [-40, -144, 1252]]
DATA[1770, 0, [0,0,0], [-0.006414, 0.011148, -0.019548], [-0.098067, -2.098623, -9.924330], [0.502493, -1.940579, -9.499506], [-134.000000, -89.000000, -59.000000], [-34, -135, 1251]]
DATA[1820, 0, [0,0,0], [-0.007178, 0.005956, 0.016952], [-0.098067, -2.079010, -9.943943], [0.519243, -1.983650, -9.509077], [-141.000000, -87.000000, -63.000000], [-40, -139, 1258]]
DATA[1880, 0, [0,0,0], [0.004734, 0.007025, -0.019548], [-0.019613, -2.098623, -0.156906], [0.500100, -1.945365, -9.466006], [-141.000000, -91.000000, -66.000000], [-32, -140, 1254]]
DATA[1940, 0, [0,0,0], [-0.005803, 0.010537, -0.019548], [0.353039, -2.098623, -9.943943], [0.485743, -1.945365, -9.501899], [-136.000000, -90.000000, -65.000000], [-38, -136, 1252]]
DATA[1990, 0, [0,0,0], [-0.001069, 0.012523, 0.012828], [-0.098067, -2.137850, -9.983170], [0.519243, -1.940579, -9.466006], [-135.000000, -87.000000, -63.000000], [-40, -136, 1249]]
DATA[2050, 0, [0,0,0], [-0.000458, 0.014050, 0.016493], [-0.078453, -2.079010, -9.943943], [0.519243, -1.974079, -9.413364], [-134.000000, -87.000000, -62.000000], [-34, -139, 1247]]
DATA[2100, 0, [0,0,0], [-0.002443, 0.009774, 0.015119], [-0.156906, -2.118236, -0.117680], [0.483350, -1.954936, -9.451650], [-138.000000, -89.000000, -62.000000], [-41, -138, 1249]]
DATA[2170, 0, [0,0,0], [-0.002291, 0.015882, 0.014813], [-0.078453, -2.118236, -9.904716], [0.526421, -1.978864, -9.420543], [-139.000000, -88.000000, -65.000000], [-40, -139, 1250]]
DATA[2220, 0, [0,0,0], [-0.000916, 0.013592, 0.016188], [-0.156906, -2.079010, -9.904716], [0.526421, -1.926222, -9.449257], [-135.000000, -89.000000, -63.000000], [-38, -139, 1254]]
DATA[2270, 0, [0,0,0], [-0.005498, 0.010385, -0.019242], [0.451106, -2.079010, -9.983170], [0.514457, -1.940579, -9.482756], [-137.000000, -87.000000, -61.000000], [-37, -128, 1257]]
DATA[2340, 0, [0,0,0], [0.000458, 0.012828, 0.013897], [-0.098067, -2.059397, -9.924330], [0.519243, -1.902294, -9.430114], [-137.000000, -84.000000, -64.000000], [-41, -138, 1241]]
DATA[2390, 0, [0,0,0], [-0.003360, 0.010843, -0.018173], [-0.058840, -2.059397, -0.156906], [0.485743, -1.911865, -9.492328], [-139.000000, -87.000000, -63.000000], [-43, -138, 1246]]
DATA[2440, 0, [0,0,0], [-0.000458, 0.009468, 0.016646], [-0.117680, -2.118236, -9.904716], [0.526421, -1.911865, -9.425328], [-132.000000, -88.000000, -66.000000], [-37, -141, 1242]]
DATA[2510, 0, [0,0,0], [-0.005651, 0.016493, 0.014508], [-0.058840, -2.079010, -9.924330], [0.516850, -1.969293, -9.454042], [-136.000000, -87.000000, -61.000000], [-35, -136, 1256]]
DATA[2560, 0, [0,0,0], [-0.006567, 0.010996, 0.015424], [-0.098067, -2.098623, -9.943943], [0.535992, -1.935794, -9.466006], [-140.000000, -89.000000, -65.000000], [-43, -139, 1259]]
DATA[2610, 0, [0,0,0], [-0.001985, 0.007483, 0.016646], [-0.098067, -2.137850, -9.924330], [0.531207, -1.935794, -9.430114], [-139.000000, -88.000000, -64.000000], [-39, -137, 1253]]
DATA[2680, 0, [0,0,0], [-0.003665, 0.011148, -0.019395], [-0.156906, -0.156906, -10.002783], [0.473779, -1.954936, -9.516255], [-138.000000, -92.000000, -66.000000], [-46, -135, 1258]]
DATA[2730, 0, [0,0,0], [-0.003360, 0.010843, 0.018173], [-0.078453, -2.059397, -9.924330], [0.519243, -1.959722, -9.410972], [-137.000000, -88.000000, -63.000000], [-38, -138, 1254]]
DATA[2780, 0, [0,0,0], [0.003971, 0.013439, 0.014813], [-0.137293, -0.137293, -0.156906], [0.514457, -1.940579, -9.461221], [-141.000000, -89.000000, -65.000000], [-43, -139, 1255]]
DATA[2850, 0, [0,0,0], [-0.003360, 0.012065, 0.012675], [-0.117680, -2.059397, -9.943943], [0.516850, -1.907080, -9.470792], [-141.000000, -88.000000, -62.000000], [-44, -132, 1251]]
DATA[2900, 0, [0,0,0], [-0.001222, 0.011301, 0.015730], [-0.098067, -2.118236, -10.022396], [0.516850, -1.926222, -9.473185], [-138.000000, -89.000000, -67.000000], [-47, -138, 1259]]
DATA[2960, 0, [0,0,0], [-0.004276, 0.010079, 0.019090], [-0.137293, -2.137850, -10.042009], [0.521635, -1.940579, -9.432507], [-139.000000, -89.000000, -58.000000], [-56, -130, 1249]]
DATA[3020, 0, [0,0,0], [-0.004734, 0.012370, 0.011148], [-0.098067, -0.156906, -0.137293], [0.512064, -1.931008, -9.449257], [-137.000000, -90.000000, -62.000000], [-53, -141, 1250]]
DATA[3070, 0, [0,0,0], [-0.001374, 0.008552, 0.016799], [-0.039227, -2.157463, -0.137293], [0.524028, -1.911865, -9.485149], [-140.000000, -90.000000, -63.000000], [-41, -133, 1256]]
DATA[3130, 0, [0,0,0], [-0.003054, 0.009010, 0.014966], [-0.058840, -2.079010, -9.924330], [0.509671, -1.954936, -9.434899], [-137.000000, -90.000000, -66.000000], [-41, -137, 1253]]
DATA[3190, 0, [0,0,0], [-0.003971, 0.013286, 0.018326], [-0.098067, -2.059397, -9.963556], [0.521635, -1.935794, -9.511470], [-134.000000, -91.000000, -61.000000], [-45, -125, 1242]]
DATA[3240, 0, [0,0,0], [-0.002291, 0.008858, 0.017562], [-0.078453, -2.118236, -9.963556], [0.495314, -1.940579, -9.461221], [-139.000000, -87.000000, -61.000000], [-45, -137, 1241]]
DATA[3300, 0, [0,0,0], [-0.001374, 0.009010, 0.018021], [-0.058840, -2.137850, -9.904716], [0.514457, -1.964507, -9.425328], [-144.000000, -89.000000, -65.000000], [-51, -147, 1259]]
DATA[3360, 0, [0,0,0], [-0.003207, 0.011301, 0.013439], [0.411879, -2.177076, -9.943943], [0.512064, -1.935794, -9.454042], [-139.000000, -88.000000, -63.000000], [-50, -139, 1252]]
DATA[3410, 0, [0,0,0], [0.000764, 0.010232, 0.015272], [-0.156906, -0.156906, -9.983170], [0.478565, -1.926222, -9.451650], [-134.000000, -88.000000, -62.000000], [-41, -141, 1248]]
DATA[3470, 0, [0,0,0], [0.000611, 0.012370, 0.019242], [-0.058840, -2.137850, -0.137293], [0.497707, -1.897508, -9.525827], [-137.000000, -89.000000, -64.000000], [-38, -137, 1248]]
DATA[3530, 0, [0,0,0], [-0.002291, 0.006720, -0.019395], [-0.078453, -2.059397, -9.943943], [0.502493, -1.935794, -9.521041], [-140.000000, -86.000000, -63.000000], [-37, -137, 1252]]
DATA[3580, 0, [0,0,0], [-0.001374, 0.005956, 0.017104], [-0.156906, -2.177076, -0.156906], [0.509671, -1.926222, -9.466006], [-140.000000, -88.000000, -65.000000], [-41, -135, 1244]]
DATA[3640, 0, [0,0,0], [-0.000764, 0.010690, 0.014966], [-0.058840, -2.157463, -10.257756], [0.512064, -1.911865, -9.461221], [-136.000000, -88.000000, -62.000000], [-39, -141, 1245]]
DATA[3700, 0, [0,0,0], [-0.000916, 0.006414, 0.017104], [-0.058840, -2.157463, -9.963556], [0.500100, -1.902294, -9.403793], [-134.000000, -89.000000, -60.000000], [-44, -139, 1252]]
DATA[3760, 0, [0,0,0], [0.000611, 0.008705, 0.014813], [-0.058840, -2.059397, -9.943943], [0.507278, -1.916651, -9.480363], [-138.000000, -86.000000, -60.000000], [-40, -134, 1250]]
DATA[3810, 0, [0,0,0], [0.000000, 0.010537, 0.011759], [-0.098067, -0.156906, -9.924330], [0.526421, -1.931008, -9.511470], [-140.000000, -88.000000, -66.000000], [-48, -132, 1251]]
DATA[3870, 0, [0,0,0], [0.000916, 0.006109, 0.016952], [-0.137293, -2.079010, -9.924330], [0.497707, -1.916651, -9.468399], [-141.000000, -86.000000, -62.000000], [-47, -130, 1249]]
DATA[3930, 0, [0,0,0], [-0.002291, 0.014050, 0.015119], [-0.019613, -2.098623, -9.924330], [0.528814, -1.907080, -9.525827], [-138.000000, -87.000000, -62.000000], [-38, -131, 1246]]
DATA[3980, 0, [0,0,0], [0.007025, 0.012217, 0.013439], [-0.137293, -2.079010, -9.904716], [0.509671, -1.916651, -9.451650], [-139.000000, -85.000000, -61.000000], [-45, -139, 1243]]
DATA[4040, 0, [0,0,0], [-0.006109, 0.006414, -0.015424], [-0.137293, -2.079010, -0.039227], [0.471386, -1.945365, -9.501899], [-141.000000, -88.000000, -64.000000], [-39, -128, 1250]]
DATA[4100, 0, [0,0,0], [0.000000, 0.010232, 0.018173], [-0.098067, -2.098623, -9.983170], [0.514457, -1.950150, -9.396614], [-142.000000, -87.000000, -63.000000], [-43, -136, 1251]]
DATA[4150, 0, [0,0,0], [0.001374, 0.009010, 0.016341], [-0.156906, -2.079010, -9.943943], [0.519243, -1.950150, -9.458828], [-134.000000, -88.000000, -64.000000], [-39, -138, 1251]]
DATA[4210, 0, [0,0,0], [0.000000, 0.008858, 0.015730], [-0.137293, -2.098623, -10.002783], [0.514457, -1.883151, -9.422935], [-138.000000, -87.000000, -62.000000], [-41, -128, 1252]]
DATA[4270, 0, [0,0,0], [-0.001069, 0.009316, 0.018631], [-0.098067, -2.118236, -10.002783], [0.528814, -1.945365, -9.470792], [-139.000000, -88.000000, -66.000000], [-47, -126, 1247]]
DATA[4320, 0, [0,0,0], [0.000153, 0.005192, 0.014813], [-0.098067, -2.098623, -10.002783], [0.497707, -1.950150, -9.422935], [-140.000000, -89.000000, -64.000000], [-42, -132, 1256]]
DATA[4380, 0, [0,0,0], [0.000764, 0.001680, 0.012675], [-0.078453, -2.137850, -9.924330], [0.519243, -1.921437, -9.451650], [-135.000000, -91.000000, -64.000000], [-45, -138, 1250]]
DATA[4440, 0, [0,0,0], [0.000000, 0.011912, 0.014050], [-0.117680, -2.137850, -0.137293], [0.524028, -1.974079, -9.434899], [-138.000000, -87.000000, -63.000000], [-41, -135, 1251]]
DATA[4490, 0, [0,0,0], [0.000153, 0.007789, 0.015730], [-0.156906, -2.079010, -9.943943], [0.516850, -1.969293, -9.480363], [-142.000000, -87.000000, -64.000000], [-40, -135, 1248]]
