
Thu Jan  1 00:00:01 1970

Flight Log #13
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.036652, 0.015424, 0.041692], [-0.196133, -0.254973, -0.117680], [-0.102891, -0.227318, 9.815358], [-125.000000, -44.000000, -17.000000], [236, 71, 339]]
DATA[120, 0, [0,0,0], [-0.028100, 0.018784, 0.041844], [-0.137293, -0.215746, -0.098067], [-0.069392, -0.169890, 9.824930], [-22.000000, -88.000000, -45.000000], [240, 69, 337]]
DATA[180, 0, [0,0,0], [-0.035277, 0.016035, 0.043524], [-0.235360, -0.235360, -0.019613], [-0.102891, -0.203390, 9.815358], [-22.000000, -87.000000, -41.000000], [242, 72, 340]]
DATA[240, 0, [0,0,0], [-0.035736, 0.012828, 0.039095], [-0.176520, -0.196133, -0.098067], [-0.095713, -0.236889, 9.810573], [-25.000000, -84.000000, -39.000000], [233, 76, 339]]
DATA[300, 0, [0,0,0], [-0.036041, 0.011606, 0.040164], [-0.215746, -0.176520, -0.078453], [-0.086142, -0.193819, 9.781859], [-20.000000, -85.000000, -41.000000], [233, 72, 347]]
DATA[360, 0, [0,0,0], [-0.032376, 0.012981, 0.042302], [-0.078453, -0.098067, -0.156906], [-0.059821, -0.241675, 9.829716], [-24.000000, -83.000000, -41.000000], [244, 76, 342]]
DATA[420, 0, [0,0,0], [-0.027947, 0.011301, 0.043982], [-0.156906, -0.156906, -0.039227], [-0.083749, -0.184247, 9.810573], [-23.000000, -87.000000, -45.000000], [229, 75, 328]]
DATA[480, 0, [0,0,0], [-0.029169, 0.012981, 0.041233], [-0.176520, -0.215746, -0.039227], [-0.076570, -0.193819, 9.815358], [-27.000000, -87.000000, -43.000000], [237, 70, 346]]
DATA[540, 0, [0,0,0], [-0.035430, 0.011454, 0.040928], [-0.215746, -0.176520, -0.098067], [-0.076570, -0.217747, 9.829716], [-22.000000, -83.000000, -41.000000], [229, 71, 339]]
DATA[600, 0, [0,0,0], [-0.031918, 0.009163, -0.001222], [-0.196133, -0.196133, 10.179303], [-0.076570, -0.217747, 9.829716], [-23.000000, -84.000000, -41.000000], [238, 67, 340]]
