
Thu Jan  1 00:08:32 1970

Flight Log #9
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [0.000458, 0.010232, 0.010996], [9.492837, -0.176520, 1.922103], [9.485149, -0.260818, 1.655833], [-89.000000, -215.000000, -152.000000], [-381, -227, 706]]
DATA[120, 0, [0,0,0], [0.003818, 0.012370, 0.015730], [9.433997, -0.078453, -0.019613], [9.494720, -0.234497, 1.679762], [-92.000000, -215.000000, -151.000000], [-387, -225, 705]]
DATA[170, 0, [0,0,0], [0.006720, 0.009927, 0.012675], [-0.039227, -0.098067, 1.902490], [9.480363, -0.232104, 1.655833], [-90.000000, -218.000000, -151.000000], [-384, -229, 701]]
DATA[230, 0, [0,0,0], [0.003971, 0.010232, 0.014508], [9.532063, -0.156906, -0.019613], [9.442079, -0.236889, 1.655833], [-91.000000, -213.000000, -154.000000], [-376, -230, 713]]
DATA[290, 0, [0,0,0], [0.000764, 0.006567, -0.019090], [9.512450, -0.196133, 1.882877], [9.468399, -0.241675, 1.674976], [-89.000000, -219.000000, -153.000000], [-381, -225, 701]]
DATA[340, 0, [0,0,0], [0.001985, 0.012675, 0.015119], [9.532063, -0.176520, -0.039227], [9.468399, -0.251246, 1.684547], [-90.000000, -217.000000, -151.000000], [-378, -224, 704]]
DATA[400, 0, [0,0,0], [-0.000611, 0.007483, 0.018631], [-0.019613, -0.137293, -0.098067], [9.461221, -0.282353, 1.698904], [-92.000000, -216.000000, -156.000000], [-379, -225, 708]]
DATA[460, 0, [0,0,0], [0.002291, 0.013439, 0.013286], [9.512450, -0.137293, 1.902490], [9.475577, -0.227318, 1.698904], [-85.000000, -221.000000, -156.000000], [-378, -229, 699]]
DATA[520, 0, [0,0,0], [0.003818, 0.013744, 0.017104], [9.492837, -0.215746, -0.019613], [9.434899, -0.256032, 1.665405], [-89.000000, -222.000000, -154.000000], [-372, -222, 710]]
DATA[570, 0, [0,0,0], [-0.000916, 0.012370, 0.016646], [-0.039227, -0.058840, 1.882877], [9.470792, -0.222533, 1.679762], [-91.000000, -215.000000, -152.000000], [-374, -223, 702]]
DATA[630, 0, [0,0,0], [0.005956, 0.013439, 0.013134], [-0.039227, -0.137293, -0.019613], [9.463614, -0.246461, 1.698904], [-92.000000, -216.000000, -154.000000], [-378, -225, 708]]
DATA[690, 0, [0,0,0], [-0.000611, 0.005040, -0.012523], [9.414384, -0.078453, 2.000557], [9.473185, -0.248854, 1.698904], [-89.000000, -215.000000, -157.000000], [-378, -232, 709]]
DATA[750, 0, [0,0,0], [-0.005498, 0.011148, 0.014966], [9.473224, -0.117680, 1.922103], [9.477970, -0.277567, 1.674976], [-89.000000, -214.000000, -157.000000], [-374, -224, 713]]
DATA[800, 0, [0,0,0], [-0.000305, 0.012981, 0.019242], [9.453610, -0.176520, 1.882877], [9.466006, -0.241675, 1.694118], [-88.000000, -218.000000, -150.000000], [-377, -223, 701]]
DATA[860, 0, [0,0,0], [0.003054, 0.015882, 0.018479], [9.433997, -0.137293, -0.058840], [9.485149, -0.244068, 1.660619], [-91.000000, -219.000000, -150.000000], [-380, -227, 703]]
DATA[920, 0, [0,0,0], [0.006109, 0.013286, 0.013134], [9.453610, -0.117680, 1.941717], [9.475577, -0.241675, 1.660619], [-93.000000, -215.000000, -151.000000], [-381, -233, 698]]
DATA[980, 0, [0,0,0], [0.002902, 0.010996, 0.016952], [9.414384, -0.058840, 1.902490], [9.475577, -0.260818, 1.660619], [-85.000000, -215.000000, -156.000000], [-379, -229, 709]]
DATA[1030, 0, [0,0,0], [0.003360, 0.006109, 0.017715], [9.473224, -0.176520, 1.882877], [9.461221, -0.198604, 1.684547], [-87.000000, -218.000000, -155.000000], [-375, -225, 705]]
DATA[1090, 0, [0,0,0], [0.004734, 0.010385, 0.012370], [9.433997, -0.176520, -0.078453], [9.451650, -0.251246, 1.665405], [-88.000000, -218.000000, -149.000000], [-384, -235, 694]]
DATA[1150, 0, [0,0,0], [0.006414, 0.013744, 0.011606], [9.453610, -0.098067, 1.902490], [9.482756, -0.270389, 1.670190], [-90.000000, -218.000000, -153.000000], [-378, -224, 714]]
DATA[1200, 0, [0,0,0], [0.005956, 0.008705, 0.016646], [9.473224, -0.196133, 1.922103], [9.480363, -0.241675, 1.641476], [-90.000000, -220.000000, -157.000000], [-383, -221, 701]]
DATA[1270, 0, [0,0,0], [0.002596, 0.016341, 0.013134], [9.492837, -0.215746, -0.019613], [9.449257, -0.251246, 1.689333], [-88.000000, -216.000000, -157.000000], [-382, -224, 707]]
DATA[1320, 0, [0,0,0], [0.000153, 0.013592, 0.014355], [9.453610, -0.117680, 1.941717], [9.475577, -0.246461, 1.646262], [-90.000000, -216.000000, -150.000000], [-376, -222, 711]]
DATA[1380, 0, [0,0,0], [0.004887, 0.011301, 0.013744], [9.512450, -0.235360, 1.961330], [9.473185, -0.227318, 1.703690], [-89.000000, -218.000000, -152.000000], [-383, -225, 708]]
DATA[1440, 0, [0,0,0], [0.003360, 0.013592, 0.017715], [9.453610, -0.196133, 1.882877], [9.480363, -0.232104, 1.679762], [-91.000000, -217.000000, -154.000000], [-380, -224, 700]]
DATA[1490, 0, [0,0,0], [0.001527, 0.009163, 0.016341], [9.473224, -0.098067, -0.078453], [9.432507, -0.265603, 1.651048], [-89.000000, -218.000000, -157.000000], [-377, -219, 707]]
DATA[1550, 0, [0,0,0], [0.005651, 0.013286, -0.017410], [9.473224, -0.156906, -0.039227], [9.477970, -0.256032, 1.674976], [-88.000000, -218.000000, -151.000000], [-380, -227, 709]]
DATA[1610, 0, [0,0,0], [0.003818, 0.008247, 0.017410], [9.473224, -0.156906, 1.922103], [9.485149, -0.246461, 1.674976], [-89.000000, -217.000000, -153.000000], [-380, -232, 708]]
DATA[1660, 0, [0,0,0], [0.004276, 0.013134, 0.013744], [9.453610, -0.196133, 1.902490], [9.482756, -0.236889, 1.670190], [-87.000000, -217.000000, -153.000000], [-381, -231, 710]]
DATA[1730, 0, [0,0,0], [0.001985, 0.015119, 0.013134], [9.512450, -0.156906, -0.039227], [9.489935, -0.248854, 1.641476], [-92.000000, -217.000000, -150.000000], [-377, -229, 709]]
DATA[1780, 0, [0,0,0], [0.007178, 0.013134, 0.014355], [-0.019613, -0.078453, -0.019613], [9.480363, -0.260818, 1.665405], [-87.000000, -214.000000, -154.000000], [-380, -228, 700]]
DATA[1840, 0, [0,0,0], [0.002596, 0.008247, 0.016493], [9.414384, -0.137293, -0.078453], [9.463614, -0.246461, 1.660619], [-88.000000, -216.000000, -154.000000], [-382, -228, 698]]
DATA[1900, 0, [0,0,0], [0.000153, 0.010385, 0.010690], [-0.019613, -0.196133, 1.882877], [9.470792, -0.251246, 1.651048], [-90.000000, -216.000000, -153.000000], [-380, -227, 714]]
DATA[1950, 0, [0,0,0], [0.001374, 0.010996, 0.016799], [9.492837, -0.215746, -0.019613], [9.442079, -0.212961, 1.655833], [-90.000000, -217.000000, -155.000000], [-377, -220, 711]]
DATA[2010, 0, [0,0,0], [0.002749, 0.016035, 0.009774], [9.453610, -0.156906, -0.019613], [9.504292, -0.263211, 1.679762], [-89.000000, -221.000000, -154.000000], [-380, -230, 702]]
DATA[2070, 0, [0,0,0], [0.006109, 0.007789, 0.013286], [9.414384, 0.000000, 1.922103], [9.470792, -0.258425, 1.660619], [-91.000000, -215.000000, -154.000000], [-379, -223, 710]]
DATA[2130, 0, [0,0,0], [0.006261, 0.013744, 0.016952], [9.473224, -0.117680, 1.882877], [9.456435, -0.217747, 1.660619], [-88.000000, -216.000000, -148.000000], [-380, -226, 710]]
DATA[2190, 0, [0,0,0], [0.000153, 0.013744, 0.010232], [-0.019613, -0.137293, 1.902490], [9.489935, -0.256032, 1.660619], [-89.000000, -215.000000, -154.000000], [-382, -227, 710]]
DATA[2250, 0, [0,0,0], [0.002138, 0.010232, 0.016035], [9.414384, -0.254973, 1.902490], [9.456435, -0.241675, 1.641476], [-92.000000, -215.000000, -153.000000], [-378, -223, 718]]
DATA[2300, 0, [0,0,0], [0.002596, 0.006720, 0.013439], [9.551678, -0.176520, 1.922103], [9.456435, -0.241675, 1.631905], [-88.000000, -218.000000, -154.000000], [-385, -233, 710]]
DATA[2360, 0, [0,0,0], [0.002749, 0.007941, 0.012828], [9.453610, -0.078453, -0.019613], [9.463614, -0.246461, 1.684547], [-87.000000, -218.000000, -152.000000], [-381, -229, 709]]
DATA[2420, 0, [0,0,0], [0.004429, 0.008247, 0.018173], [9.453610, -0.156906, 1.902490], [9.475577, -0.208176, 1.679762], [-90.000000, -215.000000, -154.000000], [-384, -228, 713]]
DATA[2480, 0, [0,0,0], [0.002902, 0.012217, 0.008858], [9.237864, -0.117680, -0.137293], [9.456435, -0.251246, 1.703690], [-89.000000, -218.000000, -151.000000], [-383, -227, 701]]
DATA[2530, 0, [0,0,0], [0.002902, 0.010843, 0.010537], [9.414384, -0.117680, -0.019613], [9.454042, -0.267996, 1.665405], [-88.000000, -217.000000, -154.000000], [-378, -228, 715]]
DATA[2590, 0, [0,0,0], [-0.000458, 0.011454, 0.018021], [9.473224, -0.156906, 1.922103], [9.446864, -0.251246, 1.665405], [-92.000000, -217.000000, -156.000000], [-378, -223, 709]]
DATA[2650, 0, [0,0,0], [0.004123, 0.010385, 0.013439], [9.453610, -0.156906, -0.039227], [9.461221, -0.251246, 1.696511], [-92.000000, -219.000000, -154.000000], [-388, -226, 701]]
DATA[2710, 0, [0,0,0], [0.002138, 0.011759, 0.018173], [9.532063, -0.137293, -0.078453], [9.470792, -0.222533, 1.660619], [-91.000000, -217.000000, -153.000000], [-378, -225, 707]]
DATA[2770, 0, [0,0,0], [0.002596, 0.011454, 0.018937], [9.473224, -0.176520, 2.000557], [9.477970, -0.260818, 1.684547], [-86.000000, -218.000000, -154.000000], [-383, -217, 715]]
DATA[2820, 0, [0,0,0], [-0.000153, 0.009621, 0.015424], [9.473224, -0.078453, 1.902490], [9.454042, -0.256032, 1.674976], [-88.000000, -215.000000, -152.000000], [-387, -221, 713]]
DATA[2880, 0, [0,0,0], [0.004429, 0.008858, 0.018326], [9.433997, -0.176520, -0.019613], [9.463614, -0.236889, 1.665405], [-86.000000, -217.000000, -150.000000], [-376, -219, 717]]
DATA[2940, 0, [0,0,0], [0.002291, 0.010690, 0.016952], [9.453610, -0.098067, -0.019613], [9.487542, -0.251246, 1.713261], [-87.000000, -216.000000, -151.000000], [-383, -229, 705]]
DATA[2990, 0, [0,0,0], [0.002596, 0.010996, 0.013744], [9.414384, -0.137293, -0.019613], [9.473185, -0.246461, 1.689333], [-90.000000, -218.000000, -157.000000], [-376, -221, 710]]
DATA[3050, 0, [0,0,0], [-0.000458, 0.011912, 0.014355], [-0.019613, -0.156906, -0.039227], [9.475577, -0.241675, 1.674976], [-88.000000, -219.000000, -154.000000], [-383, -221, 707]]
DATA[3110, 0, [0,0,0], [-0.000916, 0.010079, 0.014508], [9.492837, -0.137293, 1.882877], [9.521041, -0.267996, 1.655833], [-90.000000, -218.000000, -153.000000], [-385, -226, 713]]
DATA[3160, 0, [0,0,0], [0.004276, 0.012828, 0.014966], [-0.058840, -0.176520, 1.902490], [9.463614, -0.246461, 1.651048], [-90.000000, -216.000000, -154.000000], [-384, -230, 706]]
DATA[3230, 0, [0,0,0], [0.006872, 0.007636, 0.012065], [9.473224, -0.215746, 1.961330], [9.475577, -0.236889, 1.679762], [-92.000000, -218.000000, -153.000000], [-380, -223, 694]]
DATA[3280, 0, [0,0,0], [0.005803, 0.012981, 0.013134], [9.453610, -0.196133, 1.902490], [9.470792, -0.227318, 1.651048], [-88.000000, -219.000000, -154.000000], [-379, -227, 705]]
DATA[3340, 0, [0,0,0], [0.002138, 0.010996, 0.018021], [-0.019613, -0.137293, -0.019613], [9.437292, -0.265603, 1.655833], [-91.000000, -217.000000, -153.000000], [-378, -222, 707]]
DATA[3400, 0, [0,0,0], [0.003818, 0.011148, 0.013286], [9.473224, -0.196133, -0.078453], [9.475577, -0.236889, 1.684547], [-91.000000, -217.000000, -149.000000], [-384, -227, 707]]
DATA[3450, 0, [0,0,0], [0.003360, 0.011606, 0.014661], [9.453610, -0.058840, 2.020170], [9.504292, -0.253639, 1.689333], [-90.000000, -217.000000, -150.000000], [-381, -227, 715]]
DATA[3510, 0, [0,0,0], [0.005498, 0.010690, 0.014966], [9.453610, -0.196133, 1.882877], [9.456435, -0.241675, 1.679762], [-88.000000, -216.000000, -154.000000], [-383, -229, 702]]
DATA[3570, 0, [0,0,0], [0.003207, 0.014203, 0.016341], [9.512450, -0.137293, -0.137293], [9.470792, -0.277567, 1.689333], [-91.000000, -214.000000, -153.000000], [-384, -232, 715]]
DATA[3630, 0, [0,0,0], [0.001374, 0.011301, -0.019548], [-0.156906, -0.137293, 1.902490], [9.466006, -0.260818, 1.674976], [-86.000000, -215.000000, -152.000000], [-378, -227, 692]]
