
Thu Jan  1 00:15:54 1970

Flight Log #10
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1580, 0, [0,0,0], [-0.002138, 0.015272, 0.017104], [-9.688971, -0.156906, -0.156906], [-9.501899, 0.043071, 1.588834], [-3.000000, -222.000000, -154.000000], [482, -240, 742]]
DATA[1640, 0, [0,0,0], [0.003054, 0.009316, 0.015730], [-9.708584, -0.137293, 1.686744], [-9.458828, 0.047856, 1.622334], [-1.000000, -221.000000, -152.000000], [480, -235, 740]]
DATA[1690, 0, [0,0,0], [0.000916, 0.010079, 0.015119], [-9.649744, -0.137293, -0.117680], [-9.487542, 0.066999, 1.603191], [512.000000, -224.000000, -152.000000], [469, -228, 739]]
DATA[1750, 0, [0,0,0], [-0.002902, 0.007789, -0.019242], [-9.610518, -0.039227, -0.117680], [-9.530613, 0.038285, 1.598405], [-2.000000, -221.000000, -156.000000], [474, -238, 733]]
DATA[1810, 0, [0,0,0], [-0.001222, 0.012065, 0.017104], [-9.590904, -0.098067, -0.098067], [-9.454042, 0.076570, 1.617548], [-1.000000, -219.000000, -158.000000], [470, -240, 740]]
DATA[1860, 0, [0,0,0], [0.001069, 0.012370, -0.018631], [-9.630131, -0.137293, 1.706357], [-9.475577, 0.076570, 1.631905], [-1.000000, -219.000000, -155.000000], [471, -231, 736]]
DATA[1910, 0, [0,0,0], [-0.002443, 0.010996, -0.018784], [-9.649744, -0.098067, 1.608291], [-9.501899, 0.086142, 1.603191], [-2.000000, -222.000000, -152.000000], [476, -233, 742]]
DATA[1970, 0, [0,0,0], [-0.004734, 0.008858, 0.017715], [-9.590904, -0.156906, 1.686744], [-9.494720, 0.052642, 1.636691], [-4.000000, -221.000000, -152.000000], [476, -238, 734]]
DATA[2020, 0, [0,0,0], [-0.000611, 0.007330, -0.019395], [-9.708584, -0.117680, -0.156906], [-9.509077, 0.095713, 1.636691], [-1.000000, -222.000000, -154.000000], [477, -237, 734]]
DATA[2070, 0, [0,0,0], [-0.001222, 0.012370, 0.016341], [-9.688971, -0.137293, -0.117680], [-9.456435, 0.071785, 1.607977], [-1.000000, -221.000000, -154.000000], [474, -226, 738]]
DATA[2130, 0, [0,0,0], [-0.002443, 0.010690, -0.019242], [-0.156906, -0.039227, 1.706357], [-9.499506, 0.081356, 1.631905], [-3.000000, -220.000000, -154.000000], [472, -235, 732]]
DATA[2180, 0, [0,0,0], [0.000305, 0.011148, 0.018173], [-9.649744, -0.176520, -0.137293], [-9.485149, 0.086142, 1.593620], [-3.000000, -218.000000, -154.000000], [480, -234, 735]]
DATA[2240, 0, [0,0,0], [0.000458, 0.011606, 0.019090], [-9.688971, -0.137293, -0.117680], [-9.473185, 0.062213, 1.612762], [-1.000000, -219.000000, -156.000000], [478, -233, 734]]
DATA[2290, 0, [0,0,0], [-0.000916, 0.013592, 0.018479], [-9.630131, -0.176520, 1.627904], [-9.513863, 0.081356, 1.612762], [513.000000, -223.000000, -153.000000], [476, -229, 735]]
DATA[2350, 0, [0,0,0], [-0.004734, 0.014966, -0.017562], [-9.669357, -0.137293, 1.667130], [-9.516255, 0.057428, 1.607977], [-2.000000, -223.000000, -151.000000], [475, -237, 749]]
