
Thu Jan  1 00:00:01 1970

Flight Log #5
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1290, 0, [0,0,0], [-0.001222, 0.016493, 0.041233], [0.000000, -0.902212, 10.081236], [0.004786, -0.859023, 9.659825], [280.000000, 45.000000, -672.000000], [228, -36, 262]]
DATA[1340, 0, [0,0,0], [-0.016188, 0.012217, 0.041997], [0.019613, -0.058840, 10.100849], [0.019143, -0.899701, 9.923036], [286.000000, 43.000000, -671.000000], [219, -40, 259]]
DATA[1380, 0, [0,0,0], [-0.028405, 0.007330, 0.044135], [-0.058840, -0.039227, -0.019613], [0.023928, -0.887737, 9.966106], [282.000000, 40.000000, -675.000000], [225, -40, 258]]
DATA[1420, 0, [0,0,0], [-0.012217, 0.011148, -0.000916], [-0.058840, -0.804145, -0.039227], [0.002393, -0.885344, 9.911072], [285.000000, 48.000000, -671.000000], [220, -36, 262]]
DATA[1470, 0, [0,0,0], [-0.066126, 0.009468, 0.042150], [-0.098067, -0.137293, 10.140077], [-0.057428, -0.921237, 9.949356], [281.000000, 42.000000, -673.000000], [217, -36, 251]]
DATA[1510, 0, [0,0,0], [-0.019242, 0.005498, -0.001527], [-0.058840, -0.039227, -0.019613], [-0.035892, -0.899701, 9.868001], [281.000000, 46.000000, -675.000000], [226, -37, 260]]
DATA[1560, 0, [0,0,0], [-0.029780, 0.012523, 0.040775], [-0.117680, -1.157185, -0.078453], [0.095713, -0.866202, 9.786645], [280.000000, 46.000000, -671.000000], [224, -34, 259]]
DATA[1600, 0, [0,0,0], [-0.010843, -0.019090, 0.043066], [-0.098067, -0.117680, 10.159690], [0.016750, -0.909273, 9.755538], [280.000000, 48.000000, -671.000000], [223, -33, 259]]
DATA[1640, 0, [0,0,0], [-0.021686, -0.017715, 0.042913], [-0.058840, -0.941438, 10.159690], [-0.026321, -0.890130, 9.745967], [282.000000, 47.000000, -670.000000], [223, -36, 254]]
DATA[1680, 0, [0,0,0], [-0.021838, 0.010690, -0.001222], [-0.215746, -0.137293, 10.061623], [0.000000, -0.842274, 9.801002], [282.000000, 47.000000, -675.000000], [225, -35, 258]]
