
Thu Jan  1 00:00:01 1970

Flight Log #6
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[0, 0, [0,0,0], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0.000000, 0.000000, 0.000000], [0, 0, 0]]
DATA[60, 0, [0,0,0], [-0.034667, 0.014203, 0.039554], [0.000000, -0.117680, -0.058840], [0.023928, -0.064606, 9.820144], [-73.000000, -226.000000, -74.000000], [-40, -215, 359]]
DATA[120, 0, [0,0,0], [-0.034819, 0.013134, -0.000458], [-0.039227, -0.196133, -0.078453], [0.043071, -0.107677, 9.834501], [-71.000000, -225.000000, -73.000000], [-42, -215, 357]]
DATA[170, 0, [0,0,0], [-0.037415, 0.015882, 0.040317], [-0.039227, -0.215746, 10.375436], [0.057428, -0.069392, 9.824930], [-73.000000, -225.000000, -75.000000], [-35, -211, 360]]
DATA[230, 0, [0,0,0], [-0.036957, 0.011301, -0.002902], [-0.058840, -0.117680, 10.395049], [0.043071, -0.117248, 9.815358], [-73.000000, -221.000000, -76.000000], [-37, -216, 353]]
DATA[290, 0, [0,0,0], [-0.034514, 0.010843, 0.041692], [-0.039227, -0.156906, -0.078453], [0.062213, -0.126820, 9.805787], [-71.000000, -222.000000, -72.000000], [-34, -209, 356]]
DATA[340, 0, [0,0,0], [-0.031307, 0.012370, 0.045968], [-0.137293, -0.117680, -0.117680], [0.043071, -0.107677, 9.772287], [-73.000000, -222.000000, -72.000000], [-29, -214, 359]]
DATA[390, 0, [0,0,0], [-0.031460, 0.011454, 0.041081], [0.019613, -0.196133, -0.156906], [0.011964, -0.122034, 9.829716], [-74.000000, -220.000000, -75.000000], [-35, -212, 357]]
DATA[450, 0, [0,0,0], [-0.034514, 0.016035, 0.042150], [-0.078453, -0.176520, -0.058840], [0.038285, -0.107677, 9.858429], [-75.000000, -223.000000, -74.000000], [-32, -221, 363]]
DATA[510, 0, [0,0,0], [-0.037415, 0.014355, -0.001985], [-0.039227, -0.196133, -0.019613], [0.033500, -0.122034, 9.829716], [-69.000000, -225.000000, -73.000000], [-32, -213, 361]]
DATA[560, 0, [0,0,0], [-0.032681, 0.010385, -0.001527], [-0.039227, -0.215746, -0.058840], [0.016750, -0.122034, 9.805787], [-71.000000, -221.000000, -73.000000], [-28, -214, 354]]
DATA[620, 0, [0,0,0], [-0.033750, 0.013439, 0.039401], [-0.117680, -0.137293, 10.355823], [0.028714, -0.117248, 9.820144], [-76.000000, -222.000000, -75.000000], [-34, -217, 363]]
DATA[680, 0, [0,0,0], [-0.035125, 0.014661, -0.000611], [-0.019613, -0.196133, 10.179303], [0.031107, -0.093320, 9.824930], [-74.000000, -223.000000, -74.000000], [-34, -213, 351]]
DATA[740, 0, [0,0,0], [-0.032987, 0.012370, 0.041081], [-0.117680, -0.137293, -0.019613], [0.021535, -0.122034, 9.810573], [-75.000000, -222.000000, -71.000000], [-33, -203, 360]]
DATA[790, 0, [0,0,0], [-0.035888, 0.013439, 0.040317], [-0.058840, -0.117680, 10.395049], [0.009571, -0.083749, 9.848858], [-69.000000, -222.000000, -75.000000], [-33, -213, 361]]
DATA[840, 0, [0,0,0], [-0.031918, 0.014355, -0.001833], [-0.098067, -0.176520, -0.019613], [0.043071, -0.112463, 9.844072], [-72.000000, -224.000000, -75.000000], [-41, -216, 363]]
DATA[910, 0, [0,0,0], [-0.039095, 0.011606, 0.040928], [-0.039227, -0.215746, 10.375436], [0.014357, -0.102891, 9.858429], [-70.000000, -224.000000, -74.000000], [-32, -214, 359]]
DATA[960, 0, [0,0,0], [-0.038637, 0.009774, -0.003818], [-0.019613, -0.176520, -0.058840], [0.038285, -0.078963, 9.820144], [-69.000000, -224.000000, -73.000000], [-34, -209, 357]]
DATA[1010, 0, [0,0,0], [-0.032529, 0.015272, -0.000305], [-0.019613, -0.156906, 10.355823], [0.004786, -0.102891, 9.848858], [-74.000000, -224.000000, -76.000000], [-36, -207, 355]]
DATA[1070, 0, [0,0,0], [-0.033139, 0.004581, 0.039554], [-0.019613, -0.196133, 10.414662], [0.033500, -0.122034, 9.848858], [-75.000000, -222.000000, -74.000000], [-36, -215, 346]]
DATA[1130, 0, [0,0,0], [-0.033903, 0.010690, 0.043830], [-0.117680, -0.196133, -0.019613], [0.002393, -0.107677, 9.834501], [-74.000000, -226.000000, -78.000000], [-34, -212, 351]]
DATA[1180, 0, [0,0,0], [-0.036346, 0.014813, 0.040164], [-0.078453, -0.137293, -0.058840], [0.014357, -0.088534, 9.801002], [-72.000000, -226.000000, -73.000000], [-31, -209, 362]]
DATA[1240, 0, [0,0,0], [-0.032070, 0.011912, 0.040470], [-0.019613, -0.215746, -0.019613], [0.043071, -0.098106, 9.820144], [-68.000000, -225.000000, -73.000000], [-29, -209, 360]]
DATA[1290, 0, [0,0,0], [-0.037415, 0.012217, -0.001222], [-0.117680, -0.235360, -0.156906], [0.043071, -0.122034, 9.824930], [-74.000000, -223.000000, -73.000000], [-34, -214, 358]]
DATA[1350, 0, [0,0,0], [-0.034667, 0.010996, 0.041081], [-0.078453, -0.235360, -0.039227], [0.031107, -0.112463, 9.815358], [-73.000000, -223.000000, -76.000000], [-34, -211, 355]]
DATA[1410, 0, [0,0,0], [-0.035583, 0.013439, 0.040623], [-0.058840, -0.176520, -0.137293], [0.028714, -0.150748, 9.810573], [-73.000000, -221.000000, -73.000000], [-29, -210, 366]]
DATA[1460, 0, [0,0,0], [-0.032223, 0.012828, 0.039248], [-0.039227, -0.196133, 10.355823], [0.031107, -0.112463, 9.824930], [-73.000000, -226.000000, -75.000000], [-38, -210, 353]]
DATA[1520, 0, [0,0,0], [-0.034819, 0.011912, 0.039248], [-0.058840, -0.156906, 10.355823], [0.009571, -0.141177, 9.805787], [-73.000000, -222.000000, -74.000000], [-37, -212, 357]]
DATA[1580, 0, [0,0,0], [-0.036805, 0.009163, -0.002749], [-0.098067, -0.137293, -0.039227], [0.026321, -0.098106, 9.820144], [-75.000000, -219.000000, -75.000000], [-35, -211, 354]]
DATA[1630, 0, [0,0,0], [-0.035125, 0.009163, 0.040623], [-0.058840, -0.156906, -0.058840], [0.007178, -0.083749, 9.815358], [-69.000000, -226.000000, -73.000000], [-36, -210, 358]]
DATA[1690, 0, [0,0,0], [-0.031765, 0.008399, 0.041081], [0.000000, -0.117680, -0.078453], [0.066999, -0.074178, 9.844072], [-72.000000, -224.000000, -74.000000], [-30, -215, 353]]
DATA[1750, 0, [0,0,0], [-0.031307, 0.014203, -0.003054], [-0.098067, -0.117680, -0.039227], [0.040678, -0.117248, 9.815358], [-74.000000, -227.000000, -75.000000], [-35, -209, 359]]
DATA[1800, 0, [0,0,0], [-0.035277, 0.009621, -0.003360], [-0.039227, -0.137293, -0.019613], [0.047856, -0.122034, 9.824930], [-71.000000, -223.000000, -75.000000], [-33, -203, 350]]
DATA[1860, 0, [0,0,0], [-0.037568, 0.014966, 0.039859], [-0.058840, -0.117680, -0.058840], [0.038285, -0.102891, 9.834501], [-72.000000, -223.000000, -74.000000], [-33, -207, 354]]
DATA[1910, 0, [0,0,0], [-0.032987, 0.010079, 0.045662], [-0.098067, -0.117680, -0.039227], [0.040678, -0.112463, 9.810573], [-71.000000, -222.000000, -75.000000], [-36, -212, 353]]
DATA[1970, 0, [0,0,0], [-0.034208, 0.011148, 0.040317], [0.000000, -0.137293, -0.039227], [0.016750, -0.107677, 9.858429], [-78.000000, -221.000000, -75.000000], [-30, -208, 356]]
DATA[2030, 0, [0,0,0], [-0.037874, 0.012828, -0.001527], [0.019613, -0.117680, -0.019613], [0.026321, -0.098106, 9.810573], [-75.000000, -222.000000, -72.000000], [-37, -215, 358]]
DATA[2080, 0, [0,0,0], [-0.033445, 0.012981, 0.039706], [-0.058840, -0.215746, -0.058840], [0.033500, -0.122034, 9.801002], [-69.000000, -223.000000, -74.000000], [-33, -212, 355]]
DATA[2130, 0, [0,0,0], [-0.028100, 0.014508, 0.040623], [0.000000, -0.137293, 10.375436], [0.040678, -0.145962, 9.829716], [-71.000000, -220.000000, -74.000000], [-36, -205, 360]]
DATA[2200, 0, [0,0,0], [-0.035125, 0.010079, 0.040012], [-0.078453, -0.235360, -0.156906], [0.038285, -0.088534, 9.815358], [-71.000000, -224.000000, -72.000000], [-33, -208, 365]]
DATA[2250, 0, [0,0,0], [-0.000153, 0.012217, 0.041233], [-0.019613, -0.176520, -0.039227], [0.038285, -0.102891, 9.810573], [-71.000000, -222.000000, -76.000000], [-32, -211, 361]]
DATA[2300, 0, [0,0,0], [-0.037110, 0.011454, -0.002749], [-0.019613, -0.117680, -0.058840], [0.009571, -0.083749, 9.839287], [-71.000000, -222.000000, -75.000000], [-27, -223, 363]]
DATA[2360, 0, [0,0,0], [-0.029627, 0.013286, 0.040012], [-0.196133, -0.137293, -0.098067], [0.011964, -0.131605, 9.820144], [-68.000000, -223.000000, -74.000000], [-32, -215, 365]]
DATA[2410, 0, [0,0,0], [-0.036652, 0.010690, 0.043371], [-0.098067, -0.078453, -0.098067], [0.002393, -0.117248, 9.829716], [-72.000000, -222.000000, -73.000000], [-35, -214, 358]]
DATA[2480, 0, [0,0,0], [-0.033292, 0.009621, -0.003360], [-0.117680, -0.176520, -0.137293], [0.038285, -0.088534, 9.848858], [-74.000000, -223.000000, -75.000000], [-33, -209, 363]]
DATA[2530, 0, [0,0,0], [-0.031154, 0.011759, 0.041692], [-0.098067, -0.176520, -0.078453], [0.007178, -0.112463, 9.820144], [-74.000000, -222.000000, -75.000000], [-35, -211, 356]]
DATA[2580, 0, [0,0,0], [-0.035736, 0.015119, -0.003360], [-0.078453, -0.137293, -0.117680], [0.038285, -0.088534, 9.815358], [-71.000000, -225.000000, -73.000000], [-39, -208, 349]]
DATA[2640, 0, [0,0,0], [-0.033903, 0.008705, 0.046731], [-0.039227, -0.196133, 10.434276], [0.019143, -0.126820, 9.801002], [-70.000000, -224.000000, -75.000000], [-35, -210, 351]]
DATA[2700, 0, [0,0,0], [-0.033445, 0.014661, -0.000764], [-0.039227, -0.098067, -0.039227], [0.066999, -0.102891, 9.791430], [-70.000000, -223.000000, -75.000000], [-39, -207, 361]]
DATA[2750, 0, [0,0,0], [-0.034208, 0.011148, -0.005192], [-0.039227, -0.215746, -0.078453], [0.000000, -0.117248, 9.834501], [-72.000000, -222.000000, -75.000000], [-37, -209, 368]]
DATA[2810, 0, [0,0,0], [-0.029932, 0.012981, -0.002291], [-0.019613, -0.137293, 10.355823], [0.035892, -0.102891, 9.824930], [-68.000000, -221.000000, -74.000000], [-38, -205, 355]]
DATA[2860, 0, [0,0,0], [-0.035430, 0.013592, -0.002443], [-0.058840, -0.098067, 10.375436], [0.043071, -0.131605, 9.796216], [-71.000000, -224.000000, -73.000000], [-34, -207, 361]]
DATA[2920, 0, [0,0,0], [-0.029322, 0.007636, 0.043219], [-0.078453, -0.137293, 10.355823], [0.011964, -0.122034, 9.805787], [-72.000000, -223.000000, -78.000000], [-33, -213, 355]]
DATA[2980, 0, [0,0,0], [-0.025198, 0.011454, -0.000458], [-0.058840, -0.176520, -0.078453], [0.045464, -0.098106, 9.858429], [-72.000000, -221.000000, -74.000000], [-35, -207, 349]]
DATA[3030, 0, [0,0,0], [-0.032987, 0.009621, 0.039248], [-0.078453, -0.176520, -0.137293], [0.002393, -0.093320, 9.801002], [-69.000000, -226.000000, -74.000000], [-37, -207, 360]]
DATA[3090, 0, [0,0,0], [-0.037110, 0.011454, -0.001985], [-0.078453, -0.196133, 10.355823], [0.033500, -0.117248, 9.824930], [-70.000000, -223.000000, -74.000000], [-31, -207, 355]]
DATA[3150, 0, [0,0,0], [-0.034056, 0.013134, -0.001222], [-0.058840, -0.176520, -0.019613], [0.023928, -0.102891, 9.815358], [-74.000000, -227.000000, -73.000000], [-31, -204, 363]]
DATA[3200, 0, [0,0,0], [-0.033903, 0.013134, -0.000916], [-0.078453, -0.156906, -0.098067], [0.040678, -0.131605, 9.829716], [-71.000000, -224.000000, -74.000000], [-38, -212, 366]]
DATA[3250, 0, [0,0,0], [-0.036957, 0.010232, 0.039401], [-0.019613, -0.176520, -0.078453], [0.052642, -0.122034, 9.834501], [-68.000000, -224.000000, -74.000000], [-43, -209, 355]]
DATA[3310, 0, [0,0,0], [-0.033139, 0.009163, -0.006261], [-0.039227, -0.137293, -0.039227], [0.031107, -0.117248, 9.844072], [-75.000000, -226.000000, -75.000000], [-35, -208, 364]]
DATA[3370, 0, [0,0,0], [-0.001985, 0.011454, 0.041692], [0.019613, -0.137293, -0.039227], [0.026321, -0.107677, 9.844072], [-76.000000, -222.000000, -75.000000], [-35, -209, 352]]
DATA[3430, 0, [0,0,0], [-0.035277, 0.016493, -0.007789], [-0.137293, -0.078453, -0.117680], [0.059821, -0.102891, 9.796216], [-74.000000, -223.000000, -73.000000], [-35, -207, 360]]
DATA[3480, 0, [0,0,0], [-0.033750, 0.012370, -0.005803], [-0.078453, -0.137293, -0.078453], [0.035892, -0.088534, 9.834501], [-69.000000, -225.000000, -72.000000], [-38, -211, 346]]
DATA[3540, 0, [0,0,0], [-0.029627, 0.006567, -0.004581], [-0.078453, -0.156906, -0.078453], [0.016750, -0.131605, 9.815358], [-69.000000, -221.000000, -72.000000], [-30, -208, 352]]
DATA[3600, 0, [0,0,0], [-0.024435, 0.016035, -0.005345], [-0.078453, -0.117680, 10.355823], [0.014357, -0.112463, 9.844072], [-73.000000, -226.000000, -73.000000], [-41, -208, 356]]
DATA[3650, 0, [0,0,0], [-0.027947, 0.010385, -0.001222], [-0.058840, -0.156906, -0.117680], [0.031107, -0.098106, 9.805787], [-72.000000, -223.000000, -75.000000], [-41, -214, 356]]
DATA[3700, 0, [0,0,0], [-0.033139, 0.010079, 0.040928], [-0.078453, -0.196133, -0.019613], [0.023928, -0.117248, 9.810573], [-72.000000, -227.000000, -72.000000], [-37, -217, 357]]
DATA[3760, 0, [0,0,0], [-0.033139, 0.011606, -0.002291], [-0.058840, -0.156906, 10.375436], [0.028714, -0.117248, 9.796216], [-73.000000, -221.000000, -74.000000], [-34, -207, 356]]
DATA[3820, 0, [0,0,0], [-0.031154, 0.009316, 0.041997], [-0.019613, -0.078453, -0.058840], [0.035892, -0.122034, 9.820144], [-74.000000, -224.000000, -74.000000], [-32, -206, 351]]
DATA[3870, 0, [0,0,0], [-0.034056, 0.012828, -0.001680], [-0.078453, -0.176520, 10.179303], [0.023928, -0.131605, 9.801002], [-73.000000, -222.000000, -77.000000], [-33, -208, 361]]
DATA[3930, 0, [0,0,0], [-0.034667, 0.011148, -0.004581], [-0.019613, -0.156906, -0.098067], [0.016750, -0.093320, 9.801002], [-72.000000, -225.000000, -71.000000], [-35, -207, 353]]
